Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIA 20,0,0,Lamar Miller left tackle for 7 yards (tackle by Jamie Collins),0.280,0.680
1,14:28,2,3,MIA 27,0,0,Lamar Miller left end for 7 yards (tackle by Devin McCourty),0.680,1.200
1,13:44,1,10,MIA 34,0,0,Ryan Tannehill pass complete short middle to Dion Sims for 6 yards (tackle by Dont'a Hightower),1.200,1.470
1,13:18,2,4,MIA 40,0,0,Lamar Miller left tackle for -1 yards (tackle by Chandler Jones),1.470,0.630
1,12:40,3,5,MIA 39,0,0,Ryan Tannehill pass complete short left to Rishard Matthews for 5 yards (tackle by Dane Fletcher),0.630,1.860
1,11:58,1,10,MIA 44,0,0,Lamar Miller left guard for 4 yards (tackle by Steve Gregory),1.860,1.860
1,11:22,2,6,MIA 48,0,0,Ryan Tannehill pass incomplete short middle intended for Michael Egnew (defended by Jamie Collins),1.860,1.160
1,11:16,3,6,MIA 48,0,0,Ryan Tannehill pass incomplete short right intended for Rishard Matthews,1.160,-0.190
1,11:13,4,6,MIA 48,0,0,"Brandon Fields punts 39 yards, fair catch by Julian Edelman",-0.190,0.320
1,11:06,1,10,NWE 13,0,0,LeGarrette Blount right guard for 11 yards (tackle by Reshad Jones and Chris Clemons),-0.320,0.540
1,10:34,1,10,NWE 24,0,0,Tom Brady pass complete short left to LeGarrette Blount for 6 yards (tackle by Nolan Carroll),0.540,0.810
1,9:51,2,4,NWE 30,0,0,LeGarrette Blount left guard for 9 yards (tackle by Reshad Jones),0.810,1.530
1,8:53,1,10,NWE 39,0,0,LeGarrette Blount right tackle for 2 yards (tackle by Chris Clemons),1.530,1.260
1,8:40,2,8,NWE 41,0,0,Tom Brady pass complete short right to Julian Edelman for 6 yards (tackle by Reshad Jones),1.260,1.360
1,8:10,3,2,NWE 47,0,0,James Develin up the middle for 2 yards (tackle by Koa Misi),1.360,2.190
1,7:42,1,10,NWE 49,0,0,Tom Brady pass incomplete deep middle intended for Julian Edelman,2.190,1.650
1,7:36,2,10,NWE 49,0,0,Tom Brady pass complete short left to Danny Amendola for 8 yards (tackle by Philip Wheeler),1.650,2.010
1,6:58,3,2,MIA 43,0,0,Tom Brady pass complete short right to Julian Edelman for 22 yards (tackle by Reshad Jones),2.010,4.170
1,6:25,1,10,MIA 21,0,0,Tom Brady pass complete short right to Josh Boyce for 8 yards (tackle by Brent Grimes),4.170,4.950
1,5:57,2,2,MIA 13,0,0,LeGarrette Blount left guard for 1 yard (tackle by Randy Starks),4.950,4.490
1,5:21,3,1,MIA 12,0,0,LeGarrette Blount left tackle for 2 yards (tackle by Nolan Carroll),4.490,4.910
1,4:42,1,10,MIA 10,0,0,Tom Brady pass complete short left to Julian Edelman for 6 yards (tackle by Nolan Carroll),4.910,5.340
1,4:06,2,4,MIA 4,0,0,Tom Brady pass incomplete short right intended for Danny Amendola,5.340,4.490
1,4:01,3,4,MIA 4,0,0,Tom Brady pass incomplete short middle intended for Josh Boyce (defended by Jimmy Wilson),4.490,3.030
1,3:57,4,4,MIA 4,3,0,Stephen Gostkowski 22 yard field goal good,3.030,3.000
1,3:57,,,NWE 35,3,0,"Stephen Gostkowski kicks off 65 yards, returned by Marcus Thigpen for 30 yards (tackle by Kyle Arrington). Penalty on Jason Trusnik: Illegal Block Above the Waist, 6 yards",0.000,0.380
1,3:46,1,10,MIA 6,3,0,Daniel Thomas right tackle for 2 yards (tackle by Rob Ninkovich),-0.380,-0.630
1,3:12,2,8,MIA 8,3,0,Ryan Tannehill pass complete short right to Mike Wallace for 6 yards (tackle by Kyle Arrington),-0.630,-0.480
1,2:38,3,2,MIA 14,3,0,Ryan Tannehill pass incomplete short right intended for Charles Clay,-0.480,-2.470
1,2:32,4,2,MIA 14,3,0,"Brandon Fields punts 51 yards, out of bounds",-2.470,-1.270
1,2:25,1,10,NWE 35,3,0,"Tom Brady pass incomplete short middle intended for Danny Amendola (defended by Dannell Ellerbe). Penalty on Dannell Ellerbe: Defensive Pass Interference, 5 yards (no play)",1.270,1.600
1,2:22,1,10,NWE 40,3,0,Stevan Ridley right guard for 11 yards (tackle by Jimmy Wilson and Chris Clemons),1.600,2.320
1,1:54,1,10,MIA 49,3,0,Stevan Ridley right end for -3 yards (tackle by Derrick Shelby),2.320,1.380
1,1:21,2,13,NWE 48,3,0,Tom Brady pass complete short left to Shane Vereen for no gain,1.380,0.700
1,0:37,3,13,NWE 48,3,0,Tom Brady pass complete short middle to Shane Vereen for 6 yards (tackle by Reshad Jones),0.700,0.200
1,0:05,4,7,MIA 46,3,0,"Ryan Allen punts 40 yards, muffed catch by Marcus Thigpen, recovered by Marcus Thigpen and returned for no gain",0.200,0.380
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 6,3,0,Ryan Tannehill pass complete short right to Mike Wallace for 16 yards (tackle by Kyle Arrington),-0.380,0.410
2,14:28,1,10,MIA 22,3,0,Lamar Miller right guard for 4 yards (tackle by Jamie Collins),0.410,0.410
2,13:55,2,6,MIA 26,3,0,Lamar Miller right guard for 3 yards (tackle by Dont'a Hightower),0.410,0.100
2,13:06,3,3,MIA 29,3,0,Ryan Tannehill pass complete short right to Marcus Thigpen for 9 yards (tackle by Devin McCourty),0.100,1.470
2,12:33,1,10,MIA 38,3,0,Ryan Tannehill sacked by Kyle Arrington for -4 yards,1.470,0.380
2,11:55,2,14,MIA 34,3,0,Lamar Miller right guard for 1 yard (tackle by Dont'a Hightower),0.380,-0.160
2,11:21,3,13,MIA 35,3,0,Ryan Tannehill pass complete short middle to Michael Egnew for 11 yards (tackle by Dane Fletcher),-0.160,-0.320
2,10:31,4,2,MIA 46,3,0,"Brandon Fields punts 52 yards, out of bounds",-0.320,0.380
2,10:16,1,10,NWE 2,3,0,Tom Brady pass complete short right to Josh Boyce for 4 yards (tackle by Brent Grimes),-0.380,-0.490
2,9:46,2,6,NWE 6,3,0,LeGarrette Blount right guard for 1 yard (tackle by Derrick Shelby),-0.490,-0.840
2,8:20,3,5,NWE 7,3,0,Tom Brady pass complete short right to Julian Edelman for 3 yards (tackle by Brent Grimes),-0.840,-2.490
2,8:20,4,2,NWE 10,3,0,"Ryan Allen punts 57 yards, out of bounds",-2.490,-1.140
2,8:12,1,10,MIA 33,3,0,Ryan Tannehill sacked by Joe Vellano for -5 yards,1.140,-0.080
2,7:35,2,15,MIA 28,3,0,Ryan Tannehill pass complete deep right to Mike Wallace for 22 yards (tackle by Kyle Arrington),-0.080,2.260
2,7:05,1,10,NWE 50,3,0,Daniel Thomas up the middle for 4 yards (tackle by Devin McCourty),2.260,2.250
2,6:27,2,6,NWE 46,3,0,Mike Wallace left end for 13 yards (tackle by Kyle Arrington),2.250,3.380
2,5:45,1,10,NWE 33,3,0,Daniel Thomas right guard for 3 yards (tackle by Chandler Jones),3.380,3.240
2,5:04,2,7,NWE 30,3,0,Ryan Tannehill sacked by Chandler Jones for -8 yards,3.240,1.490
2,4:23,3,15,NWE 38,3,0,Ryan Tannehill pass complete short left to Michael Egnew for 14 yards (tackle by Aqib Talib),1.490,2.020
2,3:39,4,1,NWE 24,3,0,"Brandon Fields for no gain. Brandon Fields fumbles, recovered by Nate Ebner at NWE-31 (tackle by Caleb Sturgis)",2.020,-1.000
2,3:35,1,10,NWE 31,3,0,Tom Brady pass complete short middle to Danny Amendola for 30 yards (tackle by Philip Wheeler),1.000,2.980
2,2:55,1,10,MIA 39,3,0,Tom Brady pass complete short right to Danny Amendola for 11 yards (tackle by Chris Clemons),2.980,3.710
2,2:10,1,10,MIA 28,3,0,Tom Brady pass complete short right to Danny Amendola for 7 yards (tackle by Jimmy Wilson),3.710,4.110
2,2:00,2,3,MIA 21,3,0,Stevan Ridley left guard for 6 yards (tackle by Olivier Vernon),4.110,4.110
2,1:54,2,3,MIA 21,3,0,Timeout #1 by Miami Dolphins,4.110,4.580
2,1:54,1,10,MIA 15,3,0,Stevan Ridley left tackle for 2 yards (tackle by Olivier Vernon),4.580,4.580
2,1:48,1,10,MIA 15,3,0,Timeout #2 by Miami Dolphins,4.580,4.280
2,1:48,2,8,MIA 13,3,0,Tom Brady pass incomplete short left intended for Julian Edelman,4.280,3.400
2,1:45,3,8,MIA 13,9,0,"Tom Brady pass complete short left to Michael Hoomanawanui for 13 yards, touchdown",3.400,7.000
2,1:45,,,MIA 2,10,0,Stephen Gostkowski kicks extra point good,0.000,0.000
2,1:45,,,NWE 35,10,0,"Stephen Gostkowski kicks off 60 yards, returned by Marcus Thigpen for 13 yards (tackle by Matt Slater)",0.000,-0.040
2,1:31,1,10,MIA 18,10,0,Ryan Tannehill pass incomplete short middle intended for Rishard Matthews (defended by Logan Ryan),0.040,-0.490
2,1:28,2,10,MIA 18,10,0,Ryan Tannehill pass incomplete deep right intended for Mike Wallace,-0.490,-1.170
2,1:23,3,10,MIA 18,10,0,Ryan Tannehill pass complete deep left to Rishard Matthews for 24 yards (tackle by Logan Ryan),-1.170,1.730
2,0:59,1,10,MIA 42,10,0,Ryan Tannehill pass incomplete deep left intended for Brian Hartline,1.730,1.190
2,0:54,2,10,MIA 42,10,0,Ryan Tannehill pass complete short right to Marlon Moore for 11 yards (tackle by Kyle Arrington),1.190,2.460
2,0:53,1,10,NWE 47,10,0,Ryan Tannehill pass complete short middle to Rishard Matthews for 8 yards,2.460,2.460
2,0:46,1,10,NWE 47,10,0,Timeout #1 by New England Patriots,2.460,2.990
2,0:46,2,2,NWE 39,10,0,Ryan Tannehill pass incomplete deep left intended for Rishard Matthews,2.990,2.280
2,0:40,3,2,NWE 39,10,6,"Ryan Tannehill pass complete short middle to Mike Wallace for 39 yards, touchdown",2.280,7.000
2,0:40,,,NWE 2,10,7,Caleb Sturgis kicks extra point good,0.000,0.000
2,0:40,,,MIA 35,10,7,"Caleb Sturgis kicks off 73 yards, touchback",0.000,-0.280
2,0:32,1,10,NWE 20,10,7,Shane Vereen right guard for 7 yards (tackle by Cameron Wake),0.280,0.280
2,0:25,1,10,NWE 20,10,7,Timeout #2 by New England Patriots,0.280,0.680
2,0:25,2,3,NWE 27,10,7,Shane Vereen right end for 6 yards (tackle by Cameron Wake),0.680,1.140
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,10,7,"Caleb Sturgis kicks off no gain, touchback",0.000,0.280
3,14:27,1,10,NWE 20,10,7,Tom Brady pass complete short left to Josh Boyce for no gain,0.280,-0.270
3,14:24,2,10,NWE 20,10,7,Tom Brady pass complete short middle to Julian Edelman for 9 yards (tackle by Will Davis),-0.270,0.230
3,13:49,3,1,NWE 29,10,7,LeGarrette Blount left end for 5 yards (tackle by Philip Wheeler),0.230,1.200
3,13:25,1,10,NWE 34,10,7,LeGarrette Blount right tackle for 5 yards (tackle by Jelani Jenkins),1.200,1.330
3,12:50,2,5,NWE 39,10,7,LeGarrette Blount up the middle for 1 yard (tackle by Reshad Jones and Randy Starks),1.330,0.760
