Unnamed: 0,CAR,CIN
First Downs,29,29
Rush-Yds-TDs,34-147-2,31-193-2
Cmp-Att-Yd-TD-INT,29-46-284-2-1,33-43-323-2-2
Sacked-Yards,0-0,1-3
Net Pass Yards,284,320
Total Yards,431,513
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,8-60,13-119
Third Down Conv.,8-17,10-16
Fourth Down Conv.,2-2,0-0
Time of Possession,39:30,35:30
