Quarter,Time,Down,ToGo,Location,CAR,CIN,Detail,EPB,EPA
2,15:00,1,7,CAR 7,7,0,Jeremy Hill right end for 2 yards (tackle by Luke Kuechly),5.600,5.150
2,14:29,2,5,CAR 5,7,6,"Andy Dalton pass complete short left to Brandon Tate for 5 yards, touchdown",5.150,7.000
2,14:29,,,CAR 2,7,7,Mike Nugent kicks extra point good,0.000,0.000
2,14:29,,,CIN 35,7,7,"Mike Nugent kicks off 67 yards, returned by Philly Brown for 33 yards (tackle by Shawn Williams)",0.000,-1.000
2,14:15,1,10,CAR 31,7,7,Fozzy Whittaker right end for 6 yards (tackle by Rey Maualuga),1.000,1.270
2,13:39,2,4,CAR 37,7,7,Fozzy Whittaker left guard for 3 yards (tackle by Vontaze Burfict),1.270,0.960
2,13:00,3,1,CAR 40,7,7,Cam Newton pass complete short left to Kelvin Benjamin for no gain,0.960,-0.720
2,12:17,4,1,CAR 40,7,7,"Brad Nortman punts 38 yards. Penalty on Darqueze Dennard: Unnecessary Roughness, 11 yards",-0.720,0.370
2,12:05,1,10,CIN 11,7,13,"Giovani Bernard left guard for 89 yards, touchdown",-0.370,7.000
2,12:05,,,CAR 2,7,14,Mike Nugent kicks extra point good,0.000,0.000
2,12:05,,,CIN 35,7,14,"Mike Nugent kicks off 68 yards, returned by Philly Brown for 21 yards (tackle by Dre Kirkpatrick)",0.000,-0.040
2,11:44,1,10,CAR 18,7,14,Cam Newton pass incomplete short middle intended for Ed Dickson,0.040,0.040
2,11:41,1,10,CAR 18,7,14,Timeout #1 by Carolina Panthers,0.040,-0.490
2,11:41,2,10,CAR 18,7,14,Cam Newton pass complete short right to Greg Olsen for 6 yards (tackle by Terence Newman),-0.490,-0.400
2,11:02,3,4,CAR 24,7,14,Cam Newton pass complete short right to Fozzy Whittaker for 23 yards (tackle by Reggie Nelson),-0.400,2.060
2,10:26,1,10,CAR 47,7,14,"Cam Newton pass complete short middle to Kelvin Benjamin for 7 yards (tackle by Vontaze Burfict and Adam Jones). Penalty on Vontaze Burfict: Unnecessary Roughness, 15 yards",2.060,3.510
2,9:47,1,10,CIN 31,7,14,Fozzy Whittaker left end for -5 yards (tackle by Emmanuel Lamur),3.510,2.290
2,9:05,2,15,CIN 36,7,14,Cam Newton pass complete short left to Brenton Bersin for 10 yards (tackle by Adam Jones),2.290,2.940
2,8:27,3,5,CIN 26,7,14,Cam Newton pass complete short right to Jerricho Cotchery for 1 yard (tackle by Terence Newman),2.940,1.880
2,7:50,4,4,CIN 25,7,14,"Graham Gano 43 yard field goal good. Penalty on Carlos Dunlap: Defensive Holding, 5 yards (no play)",1.880,4.240
2,7:43,1,10,CIN 20,7,14,Cam Newton pass incomplete short right intended for Greg Olsen,4.240,3.690
2,7:38,2,10,CIN 20,7,14,Cam Newton left tackle for 4 yards (tackle by Rey Maualuga),3.690,3.520
2,6:52,3,6,CIN 16,7,14,"Penalty on Trai Turner: False Start, 5 yards (no play)",3.520,2.870
2,6:30,3,11,CIN 21,7,14,Cam Newton pass incomplete short right intended for Jerricho Cotchery,2.870,2.060
2,6:24,4,11,CIN 21,10,14,Graham Gano 39 yard field goal good,2.060,3.000
2,6:24,,,CAR 35,10,14,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
2,6:20,1,10,CIN 20,10,14,Andy Dalton pass complete short right to Jermaine Gresham for 6 yards (tackle by Thomas Davis),0.280,0.540
2,5:52,2,4,CIN 26,10,14,Jeremy Hill left tackle for 2 yards (tackle by Kawann Short),0.540,0.100
2,5:07,3,2,CIN 28,10,14,"Andy Dalton pass complete short middle to Mohamed Sanu for 34 yards (tackle by Antoine Cason). Penalty on Mohamed Sanu: Illegal Shift, 5 yards (no play)",0.100,-0.560
2,4:33,3,7,CIN 23,10,14,Andy Dalton pass complete short right to Mohamed Sanu for 7 yards (tackle by Charles Godfrey),-0.560,0.940
,,,,,,,"CAR challenged the first down ruling, and the play was upheld.",,
2,3:59,1,10,CIN 30,10,14,Giovani Bernard right guard for 4 yards (tackle by Kony Ealy),0.940,0.930
2,3:30,2,6,CIN 34,10,14,Andy Dalton pass complete short right to Brandon Tate for 7 yards (tackle by Antoine Cason),0.930,1.660
2,2:55,1,10,CIN 41,10,14,Andy Dalton pass complete short right to Giovani Bernard for 1 yard (tackle by Luke Kuechly),1.660,1.260
2,2:31,2,9,CIN 42,10,14,Giovani Bernard right guard for 4 yards (tackle by Kony Ealy and Colin Cole),1.260,1.090
2,2:00,3,5,CIN 46,10,14,Andy Dalton pass complete deep middle to Jermaine Gresham for 23 yards (tackle by Thomas DeCoud and Melvin White),1.090,3.510
2,1:34,1,10,CAR 31,10,14,Andy Dalton pass complete short middle to Giovani Bernard for 2 yards (tackle by Luke Kuechly),3.510,3.240
2,1:10,2,8,CAR 29,10,14,"Giovani Bernard right guard for 1 yard (tackle by Thomas DeCoud). Penalty on Jermaine Gresham: Illegal Motion, 5 yards (no play)",3.240,2.560
2,1:07,2,13,CAR 34,10,14,Andy Dalton pass complete short right to Jeremy Hill for 1 yard (tackle by Thomas Davis),2.560,2.560
2,0:58,2,13,CAR 34,10,14,Timeout #1 by Cincinnati Bengals,2.560,2.020
2,0:58,3,12,CAR 33,10,14,Andy Dalton pass complete short right to Jeremy Hill for 7 yards (tackle by Luke Kuechly),2.020,2.020
2,0:08,3,12,CAR 33,10,14,Timeout #2 by Cincinnati Bengals,2.020,1.790
2,0:08,4,5,CAR 26,10,17,Mike Nugent 44 yard field goal good,1.790,3.000
Quarter,Time,Down,ToGo,Location,CAR,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,,,"Mike Nugent kicks off 62 yards, returned by Corey Brown for 6 yards",,
3,15:00,,,CAR 35,10,17,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CIN 20,10,17,"Andy Dalton pass incomplete short middle intended for Mohamed Sanu. Penalty on Antoine Cason: Defensive Holding, 5 yards (no play)",0.280,0.610
3,14:55,1,10,CIN 25,10,17,Giovani Bernard left tackle for 1 yard (tackle by Luke Kuechly and Colin Cole),0.610,0.200
3,14:19,2,9,CIN 26,10,17,Andy Dalton pass complete short middle to Giovani Bernard for 11 yards (tackle by Melvin White),0.200,1.400
3,13:42,1,10,CIN 37,10,17,Brandon Tate for 9 yards (tackle by Roman Harper),1.400,2.070
3,13:15,2,1,CIN 46,10,17,Jeremy Hill left tackle for 3 yards (tackle by Luke Kuechly and Mario Addison),2.070,2.190
3,12:40,1,10,CIN 49,10,17,Jeremy Hill left tackle for 3 yards (tackle by Dwan Edwards and Kawann Short),2.190,2.050
3,12:08,2,7,CAR 48,10,17,Andy Dalton pass complete short middle to Jeremy Hill for 1 yard (tackle by Luke Kuechly),2.050,1.490
3,11:27,3,6,CAR 47,10,17,"Andy Dalton pass incomplete short left intended for Mohamed Sanu (defended by Charles Godfrey). Penalty on Charles Godfrey: Defensive Holding, 5 yards (no play)",1.490,2.790
3,11:22,1,10,CAR 42,10,17,"Penalty on Giovani Bernard: False Start, 5 yards (no play)",2.790,2.460
3,11:22,1,15,CAR 47,10,17,Andy Dalton for 20 yards (tackle by Thomas Davis),2.460,3.780
3,10:51,1,10,CAR 27,10,17,Giovani Bernard left guard for 1 yard (tackle by Luke Kuechly),3.780,3.370
3,10:11,2,9,CAR 26,10,17,Andy Dalton pass incomplete short right intended for Mohamed Sanu,3.370,2.680
3,10:06,3,9,CAR 26,10,17,Andy Dalton pass incomplete is intercepted by Antoine Cason at CAR-10 and returned for 80 yards,2.680,-4.910
3,9:49,1,10,CIN 10,10,17,Fozzy Whittaker right end for 6 yards (tackle by Emmanuel Lamur and George Iloka),4.910,5.340
3,9:11,2,4,CIN 4,16,17,"Fozzy Whittaker left guard for 4 yards, touchdown",5.340,7.000
3,9:11,,,CIN 2,17,17,Graham Gano kicks extra point good,0.000,0.000
3,9:11,,,CAR 35,17,17,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
3,9:07,1,10,CIN 20,17,17,Jeremy Hill right tackle for 5 yards (tackle by Chase Blackburn and Wes Horton),0.280,0.410
3,8:27,2,5,CIN 25,17,17,Andy Dalton pass complete short left to Mohamed Sanu for 6 yards (tackle by Melvin White),0.410,1.000
3,8:01,1,10,CIN 31,17,17,Andy Dalton pass complete short middle to Jeremy Hill for 4 yards (tackle by Charles Godfrey and Antoine Cason),1.000,1.000
3,7:30,2,6,CIN 35,17,17,Giovani Bernard left tackle for 3 yards (tackle by Star Lotulelei),1.000,0.700
3,6:53,3,3,CIN 38,17,17,Giovani Bernard right guard for 2 yards (tackle by Star Lotulelei),0.700,-0.720
3,6:16,4,1,CIN 40,17,17,"Kevin Huber punts 42 yards, returned by Philly Brown for 5 yards (tackle by Taylor Mays)",-0.720,-0.480
3,6:05,1,10,CAR 23,17,17,"Cam Newton pass incomplete deep middle intended for Philly Brown. Penalty on Terence Newman: Defensive Pass Interference, 29 yards, Penalty on Wallace Gilberry: Roughing the Passer (Declined) (no play)",0.480,2.390
3,5:56,1,10,CIN 48,17,17,Cam Newton pass incomplete short left intended for Jerricho Cotchery,2.390,1.850
3,5:52,2,10,CIN 48,17,17,Cam Newton left end for 3 yards (tackle by Reggie Nelson),1.850,1.550
3,5:12,3,7,CIN 45,17,17,Cam Newton pass complete short right to Jerricho Cotchery for 26 yards (tackle by Carlos Dunlap and Leon Hall),1.550,4.310
3,4:48,1,10,CIN 19,17,17,Cam Newton pass incomplete short right intended for Jason Avant,4.310,3.750
3,4:42,2,10,CIN 19,17,17,Cam Newton pass complete short left to Jason Avant for 7 yards (tackle by Robert Geathers),3.750,4.190
3,4:01,3,3,CIN 12,23,17,"Cam Newton right tackle for 12 yards, touchdown",4.190,7.000
3,4:01,,,CIN 2,24,17,Graham Gano kicks extra point good,0.000,0.000
3,4:01,,,CAR 35,24,17,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
3,3:54,1,10,CIN 20,24,17,Andy Dalton pass complete short left to Jermaine Gresham for 16 yards (tackle by Thomas DeCoud),0.280,1.330
3,3:22,1,10,CIN 36,24,17,Andy Dalton pass incomplete short left intended for Mohamed Sanu (defended by Melvin White),1.330,0.790
3,3:17,2,10,CIN 36,24,17,Andy Dalton pass incomplete short left intended for Brandon Tate,0.790,0.100
3,3:08,3,10,CIN 36,24,17,"Penalty on Dane Sanzenbacher: False Start, 5 yards (no play)",0.100,-0.560
3,3:08,3,15,CIN 31,24,17,Andy Dalton pass incomplete deep middle intended for Jermaine Gresham is intercepted by Roman Harper at CAR-42 and returned for 8 yards,-0.560,-2.260
3,2:57,1,10,,24,17,Darrin Reaves left guard for no gain (tackle by Carlos Dunlap),2.260,1.710
3,2:16,2,10,,24,17,Cam Newton pass complete deep right to Jerricho Cotchery for 22 yards (tackle by Leon Hall),1.710,3.710
3,1:45,1,10,CIN 28,24,17,Cam Newton left tackle for 9 yards (tackle by Reggie Nelson),3.710,4.420
3,1:04,2,1,CIN 19,24,17,Darrin Reaves right guard for 2 yards (tackle by Carlos Dunlap),4.420,4.440
3,0:26,1,10,CIN 17,24,17,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Robert Geathers),4.440,3.850
3,0:21,2,10,CIN 17,24,17,"Cam Newton pass complete deep left to Kelvin Benjamin for 17 yards. Penalty on Kelvin Benjamin: Offensive Pass Interference, 10 yards (no play)",3.850,3.850
3,0:14,2,10,CIN 17,24,17,Timeout #1 by Carolina Panthers,3.850,2.540
3,0:14,2,20,CIN 27,24,17,Cam Newton up the middle for 7 yards (tackle by Wallace Gilberry and Emmanuel Lamur),2.540,2.810
Quarter,Time,Down,ToGo,Location,CAR,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,13,CIN 20,24,17,Cam Newton pass incomplete deep left intended for Greg Olsen,2.810,2.120
4,14:54,4,13,CIN 20,24,17,Graham Gano 38 yard field goal no good,2.120,-0.870
4,14:49,1,10,CIN 29,24,17,Andy Dalton pass complete short left to Dane Sanzenbacher for 13 yards (tackle by Melvin White),0.870,1.730
4,14:14,1,10,CIN 42,24,17,Giovani Bernard right end for 1 yard (tackle by Luke Kuechly),1.730,1.320
4,13:49,2,9,CIN 43,24,17,Andy Dalton pass complete short right to Mohamed Sanu for 1 yard (tackle by Thomas Davis),1.320,1.320
4,13:05,2,9,CIN 43,24,17,Timeout #1 by Cincinnati Bengals,1.320,0.760
4,13:05,3,8,CIN 44,24,17,Andy Dalton pass complete short right to Brandon Tate for 10 yards,0.760,2.520
,,,,,,,"CIN challenged the incomplete pass ruling, and the original play was overturned.",,
4,12:44,1,10,CAR 46,24,17,"Andy Dalton pass complete short left to Mohamed Sanu for 12 yards (tackle by Kawann Short). Penalty on Andrew Whitworth: Illegal Block Above the Waist, 10 yards (no play)",2.520,1.860
4,12:18,1,20,CIN 44,24,17,Andy Dalton pass complete deep middle to Mohamed Sanu for 22 yards (tackle by Melvin White),1.860,3.310
4,11:46,1,10,CAR 34,24,23,"Andy Dalton pass complete deep left to Mohamed Sanu for 34 yards, touchdown",3.310,7.000
4,11:46,,,CAR 2,24,24,Mike Nugent kicks extra point good,0.000,0.000
4,11:46,,,CIN 35,24,24,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
4,11:38,1,10,CAR 20,24,24,Cam Newton pass complete short middle to Kelvin Benjamin for 12 yards (tackle by Terence Newman and Reggie Nelson),0.280,1.070
4,10:59,1,10,CAR 32,24,24,Cam Newton left tackle for 11 yards (tackle by Adam Jones),1.070,1.800
4,10:18,1,10,CAR 43,24,24,Darrin Reaves right guard for -3 yards (tackle by Vontaze Burfict),1.800,0.850
4,9:51,2,13,CAR 40,24,24,Cam Newton right guard for 6 yards (tackle by Vontaze Burfict),0.850,0.960
4,9:11,3,7,CAR 46,24,24,Cam Newton for 9 yards (tackle by Reggie Nelson),0.960,2.590
4,8:35,1,10,CIN 45,24,24,Darrin Reaves left guard for 4 yards (tackle by Robert Geathers and Domata Peko),2.590,2.580
4,7:56,2,6,CIN 41,24,24,Cam Newton pass complete short middle to Greg Olsen for 4 yards (tackle by Leon Hall),2.580,2.410
4,7:13,3,2,CIN 37,24,24,Cam Newton pass incomplete short left intended for Greg Olsen (defended by Reggie Nelson),2.410,2.410
4,7:08,3,2,CIN 37,24,24,Timeout #2 by Carolina Panthers,2.410,0.790
4,7:08,4,2,CIN 37,24,24,Cam Newton pass complete short middle to Kelvin Benjamin for 13 yards (tackle by George Iloka and Terence Newman),0.790,3.970
4,6:31,1,10,CIN 24,24,24,"Darrin Reaves left end for 4 yards (tackle by George Iloka). Penalty on Brandon Williams: Offensive Holding, 10 yards (no play)",3.970,3.310
4,6:04,1,20,CIN 34,24,24,Darrin Reaves right end for 9 yards (tackle by Domata Peko),3.310,3.300
4,5:30,2,11,CIN 25,24,24,Cam Newton pass complete short left to Jason Avant for 12 yards (tackle by Reggie Nelson),3.300,4.710
4,4:58,1,10,CIN 13,30,24,"Cam Newton pass complete short left to Greg Olsen for 13 yards, touchdown",4.710,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,4:58,,,CIN 2,31,24,Graham Gano kicks extra point good,0.000,0.000
4,4:58,,,CAR 35,31,24,"Graham Gano kicks off 65 yards, returned by Adam Jones for 97 yards (tackle by Colin Jones)",0.000,-6.510
4,4:36,1,3,CAR 3,31,30,"Jeremy Hill right guard for 3 yards, touchdown",6.510,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,4:36,,,CAR 2,31,31,Mike Nugent kicks extra point good,0.000,0.000
4,4:36,,,CIN 35,31,31,"Mike Nugent kicks off 68 yards, returned by Philly Brown for 35 yards (tackle by Cedric Peerman)",0.000,-1.070
4,4:23,1,10,CAR 32,31,31,Cam Newton left end for -3 yards (tackle by Emmanuel Lamur),1.070,0.120
4,3:42,2,13,CAR 29,31,31,Cam Newton pass incomplete deep middle intended for Jerricho Cotchery,0.120,-0.560
4,3:36,3,13,CAR 29,31,31,Cam Newton pass incomplete deep middle intended for Kelvin Benjamin is intercepted by Reggie Nelson at CIN-45 and returned for 31 yards,-0.560,-3.970
4,3:22,1,10,CAR 24,31,31,Jeremy Hill left guard for 2 yards (tackle by Melvin White),3.970,3.700
4,2:39,2,8,CAR 22,31,31,"Jeremy Hill left guard for 22 yards. Penalty on Andre Smith: Offensive Holding, 10 yards (no play)",3.700,2.350
4,2:32,2,18,CAR 32,31,31,"Penalty on Andre Smith: False Start, 5 yards (no play)",2.350,1.680
4,2:32,2,23,CAR 37,31,31,Andy Dalton pass complete short left to Mohamed Sanu for 17 yards (tackle by Thomas Davis),1.680,3.270
4,2:22,3,6,CAR 20,31,31,Andy Dalton pass incomplete short right intended for Dane Sanzenbacher,3.270,2.150
4,2:16,4,6,CAR 20,31,34,Mike Nugent 38 yard field goal good,2.150,3.000
4,2:16,,,CIN 35,31,34,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
4,2:11,1,10,CAR 20,31,34,Cam Newton right end for 9 yards (tackle by Carlos Dunlap),0.280,0.950
4,2:00,2,1,CAR 29,31,34,Cam Newton up the middle for 4 yards (tackle by Geno Atkins),0.950,1.140
4,1:36,1,10,CAR 33,31,34,Cam Newton pass complete short right to Greg Olsen for 16 yards,1.140,2.190
4,1:30,1,10,CAR 49,31,34,Cam Newton pass incomplete deep right intended for Jerricho Cotchery,2.190,1.650
4,1:24,2,10,CAR 49,31,34,Cam Newton pass complete short left to Philly Brown for 8 yards (tackle by Adam Jones),1.650,2.010
4,0:56,3,2,CIN 43,31,34,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by George Iloka),2.010,0.400
4,0:50,4,2,CIN 43,31,34,Cam Newton right guard for 5 yards (tackle by Leon Hall),0.400,0.400
4,0:45,4,2,CIN 43,31,34,Timeout #3 by Carolina Panthers,0.400,3.050
4,0:45,1,10,CIN 38,31,34,Cam Newton pass complete short left to Kelvin Benjamin for 9 yards (tackle by Adam Jones),3.050,3.720
4,0:23,2,1,CIN 29,31,34,Cam Newton pass incomplete deep middle intended for Jerricho Cotchery (defended by Leon Hall),3.720,3.010
4,0:17,3,1,CIN 29,31,34,Cam Newton pass complete short middle to Brenton Bersin for 3 yards (tackle by Emmanuel Lamur),3.010,3.010
4,0:17,3,1,CIN 29,31,34,Timeout #2 by Cincinnati Bengals,3.010,3.840
4,0:06,1,10,CIN 26,31,34,Cam Newton spiked the ball,3.840,3.840
4,0:05,1,10,CIN 26,31,34,Timeout #3 by Cincinnati Bengals,3.840,3.300
4,0:05,2,10,CIN 26,34,34,Graham Gano 44 yard field goal good,3.300,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CAR,CIN,Detail,EPB,EPA
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,
OT,15:00,,,CAR 35,34,34,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
OT,15:00,1,10,CIN 20,34,34,Giovani Bernard left end for 8 yards (tackle by Thomas DeCoud),0.280,0.810
OT,14:39,2,2,CIN 28,34,34,Giovani Bernard left guard for 1 yard (tackle by Kawann Short),0.810,0.230
OT,13:58,3,1,CIN 29,34,34,Andy Dalton up the middle for 6 yards (tackle by Antoine Cason),0.230,1.270
OT,13:19,1,10,CIN 35,34,34,Andy Dalton pass complete short middle to Giovani Bernard for 6 yards (tackle by Thomas Davis and Luke Kuechly),1.270,1.530
OT,12:38,2,4,CIN 41,34,34,Andy Dalton pass complete short left to Mohamed Sanu for 15 yards (tackle by Antoine Cason),1.530,2.650
OT,12:14,1,10,CAR 44,34,34,Giovani Bernard right guard for 10 yards (tackle by Antoine Cason),2.650,3.310
OT,11:41,1,10,CAR 34,34,34,Jeremy Hill right guard for 2 yards (tackle by Thomas Davis),3.310,3.040
OT,11:08,2,8,CAR 32,34,34,Andy Dalton pass complete short left to Mohamed Sanu for 7 yards (tackle by Thomas DeCoud),3.040,3.270
OT,10:46,3,1,CAR 25,34,34,Andy Dalton right guard for 1 yard (tackle by Charles Johnson and Dwan Edwards),3.270,3.270
OT,10:15,3,1,CAR 25,34,34,Timeout #1 by Carolina Panthers,3.270,3.970
OT,10:15,1,10,CAR 24,34,34,Andy Dalton pass complete short right to Dane Sanzenbacher for 5 yards (tackle by Antoine Cason),3.970,4.120
OT,9:44,2,5,CAR 19,34,34,Giovani Bernard left guard for -2 yards (tackle by Charles Johnson),4.120,4.120
OT,9:19,2,5,CAR 19,34,34,Timeout #1 by Cincinnati Bengals,4.120,3.140
OT,9:19,3,7,CAR 21,34,34,Andy Dalton sacked by Charles Johnson for -3 yards,3.140,1.870
OT,8:40,4,10,CAR 24,34,37,Mike Nugent 42 yard field goal good,1.870,3.000
OT,8:40,,,CIN 35,34,37,"Mike Nugent kicks off 67 yards, returned by Philly Brown for 24 yards (tackle by Taylor Mays)",0.000,-0.410
OT,8:30,1,10,CAR 22,34,37,Cam Newton pass complete short left to Jerricho Cotchery for 9 yards (tackle by Vontaze Burfict),0.410,1.080
OT,7:53,2,1,CAR 31,34,37,Cam Newton left tackle for 9 yards (tackle by Reggie Nelson),1.080,1.600
OT,7:13,1,10,CAR 40,34,37,Cam Newton left end for 5 yards (tackle by Adam Jones and Vontaze Burfict),1.600,1.730
OT,6:28,2,5,CAR 45,34,37,Cam Newton pass complete short right to Greg Olsen for 11 yards (tackle by Vontaze Burfict),1.730,2.650
OT,6:00,1,10,CIN 44,34,37,Darrin Reaves left tackle for -3 yards (tackle by Reggie Nelson),2.650,2.650
OT,5:18,1,10,CIN 44,34,37,Timeout #2 by Carolina Panthers,2.650,1.710
OT,5:18,2,13,CIN 47,34,37,Cam Newton right guard for 3 yards (tackle by Wallace Gilberry),1.710,1.420
OT,4:53,3,10,CIN 44,34,37,"Cam Newton pass complete short right to Jason Avant for 9 yards. Penalty on Vontaze Burfict: Illegal Contact, 5 yards (no play)",1.420,2.980
OT,4:47,1,10,CIN 39,34,37,Cam Newton pass incomplete short left intended for Brenton Bersin,2.980,2.440
OT,4:43,2,10,CIN 39,34,37,Cam Newton left end for 12 yards (tackle by Reggie Nelson and Vincent Rey),2.440,3.780
OT,4:00,1,10,CIN 27,34,37,Cam Newton pass complete short right to Darrin Reaves for 4 yards (tackle by Vincent Rey),3.780,3.770
OT,3:17,2,6,CIN 23,34,37,Cam Newton pass incomplete deep left intended for Jerricho Cotchery (defended by Adam Jones),3.770,3.070
OT,3:09,3,6,CIN 23,34,37,Cam Newton pass complete short left to Kelvin Benjamin for 5 yards (tackle by Adam Jones and Vontaze Burfict),3.070,2.400
OT,2:24,4,1,CIN 18,37,37,Graham Gano 36 yard field goal good,2.400,3.000
OT,2:24,,,CAR 35,37,37,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
