Quarter,Time,Tm,Detail,CAR,CIN
1,5:45,Panthers,Kelvin Benjamin 3 yard pass from Cam Newton (Graham Gano kick),7,0
2,14:21,Bengals,Brandon Tate 5 yard pass from Andy Dalton (Mike Nugent kick),7,7
,11:50,Bengals,Giovani Bernard 89 yard rush (Mike Nugent kick),7,14
,6:20,Panthers,Graham Gano 39 yard field goal,10,14
,0:03,Bengals,Mike Nugent 44 yard field goal,10,17
3,9:07,Panthers,Fozzy Whittaker 4 yard rush (Graham Gano kick),17,17
,3:54,Panthers,Cam Newton 12 yard rush (Graham Gano kick),24,17
4,11:38,Bengals,Mohamed Sanu 34 yard pass from Andy Dalton (Mike Nugent kick),24,24
,4:50,Panthers,Greg Olsen 13 yard pass from Cam Newton (Graham Gano kick),31,24
,4:32,Bengals,Jeremy Hill 3 yard rush (Mike Nugent kick),31,31
,2:11,Bengals,Mike Nugent 38 yard field goal,31,34
,0:00,Panthers,Graham Gano 44 yard field goal,34,34
OT,8:35,Bengals,Mike Nugent 42 yard field goal,34,37
,2:19,Panthers,Graham Gano 36 yard field goal,37,37
