Quarter,Time,Tm,Detail,ARI,DEN
1.0,9:09,Cardinals,Chandler Catanzaro 33 yard field goal,3,0
,4:43,Broncos,Julius Thomas 7 yard pass from Peyton Manning (Brandon McManus kick),3,7
,1:41,Cardinals,Chandler Catanzaro 48 yard field goal,6,7
2.0,7:30,Broncos,Demaryius Thomas 31 yard pass from Peyton Manning (Brandon McManus kick),6,14
,4:37,Cardinals,Andre Ellington 5 yard rush (Chandler Catanzaro kick),13,14
,1:37,Broncos,Demaryius Thomas 86 yard pass from Peyton Manning (Brandon McManus kick),13,21
3.0,9:33,Broncos,Brandon McManus 44 yard field goal,13,24
,3:03,Cardinals,Andre Ellington 81 yard pass from Logan Thomas (Chandler Catanzaro kick),20,24
4.0,13:48,Broncos,Brandon McManus 41 yard field goal,20,27
,7:47,Broncos,Julius Thomas 12 yard pass from Peyton Manning (Brandon McManus kick),20,34
,4:33,Broncos,Juwan Thompson 8 yard rush (Brandon McManus kick),20,41
