Unnamed: 0,ARI,DEN
First Downs,9,24
Rush-Yds-TDs,19-37-1,28-92-1
Cmp-Att-Yd-TD-INT,12-34-199-1-0,31-47-479-4-2
Sacked-Yards,3-21,1-3
Net Pass Yards,178,476
Total Yards,215,568
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,3-15,7-67
Third Down Conv.,3-16,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,24:43,35:17
