Quarter,Time,Tm,Detail,STL,NYJ
1.0,10:27,Jets,Thomas Jones 13 yard rush (Jay Feely kick),0,7
,6:55,Jets,Jay Feely 22 yard field goal,0,10
,4:45,Jets,Calvin Pace 50 yard defensive fumble return (Jay Feely kick),0,17
2.0,12:05,Jets,Thomas Jones 2 yard rush (Jay Feely kick),0,24
,6:53,Jets,Jay Feely 49 yard field goal,0,27
,3:55,Jets,Jay Feely 46 yard field goal,0,30
,0:28,Jets,Dustin Keller 1 yard pass from Brett Favre (Jay Feely kick),0,37
,0:00,Jets,Jay Feely 55 yard field goal,0,40
3.0,9:51,Rams,Josh Brown 37 yard field goal,3,40
4.0,12:42,Jets,Thomas Jones 6 yard rush (Jay Feely kick),3,47
