Quarter,Time,Down,ToGo,Location,STL,NYJ,Detail,EPB,EPA
1,1:54,3,1,STL 49,0,17,Thomas Jones right guard for 2 yards (tackle by Victor Adeyanju and Will Witherspoon),1.690,2.460
1,1:11,1,10,STL 47,0,17,"Brett Favre pass incomplete short right intended for Dustin Keller. Penalty on Will Witherspoon: Defensive Pass Interference, 4 yards (no play)",2.460,2.720
1,1:06,1,10,STL 43,0,17,Brett Favre pass complete short left to Dustin Keller for 3 yards (tackle by Corey Chavous),2.720,2.580
1,0:27,2,7,STL 40,0,17,Brett Favre pass incomplete short right intended for Tony Richardson,2.580,1.880
1,0:22,3,7,STL 40,0,17,Brett Favre pass complete short left to Leon Washington for 5 yards (tackle by Fakhir Brown),1.880,0.990
Quarter,Time,Down,ToGo,Location,STL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,STL 35,0,17,Brett Favre pass complete short right to Dustin Keller for 8 yards (tackle by Quinton Culberson),0.990,3.780
2,14:22,1,10,STL 27,0,17,Thomas Jones left end for 13 yards (tackle by Will Witherspoon),3.780,4.650
2,13:45,1,10,STL 14,0,17,Brad Smith right tackle for 6 yards (tackle by Corey Chavous and James Hall),4.650,5.090
2,12:59,2,4,STL 8,0,17,Brett Favre pass incomplete short left intended for Leon Washington (defended by Fakhir Brown),5.090,4.280
2,12:54,3,4,STL 8,0,17,Brett Favre pass complete short left to Leon Washington for 6 yards (tackle by Pisa Tinoisamoa),4.280,6.740
2,12:09,1,2,STL 2,0,23,"Thomas Jones right guard for 2 yards, touchdown",6.740,7.000
2,,,,STL 2,0,24,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYJ 30,0,24,"Jay Feely kicks off 59 yards, returned by Derek Stanley for 11 yards (tackle by Cody Spencer)",0.000,0.410
2,11:58,1,10,STL 22,0,24,Marc Bulger sacked by Eric Barton and Calvin Pace for -7 yards,0.410,-1.210
2,11:23,2,17,STL 15,0,24,Kenneth Darby left tackle for 4 yards (tackle by Cody Spencer),-1.210,-1.290
2,10:45,3,13,STL 19,0,24,"Marc Bulger pass complete short middle to Kenneth Darby for 6 yards (tackle by Abram Elam). Kenneth Darby fumbles (forced by Abram Elam), recovered by Abram Elam at STL-25 (tackle by Nick Leckey). Penalty on Hank Poteat: Defensive Holding, 5 yards (no play)",-1.290,0.540
2,10:32,1,10,STL 24,0,24,Marc Bulger pass incomplete short left intended for Joe Klopfenstein (defended by Abram Elam),0.540,0.000
2,10:26,2,10,STL 24,0,24,Marc Bulger pass complete short left to Anthony Becht for 3 yards (tackle by Darrelle Revis),0.000,-0.300
2,10:00,3,7,STL 27,0,24,Marc Bulger pass incomplete short right intended for Donnie Avery,-0.300,-1.570
2,9:54,4,7,STL 27,0,24,"Donnie Jones punts 37 yards, returned by Leon Washington for 15 yards (tackle by Pisa Tinoisamoa)",-1.570,-2.320
2,9:44,1,10,STL 49,0,24,Thomas Jones right tackle for 14 yards (tackle by Pisa Tinoisamoa),2.320,3.250
2,9:03,1,10,STL 35,0,24,Leon Washington right guard for no gain (tackle by Adam Carriker),3.250,2.700
2,8:22,2,10,STL 35,0,24,Brett Favre pass complete short left to Leon Washington for -4 yards (tackle by Victor Adeyanju),2.700,1.490
2,7:33,3,14,STL 39,0,24,Brett Favre pass complete short right to Brad Smith for 8 yards (tackle by Corey Chavous),1.490,1.340
2,6:58,,,,0,24,Timeout #1 by New York Jets,0.000,1.340
2,6:58,4,6,STL 31,0,27,Jay Feely 49 yard field goal good,1.340,3.000
2,,,,NYJ 30,0,27,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
2,6:53,1,10,STL 20,0,27,Antonio Pittman left tackle for 3 yards (tackle by C.J. Mosley and Shaun Ellis),0.280,0.140
2,6:19,2,7,STL 23,0,27,Marc Bulger pass incomplete short left intended for Torry Holt (defended by Darrelle Revis),0.140,-0.560
2,6:09,3,7,STL 23,0,27,Marc Bulger pass complete short right to Donnie Avery for 9 yards,-0.560,1.070
2,5:44,1,10,STL 32,0,27,"Marc Bulger pass complete short left to Derek Stanley for 12 yards (tackle by Dwight Lowery). Derek Stanley fumbles (forced by Dwight Lowery), recovered by Kerry Rhodes at STL-49 and returned for 18 yards (tackle by Dane Looker)",1.070,-3.510
2,5:28,1,10,STL 31,0,27,Thomas Jones right tackle for 3 yards (tackle by Will Witherspoon),3.510,3.370
2,4:50,2,7,STL 28,0,27,Thomas Jones right tackle for no gain (tackle by La'Roi Glover),3.370,2.680
2,4:06,3,7,STL 28,0,27,Brett Favre pass incomplete deep left intended for Chansi Stuckey (defended by Jason Craft),2.680,1.590
2,4:00,4,7,STL 28,0,30,Jay Feely 46 yard field goal good,1.590,3.000
2,,,,NYJ 30,0,30,"Jay Feely kicks off 61 yards, returned by Derek Stanley for 20 yards (tackle by Marques Murrell)",0.000,0.870
2,3:48,1,10,STL 29,0,30,Antonio Pittman up the middle for 1 yard (tackle by C.J. Mosley and Shaun Ellis),0.870,0.460
2,3:08,2,9,STL 30,0,30,Marc Bulger pass complete deep right to Donnie Avery for 20 yards (tackle by Dwight Lowery),0.460,2.260
2,2:37,1,10,,0,30,Marc Bulger pass incomplete deep left intended for Donnie Avery is intercepted by Kerry Rhodes at NYJ-32 and returned for 50 yards (tackle by Antonio Pittman),2.260,-4.370
2,2:22,1,10,STL 18,0,30,Brett Favre pass complete short left to Dustin Keller for 11 yards (tackle by Corey Chavous),4.370,5.600
2,2:00,1,7,STL 7,0,30,Thomas Jones left tackle for 5 yards (tackle by Quinton Culberson and O.J. Atogwe),5.600,5.720
2,1:19,2,2,STL 2,0,30,Thomas Jones right guard for 1 yard (tackle by Will Witherspoon and Quinton Culberson),5.720,5.170
2,0:35,3,1,STL 1,0,36,"Brett Favre pass complete short middle to Dustin Keller for 1 yard, touchdown. Penalty on Fakhir Brown: Defensive Holding (Declined)",5.170,7.000
2,,,,STL 2,0,37,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYJ 30,0,37,"Jay Feely kicks off 62 yards, returned by Derek Stanley for 23 yards (tackle by Jay Feely)",0.000,1.000
2,0:22,1,10,STL 31,0,37,"Kenneth Darby up the middle for 13 yards (tackle by Bryan Thomas). Kenneth Darby fumbles (forced by Bryan Thomas), recovered by Eric Barton at STL-45 and returned for 1 yards (tackle by Kenneth Darby)",1.000,-2.650
2,0:11,1,10,STL 44,0,37,Brett Favre pass complete short right to Leon Washington for 7 yards (tackle by Pisa Tinoisamoa),2.650,3.060
2,0:03,,,,0,37,Timeout #2 by New York Jets,0.000,3.060
2,0:03,2,3,STL 37,0,40,Jay Feely 55 yard field goal good,3.060,3.000
Quarter,Time,Down,ToGo,Location,STL,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,0,40,"Jay Feely kicks off 68 yards, returned by Derek Stanley for 22 yards (tackle by Jason Trusnik)",0.000,0.540
3,14:54,1,10,STL 24,0,40,Antonio Pittman left end for 2 yards (tackle by Eric Barton),0.540,0.270
3,14:16,2,8,STL 26,0,40,Trent Green pass complete short left to Dane Looker for 5 yards (tackle by Hank Poteat),0.270,0.230
3,13:52,3,3,STL 31,0,40,Trent Green pass complete short right to Antonio Pittman for 22 yards (tackle by Kerry Rhodes),0.230,2.460
3,13:11,1,10,NYJ 47,0,40,"Samkon Gado right guard for 1 yard (tackle by Kris Jenkins and Shaun Ellis). Penalty on Calvin Pace: Defensive Offside, 5 yards (no play)",2.460,3.190
3,12:42,1,5,NYJ 42,0,40,Samkon Gado right tackle for 3 yards (tackle by Calvin Pace and Shaun Ellis),3.190,2.990
3,12:07,2,2,NYJ 39,0,40,Samkon Gado left tackle for 1 yard (tackle by Eric Barton and David Bowens),2.990,2.410
3,12:07,,,,0,40,Timeout #1 by St. Louis Rams,0.000,2.410
3,11:21,3,1,NYJ 38,0,40,Trent Green pass complete short right to Antonio Pittman for 16 yards (tackle by Mike DeVito),2.410,4.110
3,10:43,1,10,NYJ 22,0,40,Trent Green pass incomplete short middle intended for Dane Looker,4.110,3.560
3,10:39,2,10,NYJ 22,0,40,Antonio Pittman left guard for 3 yards (tackle by Kenyon Coleman and David Bowens),3.560,3.260
3,10:02,3,7,NYJ 19,0,40,Trent Green pass incomplete short left intended for Torry Holt,3.260,2.180
3,9:56,4,7,NYJ 19,3,40,Josh Brown 37 yard field goal good,2.180,3.000
3,,,,STL 30,3,40,"Josh Brown kicks off 69 yards, returned by Leon Washington for 23 yards (tackle by Samkon Gado)",0.000,0.540
3,9:44,1,10,NYJ 24,3,40,Thomas Jones right tackle for 1 yard (tackle by Quinton Culberson and La'Roi Glover),0.540,0.130
3,9:07,2,9,NYJ 25,3,40,"Brett Favre for no gain. Brett Favre fumbles, recovered by Brett Favre at NYJ-20",0.130,-1.220
3,8:30,3,14,NYJ 20,3,40,Brett Favre pass complete short left to Brad Smith for 6 yards (tackle by Corey Chavous),-1.220,-1.630
3,7:55,4,8,NYJ 26,3,40,"Reggie Hodges punts 36 yards, returned by Dane Looker for 4 yards (tackle by James Ihedigbo)",-1.630,-1.730
3,7:43,1,10,STL 42,3,40,Antonio Pittman right end for 3 yards (tackle by Eric Barton),1.730,1.590
3,7:05,2,7,STL 45,3,40,"Donnie Avery right end for 13 yards (tackle by Kerry Rhodes and Darrelle Revis). Penalty on Torry Holt: Offensive Holding, 10 yards",1.590,2.000
3,6:40,2,4,STL 48,3,40,Trent Green pass incomplete short middle intended for Dane Looker,2.000,1.290
3,6:34,3,4,STL 48,3,40,"Trent Green pass incomplete short left intended for Donnie Avery. Penalty on Dwight Lowery: Defensive Holding, 5 yards (no play)",1.290,2.460
3,6:29,1,10,NYJ 47,3,40,Antonio Pittman left tackle for 12 yards (tackle by Cody Spencer and Abram Elam),2.460,3.250
3,5:50,1,10,NYJ 35,3,40,Trent Green pass complete short left to Samkon Gado for -1 yards (tackle by Abram Elam),3.250,2.570
3,5:11,2,11,NYJ 36,3,40,Trent Green pass complete short middle to Keenan Burton for 28 yards (tackle by Dwight Lowery),2.570,5.370
3,4:27,1,8,NYJ 8,3,40,Antonio Pittman up the middle for 3 yards (tackle by Cody Spencer and Darrelle Revis),5.370,5.150
3,3:45,2,5,NYJ 5,3,40,"Trent Green pass incomplete short right intended for Donnie Avery. Penalty on Dwight Lowery: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
3,3:41,1,1,NYJ 1,3,40,Antonio Pittman right guard for no gain (tackle by Eric Barton and David Bowens),6.970,5.910
3,3:07,2,1,NYJ 1,3,40,Antonio Pittman left tackle for no gain (tackle by Eric Barton and Cody Spencer),5.910,5.170
3,2:22,3,1,NYJ 1,3,40,Trent Green pass incomplete short left intended for Donnie Avery is intercepted by Hank Poteat at NYJ-0 and returned for 41 yards,5.170,-1.660
3,2:11,1,10,NYJ 41,3,40,Thomas Jones right guard for 7 yards,1.660,2.070
3,1:29,2,3,NYJ 48,3,40,Thomas Jones right end for no gain (tackle by Will Witherspoon),2.070,1.360
3,0:43,3,3,NYJ 48,3,40,"Brett Favre pass incomplete short left intended for Laveranues Coles. Penalty on Fakhir Brown: Defensive Pass Interference, 6 yards (no play)",1.360,2.520
3,0:35,1,10,STL 46,3,40,Thomas Jones left guard for -1 yards,2.520,1.840
Quarter,Time,Down,ToGo,Location,STL,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,STL 47,3,40,Brett Favre pass complete deep left to Dustin Keller for 30 yards (tackle by Fakhir Brown),1.840,4.440
4,14:24,1,10,STL 17,3,40,Thomas Jones right end for 6 yards (tackle by Ronald Bartell),4.440,4.890
4,13:35,,,,3,40,Timeout #1 by New York Jets,0.000,4.890
4,13:35,2,4,STL 11,3,40,Thomas Jones left tackle for 5 yards (tackle by Quinton Culberson),4.890,5.830
4,12:42,1,6,STL 6,3,46,"Thomas Jones right guard for 6 yards, touchdown",5.830,7.000
4,,,,STL 2,3,47,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,3,47,"Jay Feely kicks off 66 yards, returned by Derek Stanley for 24 yards (tackle by Ahmad Carroll)",0.000,0.810
4,12:33,1,10,STL 28,3,47,Antonio Pittman left tackle for -1 yards (tackle by Eric Barton),0.810,0.130
4,11:57,2,11,STL 27,3,47,Trent Green right end for 3 yards (tackle by Eric Barton),0.130,-0.160
4,11:31,3,8,STL 30,3,47,Trent Green pass incomplete deep left intended for Torry Holt,-0.160,-1.370
4,11:25,4,8,STL 30,3,47,"Donnie Jones punts 56 yards, returned by Leon Washington for 8 yards (tackle by David Vobora)",-1.370,-0.410
4,11:09,1,10,NYJ 22,3,47,Leon Washington left end for 6 yards (tackle by Fakhir Brown and Victor Adeyanju),0.410,0.680
4,10:25,2,4,NYJ 28,3,47,Leon Washington right guard for -1 yards (tackle by Victor Adeyanju),0.680,-0.160
4,9:42,3,5,NYJ 27,3,47,Leon Washington right end for 10 yards (tackle by O.J. Atogwe and Corey Chavous),-0.160,1.400
4,8:55,1,10,NYJ 37,3,47,Leon Washington right guard for 4 yards (tackle by Pisa Tinoisamoa),1.400,1.400
4,8:13,2,6,NYJ 41,3,47,Leon Washington up the middle for 8 yards (tackle by O.J. Atogwe and Corey Chavous),1.400,2.190
4,7:29,1,10,NYJ 49,3,47,Leon Washington right guard for -1 yards (tackle by Quinton Culberson and Victor Adeyanju),2.190,1.510
4,6:45,2,11,NYJ 48,3,47,Leon Washington left tackle for 1 yard,1.510,0.960
4,6:03,3,10,NYJ 49,3,47,Leon Washington left end for 13 yards (tackle by Fakhir Brown),0.960,3.050
4,5:16,1,10,STL 38,3,47,Thomas Jones right tackle for 3 yards (tackle by O.J. Atogwe),3.050,2.910
4,4:33,2,7,STL 35,3,47,Thomas Jones left guard for 12 yards (tackle by O.J. Atogwe and Quinton Culberson),2.910,4.040
4,3:49,1,10,STL 23,3,47,Thomas Jones right guard for 3 yards (tackle by Will Witherspoon and Victor Adeyanju),4.040,3.900
4,3:06,2,7,STL 20,3,47,Leon Washington right tackle for 1 yard (tackle by Pisa Tinoisamoa and La'Roi Glover),3.900,3.340
4,2:21,3,6,STL 19,3,47,Leon Washington right end for 11 yards (tackle by Corey Chavous),3.340,5.370
4,2:00,1,8,STL 8,3,47,Kellen Clemens kneels for -1 yards,5.370,4.380
4,1:19,2,9,STL 9,3,47,Kellen Clemens kneels for -1 yards,4.380,3.130
4,0:38,3,10,STL 10,3,47,Kellen Clemens kneels for -1 yards,3.130,2.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
