Unnamed: 0,STL,NYJ
First Downs,11,24
Rush-Yds-TDs,21-80-0,43-206-3
Cmp-Att-Yd-TD-INT,11-23-135-0-2,14-19-167-1-0
Sacked-Yards,2-15,0-0
Net Pass Yards,120,167
Total Yards,200,373
Fumbles-Lost,3-3,1-0
Turnovers,5,0
Penalties-Yards,4-25,5-24
Third Down Conv.,4-10,7-13
Fourth Down Conv.,0-0,1-1
Time of Possession,22:57,37:03
