Unnamed: 0,WAS,KAN
First Downs,26,18
Rush-Yds-TDs,28-101-0,32-96-1
Cmp-Att-Yd-TD-INT,25-41-331-3-0,15-25-181-1-0
Sacked-Yards,4-34,1-3
Net Pass Yards,297,178
Total Yards,398,274
Fumbles-Lost,3-3,2-0
Turnovers,3,0
Penalties-Yards,5-54,4-24
Third Down Conv.,5-12,4-12
Fourth Down Conv.,0-1,1-1
Time of Possession,32:20,27:40
