Quarter,Time,Tm,Detail,WAS,KAN
1.0,2:45,Chiefs,Lawrence Tynes 20 yard field goal,0,3
2.0,13:31,Redskins,Santana Moss 4 yard pass from Mark Brunell (Nick Novak kick),7,3
,5:54,Chiefs,Lawrence Tynes 38 yard field goal,7,6
3.0,11:38,Chiefs,Priest Holmes 6 yard rush (Marc Boerigter pass from Trent Green),7,14
,10:48,Redskins,Santana Moss 78 yard pass from Mark Brunell (Nick Novak kick),14,14
,5:40,Chiefs,Sammy Knight 80 yard defensive fumble return (Lawrence Tynes kick),14,21
,0:30,Redskins,Chris Cooley 11 yard pass from Mark Brunell (Nick Novak kick),21,21
4.0,13:21,Chiefs,Priest Holmes 60 yard pass from Trent Green (Lawrence Tynes kick),21,28
