Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 67 yards, returned by James Thrash for 24 yards (tackle by Gary Stills)",0.000,0.740
1,14:53,1,10,WAS 27,0,0,Clinton Portis up the middle for 13 yards (tackle by Derrick Johnson),0.740,1.600
1,14:17,1,10,WAS 40,0,0,Clinton Portis left end for 2 yards (tackle by Kendrell Bell),1.600,1.320
1,13:57,2,8,WAS 42,0,0,Mark Brunell pass complete to Chris Cooley for 17 yards (tackle by Dexter McCleon),1.320,2.850
1,13:19,1,10,KAN 41,0,0,Clinton Portis left end for 1 yard (tackle by John Browning),2.850,2.440
1,12:43,2,9,KAN 40,0,0,Clinton Portis up the middle for 9 yards (tackle by Dexter McCleon and Kawika Mitchell),2.440,3.510
1,12:05,1,10,KAN 31,0,0,Clinton Portis right tackle for 1 yard (tackle by Sammy Knight),3.510,3.100
1,11:30,2,9,KAN 30,0,0,Mark Brunell pass complete to Santana Moss for 10 yards (tackle by Derrick Johnson),3.100,4.240
1,10:56,1,10,KAN 20,0,0,Rock Cartwright up the middle for 1 yard (tackle by Eric Hicks),4.240,3.820
1,10:17,2,9,KAN 19,0,0,Mark Brunell pass incomplete intended for Chris Cooley,3.820,3.100
1,10:12,,,,0,0,Timeout #1 by Washington Redskins,0.000,3.100
1,10:12,3,9,KAN 19,0,0,Mark Brunell pass complete to Clinton Portis for 10 yards (tackle by Kris Griffin),3.100,5.140
1,9:27,1,9,KAN 9,0,0,Mark Brunell pass complete to Santana Moss for 2 yards (tackle by Sammy Knight),5.140,4.760
1,8:51,2,7,KAN 7,0,0,Clinton Portis right end for no gain (tackle by Kawika Mitchell and Derrick Johnson),4.760,3.810
1,8:13,3,7,KAN 7,0,0,"Mark Brunell sacked by Jared Allen for -11 yards. Mark Brunell fumbles (forced by Jared Allen), recovered by Jared Allen at KAN-18",3.810,-0.040
1,8:07,1,10,KAN 18,0,0,Trent Green pass incomplete intended for Tony Gonzalez (defended by Walt Harris),0.040,-0.490
1,8:02,2,10,KAN 18,0,0,Priest Holmes left end for 9 yards (tackle by Renaldo Wynn),-0.490,-0.020
1,7:50,3,1,KAN 27,0,0,Priest Holmes up the middle for 4 yards (tackle by Marcus Washington),-0.020,1.000
1,7:17,1,10,KAN 31,0,0,Priest Holmes left end for 3 yards (tackle by Carlos Rogers),1.000,0.870
1,6:53,2,7,KAN 34,0,0,"Trent Green pass incomplete intended for Tony Gonzalez. Penalty on Marcus Washington: Illegal Contact, 5 yards (no play)",0.870,1.530
1,6:48,1,10,KAN 39,0,0,Priest Holmes left end for 3 yards (tackle by Carlos Rogers),1.530,1.390
1,6:15,2,7,KAN 42,0,0,"Trent Green pass incomplete intended for Tony Gonzalez. Penalty on Lemar Marshall: Defensive Pass Interfere, 20 yards (no play)",1.390,3.050
1,6:08,1,10,WAS 38,0,0,Priest Holmes up the middle for 3 yards (tackle by Lemar Marshall),3.050,2.910
1,5:43,2,7,WAS 35,0,0,Trent Green pass complete to Samie Parker for 9 yards (tackle by Carlos Rogers),2.910,3.840
1,5:01,1,10,WAS 26,0,0,Trent Green pass complete to Priest Holmes for 6 yards (tackle by Cedric Killings),3.840,4.110
