Unnamed: 0,SFO,SDG
First Downs,11,24
Rush-Yds-TDs,15-61-1,41-108-1
Cmp-Att-Yd-TD-INT,19-29-165-0-1,19-25-273-3-0
Sacked-Yards,6-34,1-7
Net Pass Yards,131,266
Total Yards,192,374
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-60,4-35
Third Down Conv.,2-12,7-14
Fourth Down Conv.,0-3,1-1
Time of Possession,22:49,37:11
