Quarter,Time,Tm,Detail,SFO,SDG
1.0,12:53,Chargers,Vincent Jackson 58 yard pass from Philip Rivers (Nate Kaeding kick),0,7
2.0,6:03,Chargers,Nate Kaeding 25 yard field goal,0,10
,1:19,Chargers,Vincent Jackson 11 yard pass from Philip Rivers (Nate Kaeding kick),0,17
3.0,4:52,Chargers,Mike Tolbert 1 yard rush (Nate Kaeding kick),0,24
4.0,12:06,Chargers,Vincent Jackson 21 yard pass from Philip Rivers (Nate Kaeding kick),0,31
,7:38,Chargers,Nate Kaeding 39 yard field goal,0,34
,4:26,49ers,Brian Westbrook 3 yard rush (Jeff Reed kick),7,34
