Quarter,Time,Down,ToGo,Location,SFO,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Jeff Reed kicks off 67 yards, returned by Darren Sproles for 23 yards (tackle by Ahmad Brooks)",0.000,0.670
1,14:55,1,10,SDG 26,0,0,Ryan Mathews left end for 5 yards (tackle by Parys Haralson),0.670,0.810
1,14:19,2,5,SDG 31,0,0,Philip Rivers pass complete short left to Randy McMichael for 9 yards (tackle by Parys Haralson),0.810,1.600
1,13:42,1,10,SDG 40,0,0,Mike Tolbert right tackle for 2 yards (tackle by Takeo Spikes and Dashon Goldson),1.600,1.320
1,13:04,2,8,SDG 42,0,6,"Philip Rivers pass complete deep right to Vincent Jackson for 58 yards, touchdown",1.320,7.000
1,,,,SFO 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 56 yards, returned by Ted Ginn for 11 yards (tackle by Jacob Hester)",0.000,0.610
1,12:48,1,10,SFO 25,0,7,Alex Smith sacked by Kevin Burnett for -2 yards,0.610,-0.210
1,12:14,2,12,SFO 23,0,7,Brian Westbrook left end for 7 yards (tackle by Eric Weddle),-0.210,0.040
1,11:29,3,5,SFO 30,0,7,Alex Smith pass complete short right to Michael Crabtree for 9 yards (tackle by Quentin Jammer and Dante Hughes),0.040,1.530
1,10:55,1,10,SFO 39,0,7,Anthony Dixon middle for 8 yards (tackle by Kevin Burnett),1.530,2.070
1,10:24,2,2,SFO 47,0,7,Anthony Dixon middle for no gain (tackle by Antonio Garay),2.070,1.360
1,9:43,,,,0,7,Timeout #1 by San Francisco 49ers,0.000,1.360
1,9:43,3,2,SFO 47,0,7,Alex Smith pass incomplete short left intended for Delanie Walker,1.360,-0.260
1,9:40,4,2,SFO 47,0,7,"Andy Lee punts 45 yards, returned by Antoine Cason for 1 yard (tackle by C.J. Spillman)",-0.260,0.380
1,9:31,1,10,SDG 9,0,7,Mike Tolbert middle for 5 yards (tackle by Dashon Goldson),-0.380,-0.390
1,8:58,2,5,SDG 14,0,7,Mike Tolbert middle for 2 yards (tackle by Aubrayo Franklin and Takeo Spikes),-0.390,-0.600
1,8:19,3,3,SDG 16,0,7,Philip Rivers pass complete short right to Darren Sproles for 4 yards (tackle by Dashon Goldson),-0.600,0.280
1,7:41,1,10,SDG 20,0,7,Mike Tolbert right end for 5 yards (tackle by Nate Clements),0.280,0.410
1,7:00,2,5,SDG 25,0,7,Philip Rivers pass complete short left to Jacob Hester for -8 yards (tackle by Patrick Willis),0.410,-1.510
1,6:15,3,13,SDG 17,0,7,Philip Rivers pass incomplete short left intended for Darren Sproles,-1.510,-2.320
1,6:09,4,13,SDG 17,0,7,"Mike Scifres punts 50 yards, returned by Ted Ginn for 1 yard (tackle by Brandon Siler). Penalty on Phillip Adams: Illegal Block Above the , 10 yards",-2.320,-0.540
1,5:54,1,10,SFO 24,0,7,Alex Smith pass incomplete deep left intended for Delanie Walker (defended by Antwan Applewhite),0.540,0.000
1,5:49,2,10,SFO 24,0,7,Alex Smith pass incomplete short right intended for Josh Morgan,0.000,-0.690
1,5:44,3,10,SFO 24,0,7,Alex Smith pass complete short right to Josh Morgan for 5 yards (tackle by Kevin Burnett),-0.690,-1.440
1,5:22,4,5,SFO 29,0,7,"Andy Lee punts 45 yards, returned by Antoine Cason for 5 yards (tackle by NaVorro Bowman)",-1.440,-1.000
1,5:11,1,10,SDG 31,0,7,Mike Tolbert middle for 1 yard (tackle by Aubrayo Franklin),1.000,0.600
1,4:32,2,9,SDG 32,0,7,Philip Rivers sacked by Isaac Sopoaga for -7 yards,0.600,-1.020
1,3:53,3,16,SDG 25,0,7,Philip Rivers pass complete short right to Darren Sproles for 2 yards (tackle by Nate Clements),-1.020,-1.570
1,3:20,4,14,SDG 27,0,7,Mike Scifres punts 54 yards,-1.570,-1.730
1,3:07,1,10,SFO 42,0,7,Anthony Dixon middle for 6 yards (tackle by Kevin Burnett and Shaun Phillips),1.730,2.000
1,2:22,2,4,SFO 48,0,7,Alex Smith pass complete short middle to Josh Morgan for 13 yards (tackle by Steve Gregory),2.000,2.980
1,1:47,1,10,SDG 39,0,7,Anthony Dixon right end for 17 yards (tackle by Eric Weddle),2.980,4.110
1,1:05,1,10,SDG 22,0,7,Brian Westbrook middle for 2 yards (tackle by Jacques Cesaire),4.110,3.830
1,0:25,2,8,SDG 20,0,7,Brian Westbrook left tackle for no gain (tackle by Shaun Phillips),3.830,3.140
Quarter,Time,Down,ToGo,Location,SFO,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,SDG 20,0,7,Alex Smith pass incomplete deep left intended for Ted Ginn,3.140,2.120
2,14:53,4,8,SDG 20,0,7,"Jeff Reed 38 yard field goal good. Penalty on Antonio Garay: Leverage, 10 yards (no play)",2.120,4.910
2,14:49,1,10,SDG 10,0,7,Brian Westbrook middle for no gain (tackle by Jacques Cesaire),4.910,4.190
2,14:11,2,10,SDG 10,0,7,Alex Smith pass complete short left to Delanie Walker for 3 yards (tackle by Antoine Cason and Antwan Applewhite),4.190,3.810
2,13:23,3,7,SDG 7,0,7,Alex Smith left end for 6 yards (tackle by Antoine Cason),3.810,3.550
,,,,,,,"SDG challenged the runner broke the plane ruling, and the original play was overturned.",,
2,13:08,4,1,SDG 1,0,7,Anthony Dixon middle for -1 yards (tackle by Brandon Siler),3.550,0.380
2,13:03,1,10,SDG 3,0,7,Jacob Hester middle for 6 yards (tackle by Travis LaBoy),-0.380,-0.340
2,12:33,2,4,SDG 9,0,7,Mike Tolbert left end for 3 yards (tackle by Takeo Spikes and Dashon Goldson),-0.340,-0.370
2,11:51,3,1,SDG 12,0,7,Jacob Hester right guard for 1 yard (tackle by Takeo Spikes),-0.370,-0.320
2,11:05,1,10,SDG 13,0,7,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",-0.320,-0.570
2,10:52,1,15,SDG 8,0,7,"Mike Tolbert left end for no gain (tackle by Travis LaBoy). Penalty on Justin Smith: Disqualification, 15 yards",-0.570,0.480
2,10:31,1,10,SDG 23,0,7,Philip Rivers pass complete short left to Kory Sperry for 35 yards (tackle by Shawntae Spencer),0.480,2.790
2,9:45,1,10,SFO 42,0,7,Philip Rivers pass complete short right to Vincent Jackson for 15 yards (tackle by Nate Clements),2.790,3.780
2,9:15,1,10,SFO 27,0,7,Philip Rivers pass incomplete short left intended for Mike Tolbert,3.780,3.230
2,9:10,2,10,SFO 27,0,7,Philip Rivers pass complete short right to Darren Sproles for 5 yards (tackle by Ahmad Brooks),3.230,3.200
2,8:37,3,5,SFO 22,0,7,Philip Rivers pass complete short left to Vincent Jackson for 7 yards (tackle by Patrick Willis),3.200,4.580
2,7:57,1,10,SFO 15,0,7,Mike Tolbert left end for no gain (tackle by Dashon Goldson),4.580,3.950
2,7:08,2,10,SFO 15,0,7,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",3.950,3.350
2,6:54,2,15,SFO 20,0,7,Philip Rivers pass complete short left to Kelley Washington for 13 yards (tackle by Nate Clements),3.350,4.680
2,6:13,3,2,SFO 7,0,7,Philip Rivers pass incomplete short left intended for Vincent Jackson,4.680,3.000
2,6:06,4,2,SFO 7,0,10,Nate Kaeding 25 yard field goal good,3.000,3.000
2,,,,SDG 30,0,10,"Nate Kaeding kicks off 66 yards, returned by Ted Ginn for 21 yards (tackle by Dante Hughes)",0.000,0.610
2,5:56,1,10,SFO 25,0,10,Alex Smith pass complete deep left to Josh Morgan for 26 yards (tackle by Quentin Jammer),0.610,2.320
2,5:42,1,10,SDG 49,0,10,Brian Westbrook left end for 3 yards (tackle by Steve Gregory),2.320,2.190
2,5:17,2,7,SDG 46,0,10,Brian Westbrook right end for 4 yards (tackle by Shaun Phillips),2.190,2.020
2,4:32,3,3,SDG 42,0,10,Alex Smith sacked by Antonio Garay for -6 yards,2.020,0.070
2,4:13,4,9,SDG 48,0,10,"Andy Lee punts 35 yards, fair catch by Antoine Cason",0.070,0.320
2,4:08,1,10,SDG 13,0,10,Ryan Mathews middle for no gain (tackle by Ray McDonald and Patrick Willis),-0.320,-0.770
