Quarter,Time,Tm,Detail,IND,SEA
1.0,7:51,Colts,Mike Vanderjagt 24 yard field goal,3,0
,5:42,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),3,7
2.0,11:46,Seahawks,Jerramy Stevens 15 yard pass from Matt Hasselbeck (Josh Brown kick),3,14
,0:37,Colts,Mike Vanderjagt 32 yard field goal,6,14
3.0,10:57,Seahawks,Shaun Alexander 6 yard pass from Matt Hasselbeck (Josh Brown kick),6,21
4.0,3:58,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),6,28
,1:59,Colts,Troy Walters 6 yard pass from Jim Sorgi (Mike Vanderjagt kick),13,28
