Unnamed: 0,IND,SEA
First Downs,20,21
Rush-Yds-TDs,23-43-0,30-173-2
Cmp-Att-Yd-TD-INT,31-43-353-1-0,17-21-168-2-0
Sacked-Yards,2-9,2-9
Net Pass Yards,344,159
Total Yards,387,332
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,4-30,5-30
Third Down Conv.,6-15,1-7
Fourth Down Conv.,2-3,1-1
Time of Possession,33:37,26:23
