Unnamed: 0,KAN,SDG
First Downs,26,21
Rush-Yds-TDs,20-70-1,29-138-1
Cmp-Att-Yd-TD-INT,33-53-373-1-4,18-31-232-2-1
Sacked-Yards,0-0,2-17
Net Pass Yards,373,215
Total Yards,443,353
Fumbles-Lost,0-0,4-1
Turnovers,4,2
Penalties-Yards,5-45,7-50
Third Down Conv.,7-13,4-10
Fourth Down Conv.,1-2,0-1
Time of Possession,30:11,29:49
