Quarter,Time,Tm,Detail,KAN,SDG
1.0,10:56,Chargers,Nate Kaeding 34 yard field goal,0,3
2.0,7:08,Chiefs,Lawrence Tynes 50 yard field goal,3,3
,2:24,Chargers,Doug Flutie 1 yard rush (Nate Kaeding kick),3,10
,0:12,Chargers,Ryan Krause 10 yard pass from Doug Flutie (Nate Kaeding kick),3,17
4.0,7:11,Chargers,Malcom Floyd 13 yard pass from Philip Rivers (Nate Kaeding kick),3,24
,4:10,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),10,24
,2:10,Chiefs,Larry Johnson 14 yard pass from Trent Green (Lawrence Tynes kick),17,24
