Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
2,9:47,3,3,SDG 40,0,3,"Trent Green pass incomplete intended for Tony Gonzalez. Penalty on Jacques Cesaire: Defensive Offside, 5 yards (no play)",2.150,3.250
2,9:42,1,10,SDG 35,0,3,Trent Green pass complete to Larry Johnson for 8 yards (tackle by Quentin Jammer),3.250,3.780
2,9:04,2,2,SDG 27,0,3,Larry Johnson up the middle for 5 yards (tackle by Ben Leber),3.780,4.110
2,8:30,1,10,SDG 22,0,3,Larry Johnson left tackle for no gain (tackle by Jason Fisk and Ben Leber),4.110,3.560
2,7:49,2,10,SDG 22,0,3,Trent Green pass incomplete intended for Eddie Kennison,3.560,2.870
2,7:43,3,10,SDG 22,0,3,"Trent Green pass complete to Samie Parker for 13 yards (tackle by Jerry Wilson). Penalty on Samie Parker: Offensive Pass Interference, 10 yards (no play)",2.870,1.550
2,7:19,3,20,SDG 32,0,3,Trent Green pass incomplete intended for Tony Richardson,1.550,1.240
2,7:13,4,20,SDG 32,3,3,Lawrence Tynes 50 yard field goal good,1.240,3.000
2,,,,KAN 30,3,3,"Lawrence Tynes kicks off 58 yards, returned by Robb Butler for 11 yards (tackle by Gary Stills). Penalty on Andrew Pinnock: Offensive Holding, 10 yards",0.000,-0.320
2,7:01,1,10,SDG 13,3,3,Doug Flutie right end for 20 yards (tackle by Scott Fujita),-0.320,1.140
2,6:16,1,10,SDG 33,3,3,Doug Flutie pass incomplete intended for Malcom Floyd,1.140,0.590
2,6:08,2,10,SDG 33,3,3,Doug Flutie pass complete to Malcom Floyd for 9 yards (tackle by Dexter McCleon),0.590,1.090
2,5:25,3,1,SDG 42,3,3,"Doug Flutie for no gain (tackle by Monty Beisel). Penalty on KAN: Defensive 12 On-field, 5 yards (no play)",1.090,2.060
2,5:05,1,10,SDG 47,3,3,Doug Flutie pass complete to Ryan Krause for 17 yards (tackle by Benny Sapp),2.060,3.180
2,4:17,1,10,KAN 36,3,3,Andrew Pinnock up the middle for 3 yards (tackle by Jimmy Wilkerson),3.180,3.040
2,3:32,2,7,KAN 33,3,3,Doug Flutie pass complete to Kassim Osgood for 28 yards (tackle by Shaunard Harts),3.040,6.060
2,2:59,1,5,KAN 5,3,3,"Andrew Pinnock up the middle for 3 yards (tackle by Greg Wesley). Andrew Pinnock fumbles (forced by Greg Wesley), recovered by Mike Goff at KAN-1",6.060,5.910
2,2:26,2,1,KAN 1,3,9,"Doug Flutie up the middle for 1 yard, touchdown",5.910,7.000
2,,,,KAN 2,3,10,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,10,"Nate Kaeding kicks off 67 yards, returned by Dante Hall for 13 yards (tackle by Kassim Osgood)",0.000,-0.140
2,2:18,1,10,KAN 16,3,10,Trent Green pass incomplete intended for Eddie Kennison (defended by Terrence Kiel),-0.140,-0.660
2,2:12,2,10,KAN 16,3,10,Trent Green pass incomplete intended for Tony Richardson,-0.660,-1.320
2,2:05,3,10,KAN 16,3,10,Trent Green pass complete to Tony Richardson for 8 yards (tackle by Donnie Edwards),-1.320,-1.770
2,1:58,4,2,KAN 24,3,10,"Nick Murphy punts 34 yards, fair catch by Eric Parker",-1.770,-1.730
2,1:52,1,10,SDG 42,3,10,Michael Turner right tackle for 1 yard (tackle by Kawika Mitchell),1.730,1.320
2,1:16,2,9,SDG 43,3,10,"Doug Flutie pass complete to Michael Turner for 1 yard (tackle by Benny Sapp). Michael Turner fumbles (forced by Benny Sapp), recovered by Monty Beisel at SDG-38 and returned for 9 yards (tackle by Doug Flutie)",1.320,-3.640
2,1:02,1,10,SDG 29,3,10,Trent Green pass incomplete intended for Eddie Kennison is intercepted by Terrence Kiel at SDG-5 and returned for 31 yards (tackle by Kris Wilson),3.640,-1.330
2,0:52,1,10,SDG 36,3,10,Doug Flutie pass complete to Kassim Osgood for 27 yards (tackle by Greg Wesley),1.330,3.120
2,0:38,,,,3,10,Timeout #2 by San Diego Chargers,0.000,3.120
2,0:38,1,10,KAN 37,3,10,Doug Flutie pass complete to Malcom Floyd for 27 yards (tackle by Shaunard Harts),3.120,4.910
2,0:29,,,,3,10,Timeout #3 by San Diego Chargers,0.000,4.910
2,0:29,1,10,KAN 10,3,10,Doug Flutie pass incomplete intended for Kassim Osgood,4.910,4.190
2,0:24,2,10,KAN 10,3,10,Doug Flutie pass incomplete intended for Malcom Floyd (defended by Dexter McCleon),4.190,3.130
2,0:19,3,10,KAN 10,3,16,"Doug Flutie pass complete to Ryan Krause for 10 yards, touchdown",3.130,7.000
2,,,,KAN 2,3,17,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,17,"Nate Kaeding kicks off 48 yards, returned by Dante Hall for 37 yards (tackle by Nate Kaeding)",0.000,2.850
