Unnamed: 0,LAR,IND
First Downs,21,22
Rush-Yds-TDs,29-101-1,26-109-0
Cmp-Att-Yd-TD-INT,19-30-278-2-1,22-36-272-1-2
Sacked-Yards,1-8,3-27
Net Pass Yards,270,245
Total Yards,371,354
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,2-15,3-25
Third Down Conv.,3-9,5-11
Fourth Down Conv.,0-1,0-1
Time of Possession,28:28,31:32
