Quarter,Time,Tm,Detail,LAR,IND
1.0,3:18,Rams,Cooper Kupp 16 yard pass from Matthew Stafford (Matt Gay kick),7,0
2.0,14:52,Colts,Rodrigo Blankenship 48 yard field goal,7,3
,1:51,Rams,Matt Gay 34 yard field goal,10,3
,0:00,Colts,Rodrigo Blankenship 46 yard field goal,10,6
3.0,11:36,Rams,Darrell Henderson 2 yard rush (Matt Gay kick),17,6
,3:43,Colts,Zach Pascal 8 yard pass from Carson Wentz (Jack Doyle pass from Carson Wentz),17,14
4.0,14:12,Colts,Ashton Dulin fumble recovery in end zone (Rodrigo Blankenship kick),17,21
,12:09,Rams,Cooper Kupp 10 yard pass from Matthew Stafford (Matt Gay kick),24,21
,7:22,Colts,Rodrigo Blankenship 35 yard field goal,24,24
,2:23,Rams,Matt Gay 38 yard field goal,27,24
