Unnamed: 0,BAL,NWE
First Downs,19,25
Rush-Yds-TDs,28-115-0,39-173-1
Cmp-Att-Yd-TD-INT,24-34-249-2-1,14-18-142-2-0
Sacked-Yards,2-7,1-7
Net Pass Yards,242,135
Total Yards,357,308
Fumbles-Lost,3-0,0-0
Turnovers,1,0
Penalties-Yards,8-64,3-18
Third Down Conv.,6-13,5-11
Fourth Down Conv.,1-3,1-1
Time of Possession,32:34,27:26
