Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BAL 25,0,0,Lamar Jackson pass complete short right to Mark Ingram for 17 yards (tackle by Chase Winovich),0.610,1.730
1,14:21,1,10,BAL 42,0,0,Mark Ingram left end for -1 yards (tackle by Carl Davis and Kyle Dugger),1.730,1.050
1,13:36,2,11,BAL 41,0,0,Lamar Jackson pass incomplete short middle intended for Marquise Brown (defended by John Simon),1.050,0.370
1,13:30,3,11,BAL 41,0,0,Lamar Jackson pass incomplete deep right intended for Marquise Brown (defended by Jason McCourty),0.370,-0.650
1,13:23,4,11,BAL 41,0,0,"Sam Koch punts 44 yards, fair catch by Gunner Olszewski at NE-15. Penalty on Justice Hill: Unnecessary Roughness, 15 yards",-0.650,-0.940
1,13:13,1,10,NWE 30,0,0,Damien Harris left tackle for 7 yards (tackle by Patrick Queen),0.940,1.340
1,12:40,2,3,NWE 37,0,0,Damien Harris right guard for 4 yards (tackle by Chuck Clark and Derek Wolfe),1.340,1.660
1,12:20,1,10,NWE 41,0,0,Damien Harris left tackle for 7 yards (tackle by Matt Judon),1.660,2.070
1,12:01,2,3,NWE 48,0,0,Damien Harris up the middle for 3 yards (tackle by Derek Wolfe),2.070,2.320
1,11:37,1,10,BAL 49,0,0,Damien Harris left end for no gain (tackle by DeShon Elliott),2.320,1.780
1,11:09,2,10,BAL 49,0,0,Cam Newton left end for 6 yards (tackle by DeShon Elliott and Patrick Queen),1.780,1.880
1,10:29,3,4,BAL 43,0,0,Cam Newton pass complete short left to Rex Burkhead for 3 yards (tackle by Justin Madubuike),1.880,0.590
1,9:50,4,1,BAL 40,0,0,Cam Newton up the middle for 2 yards (tackle by Justin Madubuike and Derek Wolfe),0.590,3.050
1,9:11,1,10,BAL 38,0,0,Cam Newton pass incomplete short middle intended for Jakobi Meyers,3.050,2.510
1,9:08,2,10,BAL 38,0,0,Cam Newton pass complete short right to James White for 4 yards (tackle by DeShon Elliott),2.510,2.340
1,8:30,3,6,BAL 34,0,0,Cam Newton sacked by Matt Judon for -7 yards,2.340,0.530
1,8:06,4,13,BAL 41,0,0,"Jake Bailey punts 35 yards, fair catch by James Proche at BAL-6",0.530,0.380
1,7:58,1,10,BAL 6,0,0,J.K. Dobbins right end for 4 yards (tackle by Chase Winovich),-0.380,-0.490
1,7:14,2,6,BAL 10,0,0,J.K. Dobbins up the middle for 4 yards (tackle by Kyle Dugger),-0.490,-0.480
1,6:26,3,2,BAL 14,0,0,Lamar Jackson left guard for 3 yards (tackle by Adrian Phillips),-0.480,-0.060
1,5:43,1,10,BAL 17,0,0,Lamar Jackson left guard for 1 yard (tackle by Lawrence Guy),-0.060,-0.420
1,4:59,2,9,BAL 18,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards (tackle by Terez Hall),-0.420,1.000
1,4:18,1,10,BAL 31,0,0,Gus Edwards up the middle for 5 yards (tackle by Chase Winovich and Kyle Dugger),1.000,1.140
1,3:38,2,5,BAL 36,0,0,Lamar Jackson pass complete short middle to Willie Snead for 21 yards (tackle by Chase Winovich),1.140,2.720
1,2:56,1,10,NWE 43,0,0,Lamar Jackson left end for 7 yards (tackle by Jason McCourty),2.720,3.120
1,2:25,2,3,NWE 36,0,0,Lamar Jackson pass complete short right to Devin Duvernay for 19 yards (tackle by Devin McCourty),3.120,4.440
1,1:51,1,10,NWE 17,0,0,Lamar Jackson left end for 5 yards (tackle by Terez Hall),4.440,4.690
1,1:06,2,5,NWE 12,0,0,J.K. Dobbins left guard for 3 yards (tackle by Lawrence Guy),4.690,4.570
1,0:21,3,2,NWE 9,0,0,Gus Edwards left guard for 3 yards (tackle by Deatrich Wise and John Simon),4.570,5.830
Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,6,NWE 6,6,0,"Lamar Jackson pass complete short middle to Willie Snead for 6 yards, touchdown",5.830,7.000
2,14:54,,,NWE 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
2,14:54,,,BAL 35,7,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,14:54,1,10,NWE 25,7,0,"Cam Newton pass complete short right to Jakobi Meyers for 19 yards (tackle by DeShon Elliott). Penalty on DeShon Elliott: Lowering the Head to Initiate Contact, 15 yards",0.610,2.850
2,14:31,1,10,BAL 41,7,0,Cam Newton pass incomplete deep left intended for Rex Burkhead,2.850,2.310
2,14:26,2,10,BAL 41,7,0,Rex Burkhead right guard for 7 yards (tackle by Justin Ellis and Chuck Clark),2.310,2.540
2,13:42,3,3,BAL 34,7,0,Rex Burkhead right end for 4 yards (tackle by Chuck Clark),2.540,3.580
2,13:09,1,10,BAL 30,7,0,Damien Harris left tackle for 3 yards (tackle by Justin Ellis),3.580,3.440
2,12:33,2,7,BAL 27,7,0,Cam Newton pass complete short left to Ryan Izzo for 20 yards (tackle by DeShon Elliott),3.440,5.600
2,11:52,1,7,BAL 7,7,6,"Cam Newton pass complete short right to Rex Burkhead for 7 yards, touchdown",5.600,7.000
2,11:46,,,BAL 15,7,7,Nick Folk kicks extra point good,0.000,0.000
2,11:46,,,NWE 35,7,7,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,11:46,1,10,BAL 25,7,7,Lamar Jackson left guard for 9 yards (tackle by Terez Hall),0.610,1.280
2,10:56,2,1,BAL 34,7,7,"Penalty on D.J. Fluker: False Start, 5 yards (no play)",1.280,0.600
2,10:30,2,6,BAL 29,7,7,Mark Ingram right guard for 5 yards (tackle by Adam Butler),0.600,0.560
2,9:48,3,1,BAL 34,7,7,Lamar Jackson up the middle for 1 yard (tackle by Adam Butler and John Simon),0.560,1.270
2,9:05,1,10,BAL 35,7,7,Lamar Jackson pass complete short left to Mark Andrews for 11 yards (tackle by Chase Winovich),1.270,1.990
2,8:20,1,10,BAL 46,7,7,Mark Ingram right tackle for 3 yards (tackle by Chase Winovich),1.990,1.860
2,7:36,2,7,BAL 49,7,7,Lamar Jackson pass complete short right to Gus Edwards for 31 yards (tackle by Devin McCourty),1.860,4.240
2,6:57,1,10,NWE 20,7,7,"Lamar Jackson pass complete short right to Patrick Ricard for 2 yards (tackle by Terez Hall and Byron Cowart). Penalty on Terez Hall: Lowering the Head to Initiate Contact, 9 yards",4.240,5.140
2,6:32,1,9,NWE 9,7,7,Lamar Jackson pass incomplete short left intended for Marquise Brown,5.140,4.380
2,6:27,2,9,NWE 9,7,7,Lamar Jackson pass complete short right to Justice Hill for 3 yards (tackle by John Simon and Terez Hall),4.380,4.040
2,5:41,3,6,NWE 6,7,7,Lamar Jackson pass incomplete short middle intended for Mark Andrews. Penalty on D.J. Fluker: Offensive Holding (Declined),4.040,2.990
2,5:36,4,6,NWE 6,10,7,Justin Tucker 24 yard field goal good,2.990,3.000
2,5:32,,,BAL 35,10,7,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,5:32,1,10,NWE 25,10,7,Damien Harris up the middle for 4 yards (tackle by DeShon Elliott and Justin Ellis),0.610,0.600
2,4:57,2,6,NWE 29,10,7,Cam Newton up the middle for 4 yards (tackle by Justin Madubuike),0.600,0.430
2,4:18,3,2,NWE 33,10,7,Cam Newton pass complete short left to James White for 4 yards (tackle by Yannick Ngakoue),0.430,1.400
2,3:35,1,10,NWE 37,10,7,Damien Harris up the middle for 12 yards (tackle by Patrick Queen and Derek Wolfe),1.400,2.190
2,2:55,1,10,NWE 49,10,7,Damien Harris up the middle for 5 yards (tackle by Chuck Clark and Patrick Queen),2.190,2.320
2,2:13,2,5,BAL 46,10,7,Damien Harris up the middle for 1 yard (tackle by Derek Wolfe),2.320,1.750
2,2:00,3,4,BAL 45,10,7,Cam Newton pass complete short right to Jakobi Meyers for 4 yards (tackle by Tramon Williams),1.750,2.850
2,1:22,1,10,BAL 41,10,7,Damien Harris left end for 13 yards (tackle by Patrick Queen),2.850,3.710
2,1:15,1,10,BAL 28,10,7,Damien Harris up the middle for 4 yards (tackle by Marlon Humphrey),3.710,3.710
2,1:10,,,,,,Timeout #1 by New England Patriots,,
2,1:10,2,6,BAL 24,10,13,"Jakobi Meyers pass complete deep right to Rex Burkhead for 24 yards, touchdown, touchdown",3.710,7.000
2,1:02,,,BAL 15,10,13,Nick Folk kicks extra point no good wide left,0.000,-1.000
2,1:02,,,NWE 35,10,13,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,1:02,1,10,BAL 25,10,13,Lamar Jackson sacked by Josh Uche for -7 yards,0.610,-0.980
2,0:45,2,17,BAL 18,10,13,Lamar Jackson pass complete short right to Marquise Brown for 8 yards (tackle by Kyle Dugger),-0.980,-0.490
