Quarter,Time,Tm,Detail,BAL,NWE
2.0,14:54,Ravens,Willie Snead 6 yard pass from Lamar Jackson (Justin Tucker kick),7,0
,11:46,Patriots,Rex Burkhead 7 yard pass from Cam Newton (Nick Folk kick),7,7
,5:32,Ravens,Justin Tucker 24 yard field goal,10,7
,1:02,Patriots,Rex Burkhead 24 yard pass from Jakobi Meyers (Nick Folk kick failed),10,13
3.0,13:17,Patriots,Cam Newton 4 yard rush (Nick Folk kick),10,20
,6:24,Patriots,Nick Folk 20 yard field goal,10,23
,0:08,Ravens,Willie Snead 18 yard pass from Lamar Jackson (Justin Tucker kick),17,23
