Quarter,Time,Down,ToGo,Location,IND,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Curtis Painter pass incomplete deep middle intended for Pierre Garcon (defended by Jabari Greer),0.280,-0.270
1,14:53,2,10,IND 20,0,0,Joseph Addai left tackle for 7 yards (tackle by Scott Shanle),-0.270,-0.030
1,14:11,3,3,IND 27,0,0,Curtis Painter pass complete short right to Brody Eldridge for 8 yards (tackle by Jo-Lonn Dunbar),-0.030,1.270
1,13:31,1,10,IND 35,0,0,Curtis Painter pass complete short right to Pierre Garcon for 4 yards (tackle by Jabari Greer),1.270,1.260
1,12:50,2,6,IND 39,0,0,Joseph Addai left tackle for 1 yard (tackle by Roman Harper),1.260,0.700
1,12:06,3,5,IND 40,0,0,"Curtis Painter for no gain. Curtis Painter fumbles, recovered by Jonathan Vilma at IND-41. Penalty on Dallas Clark: Illegal Shift (Declined)",0.700,-2.850
1,12:01,1,10,IND 41,0,0,Drew Brees pass complete short right to Marques Colston for 7 yards (tackle by Kavell Conner and Kevin Thomas),2.850,3.250
1,11:32,2,3,IND 34,0,0,Pierre Thomas right end for 3 yards (tackle by Philip Wheeler),3.250,3.510
1,10:55,1,10,IND 31,0,0,Drew Brees pass complete short left to Darren Sproles for 9 yards (tackle by Pat Angerer and Joe Lefeged),3.510,4.180
1,10:22,2,1,IND 22,0,0,Mark Ingram right guard for 2 yards (tackle by Pat Angerer and David Caldwell),4.180,4.240
1,9:45,1,10,IND 20,0,0,Darren Sproles right end for 6 yards (tackle by Terrence Johnson),4.240,4.640
1,9:08,2,4,IND 14,0,6,"Drew Brees pass complete short left to Marques Colston for 14 yards, touchdown",4.640,7.000
1,,,,IND 2,0,7,John Kasay kicks extra point good,0.000,0.000
1,,,,NOR 35,0,7,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
1,9:02,1,10,IND 20,0,7,Curtis Painter pass complete short right to Pierre Garcon for 12 yards (tackle by Malcolm Jenkins),0.280,1.070
1,8:17,1,10,IND 32,0,7,Curtis Painter pass incomplete (defended by Sedrick Ellis),1.070,0.530
1,8:14,2,10,IND 32,0,7,"Curtis Painter pass incomplete intended for Pierre Garcon. Penalty on Jeff Linkenbach: Offensive Holding, 10 yards (no play)",0.530,-0.820
1,8:08,2,20,IND 22,0,7,Curtis Painter pass complete short right to Joseph Addai for 3 yards (tackle by Jabari Greer),-0.820,-1.090
1,7:43,3,17,IND 25,0,7,Curtis Painter pass complete short right to Joseph Addai for 8 yards (tackle by Jonathan Casillas),-1.090,-1.180
1,7:22,4,9,IND 33,0,7,"Pat McAfee punts 56 yards, returned by Darren Sproles for 8 yards (tackle by Justin Snow)",-1.180,-0.150
1,7:10,1,10,NOR 19,0,7,Mark Ingram right tackle for 6 yards (tackle by Philip Wheeler and Pat Angerer),0.150,0.480
1,6:37,2,4,NOR 25,0,7,Pierre Thomas right guard for 10 yards (tackle by Joe Lefeged),0.480,1.270
1,6:06,1,10,NOR 35,0,7,Drew Brees pass incomplete short left intended for Pierre Thomas,1.270,0.720
1,6:01,2,10,NOR 35,0,7,"Drew Brees pass complete short left to Pierre Thomas for 57 yards (tackle by Antoine Bethea). Penalty on Antoine Bethea: Face Mask (15 Yards), 4 yards",0.720,6.280
1,5:41,1,4,IND 4,0,7,Drew Brees pass incomplete intended for Devery Henderson (defended by David Caldwell),6.280,5.340
1,5:34,2,4,IND 4,0,13,"Drew Brees pass complete short right to Marques Colston for 4 yards, touchdown",5.340,7.000
1,,,,IND 2,0,14,John Kasay kicks extra point good,0.000,0.000
1,,,,NOR 35,0,14,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
1,5:31,1,10,IND 20,0,14,Curtis Painter pass complete short right to Reggie Wayne for 9 yards (tackle by Tracy Porter),0.280,0.950
1,4:55,2,1,IND 29,0,14,Delone Carter right tackle for 23 yards (tackle by Jonathan Vilma),0.950,2.390
1,4:34,1,10,NOR 48,0,14,"Delone Carter left end for no gain (tackle by Tom Johnson). Delone Carter fumbles (forced by Tom Johnson), recovered by Cameron Jordan at NOR-48 (tackle by Jeff Linkenbach)",2.390,-2.130
1,4:24,1,10,NOR 48,0,14,Darren Sproles right end for 16 yards (tackle by David Caldwell),2.130,3.180
1,3:56,1,10,IND 36,0,14,Drew Brees pass complete short left to Darren Sproles for 1 yard (tackle by Jerraud Powers),3.180,2.770
1,3:18,2,9,IND 35,0,14,Drew Brees pass complete short right to Robert Meachem for 9 yards,2.770,3.840
1,2:57,,,,0,14,Timeout #1 by New Orleans Saints,0.000,3.840
1,2:57,1,10,IND 26,0,14,Drew Brees pass complete short middle to Lance Moore for 10 yards (tackle by Pat Angerer),3.840,4.510
1,2:28,1,10,IND 16,0,14,Drew Brees pass complete short right to Devery Henderson for 9 yards (tackle by Antoine Bethea),4.510,5.540
1,1:57,2,1,IND 7,0,14,Mark Ingram left guard for 2 yards (tackle by Robert Mathis),5.540,6.060
1,1:21,1,5,IND 5,0,14,Darren Sproles right end for -1 yards (tackle by Fili Moala),6.060,4.950
1,0:48,2,6,IND 6,0,20,"Drew Brees pass complete short right to Darren Sproles for 6 yards, touchdown",4.950,7.000
1,,,,IND 2,0,21,John Kasay kicks extra point good,0.000,0.000
1,,,,NOR 35,0,21,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
