Quarter,Time,Tm,Detail,IND,NOR
1.0,9:02,Saints,Marques Colston 14 yard pass from Drew Brees (John Kasay kick),0,7
,5:31,Saints,Marques Colston 4 yard pass from Drew Brees (John Kasay kick),0,14
,0:42,Saints,Darren Sproles 6 yard pass from Drew Brees (John Kasay kick),0,21
2.0,10:39,Saints,Jed Collins 1 yard rush (John Kasay kick),0,28
,4:20,Saints,John Kasay 23 yard field goal,0,31
,1:56,Colts,Delone Carter 2 yard rush (Adam Vinatieri kick),7,31
,0:00,Saints,John Kasay 47 yard field goal,7,34
3.0,9:16,Saints,Jimmy Graham 4 yard pass from Drew Brees (John Kasay kick),7,41
,1:41,Saints,Jimmy Graham 2 yard pass from Drew Brees (John Kasay kick),7,48
4.0,12:26,Saints,Darren Sproles 16 yard rush (John Kasay kick),7,55
,12:12,Saints,Leigh Torrence 42 yard interception return (John Kasay kick),7,62
