Unnamed: 0,IND,NOR
First Downs,11,36
Rush-Yds-TDs,23-155-1,38-236-2
Cmp-Att-Yd-TD-INT,12-22-102-0-1,31-35-325-5-0
Sacked-Yards,1-5,2-4
Net Pass Yards,97,321
Total Yards,252,557
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,7-49,1-10
Third Down Conv.,4-11,6-8
Fourth Down Conv.,0-0,0-0
Time of Possession,21:41,38:19
