Unnamed: 0,CIN,DEN
First Downs,12,20
Rush-Yds-TDs,26-49-0,34-112-1
Cmp-Att-Yd-TD-INT,15-25-154-3-0,23-42-254-1-1
Sacked-Yards,2-13,3-25
Net Pass Yards,141,229
Total Yards,190,341
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,3-14,5-50
Third Down Conv.,7-15,12-21
Fourth Down Conv.,0-0,1-2
Time of Possession,24:49,35:11
