Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,"C.J. Anderson middle for 3 yards (tackle by Nick Vigil). Penalty on Allen Barbre: Offensive Holding, 10 yards (no play)",0.610,-0.410
1,14:41,1,20,DEN 15,0,0,C.J. Anderson right tackle for 7 yards (tackle by Vontaze Burfict),-0.410,-0.340
1,14:03,2,13,DEN 22,0,0,Brock Osweiler pass complete short left to Emmanuel Sanders for 5 yards (tackle by Darqueze Dennard),-0.340,-0.360
1,13:22,3,8,DEN 27,0,0,Brock Osweiler middle for 1 yard (tackle by Geno Atkins),-0.360,-1.500
1,12:47,4,7,DEN 28,0,0,"Riley Dixon punts 46 yards, returned by Alex Erickson for 4 yards (tackle by Will Parks)",-1.500,-0.940
1,12:34,1,10,CIN 30,0,0,Joe Mixon left guard for 5 yards (tackle by Justin Simmons),0.940,1.070
1,11:58,2,5,CIN 35,0,0,Andy Dalton pass complete short left to Joe Mixon for -1 yards (tackle by Domata Peko),1.070,0.230
1,11:24,3,6,CIN 34,0,0,Andy Dalton pass incomplete,0.230,-1.110
1,11:17,4,6,CIN 34,0,0,"Kevin Huber punts, blocked by Shaquil Barrett, recovered by Will Parks",-1.110,-3.640
1,11:11,1,10,CIN 29,0,0,Brock Osweiler pass incomplete deep left intended for Demaryius Thomas,3.640,3.100
1,11:06,2,10,CIN 29,0,0,C.J. Anderson right tackle for 6 yards (tackle by Chris Smith and George Iloka),3.100,3.200
1,10:28,3,4,CIN 23,0,0,Brock Osweiler for 12 yards (tackle by Dre Kirkpatrick),3.200,4.840
1,9:57,1,10,CIN 11,0,0,Devontae Booker left tackle for no gain (tackle by Vontaze Burfict),4.840,4.140
1,9:20,2,10,CIN 11,0,0,Devontae Booker middle for 7 yards (tackle by Vincent Rey),4.140,4.670
1,8:41,3,3,CIN 4,0,0,"Brock Osweiler pass incomplete short right intended for Cody Latimer is intercepted by Dre Kirkpatrick at CIN--2 and returned for 87 yards. Dre Kirkpatrick fumbles, recovered by Dre Kirkpatrick at DEN-1",4.670,-6.970
1,8:23,1,1,DEN 1,0,0,Joe Mixon left tackle for no gain (tackle by Will Parks and Todd Davis),6.970,5.910
1,7:50,2,1,DEN 1,0,0,Joe Mixon left tackle for no gain (tackle by Will Parks),5.910,5.170
1,7:11,3,1,DEN 1,6,0,"Andy Dalton pass complete short left to Tyler Kroft for 1 yard, touchdown",5.170,7.000
1,7:06,,,DEN 15,6,0,Randy Bullock kicks extra point no good,0.000,-1.000
1,7:06,,,CIN 35,6,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
1,7:06,1,10,DEN 25,6,0,C.J. Anderson left guard for 5 yards (tackle by Vontaze Burfict),0.610,0.740
1,6:29,2,5,DEN 30,6,0,Brock Osweiler pass incomplete short left intended for Devontae Booker,0.740,0.040
1,6:25,3,5,DEN 30,6,0,Brock Osweiler pass complete deep right to Cody Latimer for 21 yards (tackle by Dre Kirkpatrick),0.040,2.320
1,5:46,1,10,CIN 49,6,0,Brock Osweiler pass complete short left to Bennie Fowler for 18 yards (tackle by Vincent Rey),2.320,3.510
1,5:17,1,10,CIN 31,6,0,Devontae Booker middle for 2 yards (tackle by Ryan Glasgow),3.510,3.240
1,4:52,2,8,CIN 29,6,0,Brock Osweiler pass incomplete short right intended for Demaryius Thomas,3.240,2.540
1,4:47,3,8,CIN 29,6,0,Brock Osweiler left tackle for 7 yards (tackle by Shawn Williams),2.540,2.140
1,4:08,4,1,CIN 22,6,0,C.J. Anderson right tackle for 3 yards (tackle by Nick Vigil),2.140,4.310
1,3:23,1,10,CIN 19,6,0,Devontae Booker middle for 5 yards (tackle by Nick Vigil),4.310,4.530
1,2:47,2,5,CIN 14,6,0,Devontae Booker left tackle for 3 yards (tackle by George Iloka and Josh Shaw),4.530,4.430
1,2:01,3,2,CIN 11,6,0,Devontae Booker middle for 3 yards (tackle by George Iloka),4.430,5.370
1,1:30,1,8,CIN 8,6,0,Brock Osweiler pass incomplete,5.370,4.570
1,1:25,2,8,CIN 8,6,0,C.J. Anderson middle for 5 yards (tackle by George Iloka),4.570,4.720
1,0:45,3,3,CIN 3,6,6,"C.J. Anderson middle for 3 yards, touchdown",4.720,7.000
1,0:41,,,CIN 15,6,7,Brandon McManus kicks extra point good,0.000,0.000
1,0:41,,,DEN 35,6,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,0:40,1,10,CIN 25,6,7,Joe Mixon right tackle for 5 yards (tackle by Shane Ray),0.610,0.740
1,0:01,2,5,CIN 30,6,7,Joe Mixon right tackle for 1 yard (tackle by Adam Gotsis and Todd Davis),0.740,0.170
Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
