Quarter,Time,Tm,Detail,CIN,DEN
1.0,7:06,Bengals,Tyler Kroft 1 yard pass from Andy Dalton (Randy Bullock kick failed),6,0
,0:41,Broncos,C.J. Anderson 3 yard rush (Brandon McManus kick),6,7
2.0,12:55,Bengals,Alex Erickson 29 yard pass from Andy Dalton (Randy Bullock kick),13,7
3.0,4:54,Broncos,Brandon McManus 45 yard field goal,13,10
4.0,8:56,Bengals,A.J. Green 18 yard pass from Andy Dalton (Randy Bullock kick),20,10
,5:05,Broncos,Demaryius Thomas 17 yard pass from Brock Osweiler (Brandon McManus kick),20,17
