Quarter,Time,Tm,Detail,SEA,DAL
1.0,8:47,Seahawks,Stephen Hauschka 26 yard field goal,3,0
,0:43,Cowboys,Dan Bailey 33 yard field goal,3,3
2.0,5:29,Seahawks,Luke Willson 22 yard pass from Russell Wilson (Stephen Hauschka kick),10,3
,1:34,Cowboys,Dan Bailey 35 yard field goal,10,6
3.0,8:51,Cowboys,Dan Bailey 52 yard field goal,10,9
4.0,14:27,Cowboys,Dan Bailey 27 yard field goal,10,12
,1:06,Seahawks,Stephen Hauschka 24 yard field goal,13,12
