Unnamed: 0,SEA,DAL
First Downs,19,14
Rush-Yds-TDs,31-113-0,30-129-0
Cmp-Att-Yd-TD-INT,19-30-210-1-1,13-26-97-0-0
Sacked-Yards,0-0,1-6
Net Pass Yards,210,91
Total Yards,323,220
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-40,5-40
Third Down Conv.,5-12,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,29:38,30:22
