Unnamed: 0,LVR,SEA
First Downs,27,22
Rush-Yds-TDs,40-283-2,23-65-2
Cmp-Att-Yd-TD-INT,25-36-295-3-2,27-37-328-2-1
Sacked-Yards,1-2,3-21
Net Pass Yards,293,307
Total Yards,576,372
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,7-50,2-10
Third Down Conv.,8-14,3-9
Fourth Down Conv.,1-2,0-0
Time of Possession,37:35,28:05
