Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, returned by Ameer Abdullah for 20 yards (tackle by Josh Jones)",0.000,0.280
1,14:55,1,10,LVR 20,0,0,Derek Carr pass deep middle intended for Davante Adams is intercepted by Quandre Diggs at LV-36 and returned for 24 yards (tackle by Josh Jacobs),0.280,-4.780
1,14:45,1,10,LVR 12,0,0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Trevon Moehrig),4.780,4.100
1,14:39,2,10,LVR 12,0,6,"Kenneth Walker right end for 12 yards, touchdown",4.100,7.000
1,14:32,,,LVR 15,0,7,Jason Myers kicks extra point good,0.000,0.000
1,14:32,,,SEA 35,0,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,14:32,1,10,LVR 25,0,7,Josh Jacobs up the middle for 3 yards (tackle by Al Woods and Cody Barton),0.610,0.470
1,13:56,2,7,LVR 28,0,7,Derek Carr pass incomplete short right intended for Jakob Johnson (defended by Jordyn Brooks),0.470,-0.230
1,13:50,3,7,LVR 28,0,7,Derek Carr pass complete short right to Ameer Abdullah for 12 yards (tackle by Coby Bryant),-0.230,1.600
1,13:13,1,10,LVR 40,0,7,Josh Jacobs left tackle for no gain (tackle by Cody Barton),1.600,1.050
1,12:33,2,10,LVR 40,0,7,Derek Carr pass complete short right to Foster Moreau for 11 yards (tackle by Jordyn Brooks),1.050,2.320
1,11:57,1,10,SEA 49,0,7,Josh Jacobs right guard for 6 yards (tackle by Bryan Mone and Boye Mafe),2.320,2.590
1,11:19,2,4,SEA 43,0,7,Josh Jacobs up the middle for no gain (tackle by Al Woods and Bruce Irvin),2.590,1.880
1,10:35,3,4,SEA 43,0,7,Derek Carr pass complete deep left to Mack Hollins for 20 yards (tackle by Josh Jones),1.880,4.040
1,10:19,1,10,SEA 23,0,7,Josh Jacobs right end for 5 yards (tackle by Uchenna Nwosu and Cody Barton),4.040,4.210
1,9:37,2,5,SEA 18,0,7,Derek Carr pass incomplete deep right intended for Foster Moreau,4.210,3.490
1,9:30,3,5,SEA 18,6,7,"Derek Carr pass complete deep right to Ameer Abdullah for 18 yards, touchdown",3.490,7.000
1,9:24,,,SEA 15,7,7,Daniel Carlson kicks extra point good,0.000,0.000
1,9:24,1,10,SEA 35,7,7,"Penalty on Ameer Abdullah: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",3.250,0.280
1,9:24,1,55,LVR 20,7,7,"Penalty on Tariq Woolen: Defensive Offside, 5 yards (accepted) (no play)",0.280,0.000
1,9:24,1,50,LVR 25,7,7,"Daniel Carlson kicks off 65 yards, returned by DeeJay Dallas for 26 yards (tackle by Luke Masterson and Matthias Farley)",0.000,1.330
1,9:19,1,10,SEA 36,7,7,Geno Smith pass complete short right to Noah Fant for 6 yards,1.330,1.600
1,8:51,2,4,SEA 42,7,7,Geno Smith scrambles up the middle for 6 yards (tackle by Denzel Perryman),1.600,2.130
1,8:08,1,10,SEA 48,7,7,Kenneth Walker right guard for -3 yards (tackle by Andrew Billings),2.130,1.180
1,7:41,2,13,SEA 45,7,7,Geno Smith pass incomplete short middle intended for Will Dissly,1.180,0.500
1,7:38,3,13,SEA 45,7,7,Geno Smith sacked by and Andrew Billings for -9 yards and Bilal Nichols for -9 yards,0.500,-0.980
1,6:58,4,22,SEA 36,7,7,"Michael Dickson punts 51 yards, returned by Keelan Cole for 11 yards (tackle by Nick Bellore)",-0.980,-0.540
1,6:44,1,10,LVR 24,7,7,Josh Jacobs right guard for 2 yards (tackle by Jordyn Brooks and Ryan Neal),0.540,0.270
1,6:04,2,8,LVR 26,7,7,Derek Carr pass deep middle (defended by Cody Barton) intended for Foster Moreau is intercepted by Quandre Diggs at 50 and returned for 15 yards (tackle by Davante Adams and Josh Jacobs),0.270,-3.250
1,5:55,1,10,LVR 35,7,7,Geno Smith pass complete deep middle to Noah Fant for 24 yards (tackle by Duron Harmon),3.250,4.840
1,5:20,1,10,LVR 11,7,7,Kenneth Walker right end for 5 yards (tackle by Rock Ya-Sin and Luke Masterson),4.840,5.080
1,4:43,2,5,LVR 6,7,7,Geno Smith pass incomplete short right intended for D.K. Metcalf,5.080,4.210
1,4:31,3,5,LVR 6,7,7,"Geno Smith pass short right intended for D.K. Metcalf is intercepted by Duron Harmon in end zone and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Duron Harmon)",4.210,2.990
1,4:27,4,5,LVR 6,7,10,Jason Myers 24 yard field goal good,2.990,3.000
1,4:23,,,SEA 35,7,10,"Jason Myers kicks off 61 yards, returned by Ameer Abdullah for 20 yards (tackle by Travis Homer and Justin Coleman)",0.000,0.540
1,4:18,1,10,LVR 24,7,10,Derek Carr sacked by Poona Ford for -2 yards,0.540,-0.270
1,3:39,2,12,LVR 22,7,10,Josh Jacobs right guard for 2 yards (tackle by Ryan Neal and Poona Ford),-0.270,-0.690
1,2:58,3,10,LVR 24,7,10,Derek Carr pass incomplete deep left intended for Mack Hollins,-0.690,-1.770
1,2:52,4,10,LVR 24,7,10,"AJ Cole punts 50 yards, returned by DeeJay Dallas for 11 yards (tackle by Darien Butler and Luke Masterson)",-1.770,-1.400
1,2:40,1,10,SEA 37,7,10,Geno Smith pass complete short middle to Will Dissly for 5 yards (tackle by Trevon Moehrig),1.400,1.530
1,2:07,2,5,SEA 42,7,10,Kenneth Walker left guard for 1 yard (tackle by Denzel Perryman and Bilal Nichols),1.530,0.960
1,1:25,3,4,SEA 43,7,10,Geno Smith pass complete deep left to D.K. Metcalf for 24 yards (tackle by Duron Harmon),0.960,3.380
1,0:46,1,10,LVR 33,7,10,Geno Smith pass complete short right to D.K. Metcalf for 13 yards (tackle by Trevon Moehrig),3.380,4.240
1,0:09,1,10,LVR 20,7,10,Kenneth Walker right guard for 4 yards (tackle by Maxx Crosby),4.240,4.280
Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LVR 16,7,10,Kenneth Walker left end for -3 yards (tackle by Bilal Nichols and Clelin Ferrell),4.280,3.100
2,14:21,3,9,LVR 19,7,10,Geno Smith pass complete short middle to D.K. Metcalf for 8 yards (tackle by Duron Harmon),3.100,2.850
2,13:58,4,1,LVR 11,7,10,"Geno Smith pass complete to Tyler Lockett for no gain (tackle by Jayon Brown). Penalty on Phil Haynes: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.850,2.400
2,13:38,4,6,LVR 16,7,13,Jason Myers 34 yard field goal good,2.400,3.000
2,13:34,,,SEA 35,7,13,"Jason Myers kicks off 59 yards, returned by Ameer Abdullah for 33 yards (tackle by Jason Myers and Nick Bellore)",0.000,1.530
2,13:26,1,10,LVR 39,7,13,Derek Carr pass complete short right to Davante Adams for 9 yards (tackle by Michael Jackson),1.530,2.200
2,12:53,2,1,LVR 48,7,13,Josh Jacobs up the middle for 4 yards (tackle by Jordyn Brooks and Al Woods),2.200,2.390
2,12:11,1,10,SEA 48,7,13,Derek Carr pass complete short middle to Josh Jacobs for 3 yards (tackle by Michael Jackson),2.390,2.250
2,11:33,2,7,SEA 45,7,13,Josh Jacobs left guard for 1 yard (tackle by Jordyn Brooks),2.250,1.690
2,10:52,3,6,SEA 44,7,13,Derek Carr pass complete short right to Davante Adams for 8 yards,1.690,3.180
2,10:12,1,10,SEA 36,13,13,"Derek Carr pass complete short left to Mack Hollins for 36 yards, touchdown",3.180,7.000
2,10:02,,,SEA 15,14,13,Daniel Carlson kicks extra point good,0.000,0.000
2,10:02,,,LVR 35,14,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,10:02,1,10,SEA 25,14,13,DeeJay Dallas left guard for 2 yards (tackle by Maxx Crosby),0.610,0.330
2,9:29,2,8,SEA 27,14,13,Geno Smith pass complete short left to DeeJay Dallas for 9 yards (tackle by Duron Harmon),0.330,1.330
2,8:48,1,10,SEA 36,14,13,Geno Smith pass deep middle intended for Tyler Lockett is intercepted by Denzel Perryman at LV-46 and returned for 24 yards (tackle by Damien Lewis),1.330,-3.580
2,8:36,1,10,SEA 30,20,13,"Josh Jacobs right tackle for 30 yards, touchdown",3.580,7.000
2,8:29,,,SEA 15,21,13,Daniel Carlson kicks extra point good,0.000,0.000
2,8:29,,,LVR 35,21,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,8:29,1,10,SEA 25,21,13,Geno Smith pass complete short left to D.K. Metcalf for 6 yards (tackle by Sam Webb),0.610,0.870
