Unnamed: 0,OAK,NYJ
First Downs,11,20
Rush-Yds-TDs,15-25-0,34-212-1
Cmp-Att-Yd-TD-INT,20-32-151-2-0,23-29-221-1-1
Sacked-Yards,2-18,2-31
Net Pass Yards,133,190
Total Yards,158,402
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,4-20,11-105
Third Down Conv.,3-12,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,25:10,34:50
