Quarter,Time,Tm,Detail,OAK,NYJ
1.0,9:16,Jets,Nick Folk 45 yard field goal,0,3
,2:43,Raiders,Rod Streater 12 yard pass from Derek Carr (Sebastian Janikowski kick),7,3
2.0,0:30,Jets,Chris Johnson 5 yard pass from Geno Smith (Nick Folk kick),7,10
3.0,2:38,Jets,Nick Folk 42 yard field goal,7,13
4.0,8:03,Jets,Chris Ivory 71 yard rush (pass failed),7,19
,1:21,Raiders,James Jones 30 yard pass from Derek Carr (Sebastian Janikowski kick),14,19
