Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 69 yards, returned by Saalim Hakim for 44 yards (tackle by Keith McGill)",0.000,-1.600
1,14:53,1,10,NYJ 40,0,0,Geno Smith pass complete short left to David Nelson for 17 yards (tackle by Miles Burris and Tarell Brown),1.600,2.720
1,14:11,1,10,OAK 43,0,0,Chris Johnson left guard for 7 yards (tackle by Charles Woodson and Tarell Brown),2.720,3.120
1,13:39,2,3,OAK 36,0,0,"Penalty on Breno Giacomini: False Start, 5 yards (no play)",3.120,2.450
1,13:27,2,8,OAK 41,0,0,Geno Smith pass complete short right to Chris Johnson for 12 yards (tackle by Carlos Rogers),2.450,3.640
1,12:50,1,10,OAK 29,0,0,Geno Smith pass complete short right to Jeff Cumberland for 5 yards (tackle by Tyvon Branch),3.640,3.780
1,12:50,2,5,OAK 24,0,0,Chris Johnson up the middle for 4 yards (tackle by Justin Tuck),3.780,3.600
1,11:56,3,1,OAK 20,0,0,Chris Ivory up the middle for 3 yards (tackle by Pat Sims),3.600,4.440
1,11:24,1,10,OAK 17,0,0,"Chris Ivory left end for 4 yards (tackle by Antonio Smith and Tyvon Branch). Penalty on Willie Colon: Offensive Holding, 10 yards (no play)",4.440,3.780
1,11:02,1,20,OAK 27,0,0,Geno Smith pass incomplete deep right intended for Greg Salas,3.780,2.540
1,10:57,2,20,OAK 27,0,0,Geno Smith pass complete short left to Chris Johnson for -1 yards (tackle by Antonio Smith),2.540,1.750
1,10:13,3,21,OAK 28,0,0,Geno Smith pass complete short middle to Jeff Cumberland for 11 yards (tackle by Khalil Mack and Miles Burris),1.750,2.310
1,9:24,4,10,OAK 17,0,0,"Nick Folk 35 yard field goal good. Penalty on D'Brickashaw Ferguson: Offensive Holding, 10 yards (no play)",2.310,1.670
1,9:20,4,20,OAK 27,0,3,Nick Folk 45 yard field goal good,1.670,3.000
1,9:20,,,NYJ 35,0,3,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
1,9:16,1,10,OAK 20,0,3,Derek Carr pass complete short right to Marcel Reece for no gain,0.280,-0.270
1,8:37,2,10,OAK 20,0,3,Maurice Jones-Drew up the middle for 4 yards (tackle by Damon Harrison),-0.270,-0.430
1,7:52,3,6,OAK 24,0,3,"Penalty on Demario Davis: Defensive Offside, 5 yards (no play)",-0.430,0.230
1,7:26,3,1,OAK 29,0,3,Maurice Jones-Drew up the middle for no gain (tackle by David Harris and Muhammad Wilkerson),0.230,-1.440
1,6:43,4,1,OAK 29,0,3,"Marquette King punts 44 yards, returned by Jalen Saunders for 3 yards (tackle by Usama Young)",-1.440,-0.940
1,6:30,1,10,NYJ 30,0,3,"Geno Smith pass complete short right to Jeremy Kerley for 4 yards (tackle by Travis Carrie). Penalty on Eric Decker: Offensive Holding, 10 yards",0.940,0.540
1,6:06,1,16,NYJ 24,0,3,Geno Smith pass incomplete short right intended for Eric Decker is intercepted by Charles Woodson at NYJ-30 and returned for 2 yards,0.540,-3.710
1,6:00,1,10,NYJ 28,0,3,Derek Carr pass complete short middle to Rod Streater for 8 yards (tackle by David Harris),3.710,4.250
1,5:21,2,2,NYJ 20,0,3,Maurice Jones-Drew right end for no gain (tackle by Demario Davis),4.250,3.530
1,4:19,3,2,NYJ 20,0,3,Derek Carr pass complete short left to James Jones for 3 yards (tackle by Calvin Pace),3.530,4.440
1,4:07,1,10,NYJ 17,0,3,Maurice Jones-Drew left guard for 4 yards (tackle by Damon Harrison and David Harris),4.440,4.500
1,3:30,2,6,NYJ 13,0,3,Derek Carr pass complete short right to Marcel Reece for 1 yard (tackle by Dawan Landry),4.500,3.880
1,2:48,3,5,NYJ 12,6,3,"Derek Carr pass complete short right to Rod Streater for 12 yards, touchdown",3.880,7.000
1,2:48,,,NYJ 2,7,3,Sebastian Janikowski kicks extra point good,0.000,0.000
1,2:48,,,OAK 35,7,3,"Sebastian Janikowski kicks off 71 yards, returned by Saalim Hakim for 21 yards (tackle by Jamize Olawale)",0.000,0.220
1,2:37,1,10,NYJ 15,7,3,Chris Ivory left end for no gain (tackle by Charles Woodson),-0.220,-0.710
1,2:19,2,10,NYJ 15,7,3,Geno Smith left guard for 2 yards (tackle by Stacy McGee),-0.710,-1.120
1,1:43,3,8,NYJ 17,7,3,Geno Smith pass complete deep right to Jeremy Kerley for 19 yards (tackle by Travis Carrie and Miles Burris),-1.120,1.330
1,1:05,1,10,NYJ 36,7,3,Chris Ivory left guard for 7 yards (tackle by Stacy McGee and Charles Woodson),1.330,1.740
1,0:42,2,3,NYJ 43,7,3,Chris Johnson right end for 10 yards (tackle by Charles Woodson),1.740,2.460
1,0:04,1,10,OAK 47,7,3,Geno Smith right end for -2 yards (tackle by Carlos Rogers),2.460,1.640
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,OAK 49,7,3,Geno Smith pass complete short right to Jace Amaro for 4 yards (tackle by Tyvon Branch),1.640,1.490
2,15:00,3,8,OAK 45,7,3,"Penalty on Willie Colon: False Start, 5 yards (no play)",1.490,0.830
2,14:06,3,13,,7,3,Geno Smith up the middle for 17 yards (tackle by Charles Woodson),0.830,3.380
2,13:15,1,10,OAK 33,7,3,Bilal Powell left tackle for 4 yards (tackle by Sio Moore),3.380,3.380
2,12:43,2,6,OAK 29,7,3,Geno Smith pass complete short middle to Jeff Cumberland for 26 yards (tackle by Tyvon Branch and Charles Woodson),3.380,6.510
2,11:56,1,3,OAK 3,7,3,Chris Johnson up the middle for no gain (tackle by Justin Tuck and Khalil Mack),6.510,5.530
2,11:16,2,3,OAK 3,7,3,"Geno Smith right end for -1 yards (tackle by Travis Carrie). Geno Smith fumbles (forced by Travis Carrie), recovered by Travis Carrie at OAK-4 (tackle by Willie Colon)",5.530,0.380
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,11:04,1,10,OAK 4,7,3,Derek Carr pass complete short left to Rod Streater for 17 yards (tackle by Antonio Allen). Penalty on Antonio Allen: Defensive Holding (Declined),-0.380,0.340
2,10:45,1,10,OAK 21,7,3,Marcel Reece right end for no gain (tackle by Calvin Pryor),0.340,-0.200
2,10:04,2,10,OAK 21,7,3,Derek Carr pass complete short middle to Brian Leonhardt for 12 yards (tackle by Dawan Landry),-0.200,1.140
2,9:31,1,10,OAK 33,7,3,Derek Carr pass incomplete short right intended for Marcel Reece,1.140,0.590
2,9:27,2,10,OAK 33,7,3,"Derek Carr pass incomplete short right intended for Andre Holmes. Penalty on Sheldon Richardson: Defensive Offside, 5 yards (no play)",0.590,1.270
2,9:24,2,5,OAK 38,7,3,Darren McFadden left end for 6 yards (tackle by Antonio Allen),1.270,1.860
2,8:47,1,10,OAK 44,7,3,Derek Carr pass complete short right to Rod Streater for 4 yards (tackle by Calvin Pace and Dawan Landry),1.860,1.860
2,8:09,2,6,OAK 48,7,3,Darren McFadden up the middle for 3 yards (tackle by Damon Harrison and David Harris),1.860,1.550
2,7:28,3,3,NYJ 49,7,3,Derek Carr pass incomplete short middle intended for Denarius Moore (defended by Calvin Pryor),1.550,0.000
2,7:22,4,3,NYJ 49,7,3,"Marquette King punts 49 yards, touchback",0.000,-0.280
2,7:15,1,10,NYJ 20,7,3,Chris Johnson up the middle for 1 yard (tackle by Miles Burris),0.280,-0.130
2,6:40,2,9,NYJ 21,7,3,Geno Smith pass incomplete short right intended for Jace Amaro (defended by Tyvon Branch),-0.130,-0.820
2,6:35,3,9,NYJ 21,7,3,Geno Smith pass complete short left to Eric Decker for 2 yards (tackle by LaMarr Woodley and Carlos Rogers),-0.820,-1.830
2,6:01,4,7,NYJ 23,7,3,Ryan Quigley punts 36 yards,-1.830,-1.660
2,5:51,1,10,OAK 41,7,3,Maurice Jones-Drew up the middle for 3 yards (tackle by Demario Davis and Dawan Landry),1.660,1.530
2,5:26,2,7,OAK 44,7,3,Derek Carr pass complete short right to Maurice Jones-Drew for 2 yards (tackle by David Harris),1.530,1.090
2,4:45,3,5,OAK 46,7,3,Derek Carr pass incomplete short right intended for Denarius Moore,1.090,-0.320
2,4:38,4,5,OAK 46,7,3,"Marquette King punts 34 yards, fair catch by Jalen Saunders",-0.320,-0.280
2,4:31,1,10,NYJ 20,7,3,Geno Smith pass complete short right to Eric Decker for 24 yards (tackle by Tyvon Branch),0.280,1.860
2,3:47,1,10,NYJ 44,7,3,Geno Smith pass incomplete deep left intended for Jeff Cumberland,1.860,1.320
2,3:45,2,10,NYJ 44,7,3,Chris Ivory left tackle for 2 yards (tackle by Miles Burris and Sio Moore),1.320,0.890
2,3:07,3,8,NYJ 46,7,3,Geno Smith right end for 8 yards (tackle by Miles Burris),0.890,2.520
2,2:44,1,10,OAK 46,7,3,Geno Smith pass incomplete deep right intended for Jace Amaro,2.520,1.980
2,2:36,2,10,OAK 46,7,3,Geno Smith pass complete short right to Greg Salas for 12 yards (tackle by Sio Moore and Travis Carrie),1.980,3.310
2,2:01,1,10,OAK 34,7,3,Chris Ivory right end for 11 yards (tackle by Tyvon Branch),3.310,4.040
2,1:54,1,10,OAK 23,7,3,Geno Smith pass complete short right to Jeff Cumberland for 8 yards (tackle by Sio Moore),4.040,4.750
2,1:46,2,2,OAK 15,7,3,Geno Smith right end for 4 yards (tackle by Justin Tuck),4.750,4.840
2,1:08,1,10,OAK 11,7,3,Geno Smith pass complete short middle to Jeremy Kerley for 6 yards (tackle by Miles Burris),4.840,5.280
2,0:39,2,4,OAK 5,7,3,Michael Vick pass incomplete short left intended for Eric Decker,5.280,5.280
2,0:34,2,4,OAK 5,7,3,Timeout #1 by New York Jets,5.280,4.440
2,0:31,3,4,OAK 5,7,9,"Geno Smith pass complete short middle to Chris Johnson for 5 yards, touchdown",4.440,7.000
2,0:31,,,OAK 2,7,10,Nick Folk kicks extra point good,0.000,0.000
2,0:31,,,NYJ 35,7,10,"Nick Folk kicks off 65 yards, muffed catch by Latavius Murray, recovered by Latavius Murray at OAK-9, and returned for 4 yards",0.000,0.320
2,0:26,1,10,OAK 13,7,10,Derek Carr kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,7,10,"Nick Folk kicks off 62 yards, returned by Latavius Murray for 38 yards (tackle by Kyle Wilson)",0.000,1.660
3,14:52,1,10,OAK 41,7,10,"Maurice Jones-Drew up the middle for -11 yards (tackle by Quinton Coples). Maurice Jones-Drew fumbles (forced by Quinton Coples), recovered by Derek Carr at OAK-30",1.660,-0.370
3,14:06,2,21,OAK 30,7,10,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",-0.370,-1.040
3,13:49,2,26,OAK 25,7,10,Derek Carr pass complete short right to Gabe Jackson for 1 yard (tackle by Muhammad Wilkerson),-1.040,-1.550
3,13:05,3,25,OAK 26,7,10,Derek Carr pass incomplete deep right intended for Denarius Moore,-1.550,-1.630
3,13:01,4,25,OAK 26,7,10,"Marquette King punts 49 yards, fair catch by Jalen Saunders",-1.630,-0.610
3,12:53,1,10,NYJ 25,7,10,Chris Johnson right tackle for 11 yards (tackle by Miles Burris and LaMarr Woodley),0.610,1.330
3,12:13,1,10,NYJ 36,7,10,Chris Johnson left guard for 11 yards (tackle by Justin Tuck),1.330,2.060
3,11:44,1,10,NYJ 47,7,10,Chris Johnson left end for -1 yards (tackle by Khalil Mack and Justin Tuck),2.060,1.380
3,11:30,2,11,NYJ 46,7,10,"Geno Smith pass incomplete short right intended for Eric Decker. Penalty on Carlos Rogers: Defensive Holding, 5 yards (no play)",1.380,2.320
3,11:26,1,10,OAK 49,7,10,Geno Smith pass complete short right to Eric Decker for 5 yards (tackle by Khalil Mack),2.320,2.460
3,10:57,2,5,OAK 44,7,10,Chris Ivory up the middle for -2 yards (tackle by Antonio Smith),2.460,1.490
3,10:20,3,7,OAK 46,7,10,"Geno Smith pass complete deep left to Eric Decker for 19 yards (tackle by Carlos Rogers). Penalty on Eric Decker: Offensive Pass Interference, 9 yards (no play)",1.490,0.300
3,9:56,3,16,NYJ 45,7,10,Geno Smith pass complete short middle to Chris Johnson for 4 yards (tackle by Sio Moore),0.300,-0.130
3,9:15,4,12,NYJ 49,7,10,"Ryan Quigley punts 38 yards, out of bounds",-0.130,0.320
3,9:06,1,10,OAK 13,7,10,Derek Carr pass incomplete deep middle intended for Denarius Moore (defended by Antonio Allen),-0.320,-0.770
3,9:00,2,10,OAK 13,7,10,Darren McFadden left tackle for 3 yards (tackle by Darrin Walls and David Harris),-0.770,-1.060
3,8:20,3,7,OAK 16,7,10,Derek Carr sacked by Dawan Landry for -11 yards,-1.060,-2.490
3,7:38,4,18,OAK 5,7,10,Marquette King punts 47 yards,-2.490,-2.130
3,7:24,1,10,NYJ 48,7,10,Geno Smith up the middle for no gain (tackle by Antonio Smith and Justin Ellis),2.130,1.580
3,6:47,2,10,NYJ 48,7,10,Geno Smith pass complete short left to Eric Decker for 21 yards (tackle by Tarell Brown),1.580,3.510
3,6:21,1,10,OAK 31,7,10,Geno Smith pass complete short middle to Jeremy Kerley for 6 yards (tackle by Carlos Rogers and Charles Woodson),3.510,3.780
3,5:50,2,4,OAK 25,7,10,Chris Ivory right guard for 7 yards (tackle by Carlos Rogers and Sio Moore),3.780,4.370
3,5:17,1,10,OAK 18,7,10,"Chris Ivory right end for -3 yards (tackle by Travis Carrie). Penalty on Willie Colon: Face Mask (15 Yards), 15 yards (no play)",4.370,3.380
3,4:41,1,25,OAK 33,7,10,Geno Smith left end for 12 yards (tackle by Miles Burris),3.380,3.380
3,4:14,1,25,OAK 33,7,10,Timeout #1 by New York Jets,3.380,3.420
3,4:14,2,13,OAK 21,7,10,Chris Johnson up the middle for 9 yards (tackle by Sio Moore and Charles Woodson),3.420,4.030
3,3:29,3,4,OAK 12,7,10,"Geno Smith sacked by Sio Moore for -12 yards. Geno Smith fumbles (forced by Sio Moore), recovered by Geno Smith at OAK-24",4.030,1.870
3,2:42,4,16,OAK 24,7,13,Nick Folk 42 yard field goal good,1.870,3.000
3,2:42,,,NYJ 35,7,13,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
3,2:38,1,10,OAK 20,7,13,Derek Carr pass complete short right to Maurice Jones-Drew for 10 yards (tackle by David Harris),0.280,0.940
3,2:03,1,10,OAK 30,7,13,Maurice Jones-Drew up the middle for no gain (tackle by Calvin Pace and Kenrick Ellis),0.940,0.390
3,1:26,2,10,OAK 30,7,13,Derek Carr pass complete short left to Rod Streater for 5 yards (tackle by Darrin Walls),0.390,0.370
3,0:45,3,5,OAK 35,7,13,Derek Carr pass incomplete short right intended for Mychal Rivera,0.370,-1.040
3,0:38,4,5,OAK 35,7,13,"Marquette King punts 34 yards, fair catch by Jalen Saunders",-1.040,-1.000
3,0:29,1,10,NYJ 31,7,13,Geno Smith pass complete short right to Jeremy Kerley for 3 yards (tackle by Carlos Rogers and Travis Carrie),1.000,0.870
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,NYJ 34,7,13,Geno Smith pass complete short right to Chris Johnson for 3 yards (tackle by Sio Moore),0.870,0.560
4,14:31,3,4,NYJ 37,7,13,Chris Johnson left end for 1 yard (tackle by Charles Woodson and Miles Burris),0.560,-0.850
4,13:49,4,3,NYJ 38,7,13,"Ryan Quigley punts 56 yards, fair catch by Travis Carrie",-0.850,0.380
4,13:41,1,10,OAK 6,7,13,Derek Carr pass incomplete short right intended for Denarius Moore (defended by Muhammad Wilkerson),-0.380,-0.780
4,13:37,2,10,OAK 6,7,13,Derek Carr pass incomplete short right intended for Maurice Jones-Drew (defended by Muhammad Wilkerson),-0.780,-0.780
4,13:33,2,10,OAK 6,7,13,Timeout #1 by Oakland Raiders,-0.780,-1.420
4,13:33,3,10,OAK 6,7,13,Derek Carr pass complete short right to James Jones for 1 yard (tackle by Antonio Allen),-1.420,-2.490
4,12:55,4,9,OAK 7,7,13,"Marquette King punts 61 yards, returned by Jalen Saunders for 12 yards (tackle by Kaluka Maiava)",-2.490,-1.860
4,12:43,1,10,NYJ 44,7,13,Chris Johnson up the middle for 7 yards (tackle by Sio Moore and Tyvon Branch),1.860,2.260
4,12:09,2,3,OAK 49,7,13,Geno Smith pass complete short left to Eric Decker for 22 yards (tackle by Sio Moore),2.260,3.780
4,11:26,1,10,OAK 27,7,13,Geno Smith pass complete short left to Jace Amaro for 3 yards (tackle by Pat Sims and C.J. Wilson),3.780,3.640
4,10:55,2,7,OAK 24,7,13,Chris Johnson up the middle for 4 yards (tackle by Sio Moore),3.640,3.470
4,10:15,3,3,OAK 20,7,13,Geno Smith sacked by Tyvon Branch for -19 yards. Penalty on Jeff Cumberland: Offensive Holding (Declined),3.470,0.660
4,9:50,4,22,OAK 39,7,13,"Ryan Quigley punts 39 yards, touchback",0.660,-0.280
4,9:50,1,10,OAK 20,7,13,Derek Carr pass incomplete deep middle intended for Denarius Moore (defended by Calvin Pryor),0.280,-0.270
4,9:46,2,10,OAK 20,7,13,Maurice Jones-Drew left end for -1 yards (tackle by Kyle Wilson),-0.270,-1.140
4,9:01,3,11,OAK 19,7,13,Derek Carr pass complete short left to Denarius Moore for 8 yards (tackle by Antonio Allen),-1.140,-1.570
4,8:23,4,3,OAK 27,7,13,"Marquette King punts 44 yards, fair catch by Jalen Saunders",-1.570,-0.870
4,8:16,1,10,NYJ 29,7,19,"Chris Ivory left guard for 71 yards, touchdown",0.870,7.000
4,8:16,,,,7,19,"Two Point Attempt: Geno Smith pass complete to David Nelson, conversion fails",0.000,-1.000
4,8:16,,,NYJ 35,7,19,"Nick Folk kicks off 73 yards, returned by Latavius Murray for 25 yards (tackle by Jaiquawn Jarrett)",0.000,0.060
4,7:59,1,10,OAK 17,7,19,Derek Carr pass incomplete short middle intended for Rod Streater,-0.060,-0.580
4,7:55,2,10,OAK 17,7,19,Derek Carr pass complete short left to Darren McFadden for 6 yards (tackle by Jason Babin and Calvin Pryor),-0.580,-0.490
4,7:13,3,4,OAK 23,7,19,"Penalty on James Jones: False Start, 5 yards (no play)",-0.490,-1.130
