Unnamed: 0,PHI,CHI
First Downs,18,13
Rush-Yds-TDs,23-103-1,26-78-0
Cmp-Att-Yd-TD-INT,25-41-262-1-1,18-34-199-3-2
Sacked-Yards,3-25,4-21
Net Pass Yards,237,178
Total Yards,340,256
Fumbles-Lost,1-1,2-2
Turnovers,2,4
Penalties-Yards,3-25,1-5
Third Down Conv.,2-13,7-17
Fourth Down Conv.,0-1,0-0
Time of Possession,31:54,28:06
