Quarter,Time,Tm,Detail,PHI,CHI
1.0,13:05,Bears,Greg Olsen 19 yard pass from Kyle Orton (Robbie Gould kick),0,7
,8:49,Eagles,DeSean Jackson 22 yard pass from Donovan McNabb (David Akers kick),7,7
2.0,13:58,Bears,Marty Booker 23 yard pass from Kyle Orton (Robbie Gould kick),7,14
,11:40,Eagles,Correll Buckhalter 1 yard rush (David Akers kick),14,14
,1:16,Bears,Devin Hester 20 yard pass from Kyle Orton (Robbie Gould kick),14,21
3.0,4:22,Eagles,David Akers 24 yard field goal,17,21
4.0,13:21,Eagles,David Akers 31 yard field goal,20,21
,10:28,Bears,Robbie Gould 41 yard field goal,20,24
