Quarter,Time,Tm,Detail,NYJ,SFO
1,13:57,49ers,Carlos Hyde 7 yard pass from Colin Kaepernick (Phil Dawson kick),0,7
,10:45,49ers,Shaun Draughn 4 yard rush (Phil Dawson kick),0,14
2,7:28,Jets,Nick Folk 36 yard field goal,3,14
,5:45,49ers,Phil Dawson 47 yard field goal,3,17
3,6:28,Jets,Nick Folk 30 yard field goal,6,17
4,5:04,Jets,Bilal Powell 5 yard rush (Bryce Petty run),14,17
,0:38,Jets,Nick Folk 50 yard field goal,17,17
OT,8:35,Jets,Bilal Powell 19 yard rush,23,17
