Unnamed: 0,KAN,DEN
First Downs,20,17
Rush-Yds-TDs,23-89-0,19-106-0
Cmp-Att-Yd-TD-INT,28-42-352-3-3,27-44-263-4-2
Sacked-Yards,2-10,6-49
Net Pass Yards,342,214
Total Yards,431,320
Fumbles-Lost,0-0,1-0
Turnovers,3,2
Penalties-Yards,4-70,6-38
Third Down Conv.,6-12,6-17
Fourth Down Conv.,0-0,1-2
Time of Possession,30:13,29:47
