Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 12 yards (tackle by Justin Simmons),0.610,1.400
1,14:32,1,10,KAN 37,0,0,Patrick Mahomes pass complete short left to Isiah Pacheco for 17 yards (tackle by Kareem Jackson),1.400,2.520
1,14:01,1,10,DEN 46,0,0,Isiah Pacheco left tackle for 6 yards (tackle by Dre'Mont Jones and Alex Singleton),2.520,2.790
1,13:23,2,4,DEN 40,0,0,Patrick Mahomes pass complete short left to Noah Gray for 17 yards (tackle by Kareem Jackson),2.790,4.040
1,12:42,1,10,DEN 23,0,0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",4.040,3.710
1,12:26,1,15,DEN 28,0,0,Patrick Mahomes pass complete to Jerick McKinnon for -1 yards (tackle by Justin Simmons),3.710,2.690
1,11:48,2,16,DEN 29,0,0,Patrick Mahomes pass incomplete deep right intended for Jerick McKinnon,2.690,2.010
1,11:44,3,16,DEN 29,0,0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 12 yards (tackle by Patrick Surtain),2.010,2.390
1,11:00,4,4,DEN 17,3,0,Harrison Butker 35 yard field goal good,2.390,3.000
1,10:56,,,KAN 35,3,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,10:56,1,10,DEN 25,3,0,Russell Wilson pass incomplete deep middle intended for Greg Dulcich,0.610,0.060
1,10:48,2,10,DEN 25,3,0,Mike Boone right guard for 1 yard (tackle by Juan Thornhill and George Karlaftis),0.060,-0.490
1,10:13,3,9,DEN 26,3,0,Russell Wilson pass complete short right to Kendall Hinton for 10 yards (tackle by Juan Thornhill),-0.490,1.330
1,9:30,1,10,DEN 36,3,0,Russell Wilson pass incomplete short right intended for Eric Saubert,1.330,0.790
1,9:24,2,10,DEN 36,3,0,Russell Wilson pass incomplete short middle intended for Greg Dulcich (defended by Juan Thornhill),0.790,0.100
1,9:19,3,10,DEN 36,3,0,Russell Wilson pass complete short right to Kendall Hinton for 11 yards (tackle by Nick Bolton),0.100,2.060
1,8:28,1,10,DEN 47,3,0,Latavius Murray right guard for 4 yards (tackle by Carlos Dunlap),2.060,2.060
1,8:07,2,6,KAN 49,3,0,Russell Wilson pass complete short left to Latavius Murray for 2 yards (tackle by Willie Gay),2.060,1.620
1,7:30,3,4,KAN 47,3,0,Latavius Murray left guard for 5 yards (tackle by Justin Reid and Joshua Williams),1.620,2.790
1,6:50,1,10,KAN 42,3,0,Russell Wilson sacked by Juan Thornhill for -8 yards,2.790,1.160
1,6:05,2,18,KAN 50,3,0,Russell Wilson pass complete short middle to Mike Boone for 7 yards (tackle by Willie Gay),1.160,1.420
1,5:25,3,11,KAN 43,3,0,Russell Wilson pass incomplete short middle intended for Greg Dulcich,1.420,0.400
1,5:18,4,11,KAN 43,3,0,"Corliss Waitman punts 43 yards, touchback.",0.400,-0.280
1,5:11,1,10,KAN 20,3,0,Isiah Pacheco right tackle for 9 yards (tackle by K'Waun Williams and Alex Singleton),0.280,0.950
1,4:31,2,1,KAN 29,3,0,Patrick Mahomes pass complete deep middle to Travis Kelce for 37 yards (tackle by Josey Jewell),0.950,3.310
1,3:47,1,10,DEN 34,3,0,Patrick Mahomes pass incomplete deep left intended for Justin Watson (defended by Damarri Mathis),3.310,2.770
1,3:40,2,10,DEN 34,3,0,Patrick Mahomes pass complete short left to Skyy Moore for 7 yards (tackle by Damarri Mathis),2.770,3.010
1,3:02,3,3,DEN 27,3,0,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling,3.010,1.770
1,2:57,4,3,DEN 27,6,0,Harrison Butker 45 yard field goal good,1.770,3.000
1,2:53,,,KAN 35,6,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,2:53,1,10,DEN 25,6,0,Russell Wilson sacked by Michael Danna for -9 yards,0.610,-1.290
1,2:14,2,19,DEN 16,6,0,Russell Wilson pass complete short left to Jerry Jeudy for 3 yards (tackle by Michael Danna and Nick Bolton),-1.290,-1.510
1,1:38,3,16,DEN 19,6,0,Russell Wilson scrambles right end for 11 yards (tackle by L'Jarius Sneed),-1.510,-1.370
1,1:07,4,5,DEN 30,6,0,Corliss Waitman punts 48 yards out of bounds,-1.370,-0.410
1,0:57,1,10,KAN 22,6,0,Patrick Mahomes pass complete short middle to Travis Kelce for 14 yards (tackle by Josey Jewell),0.410,1.330
1,0:24,1,10,KAN 36,6,0,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Josey Jewell),1.330,1.870
Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,KAN 44,6,0,Isiah Pacheco right end for no gain (tackle by Dre'Mont Jones and Alex Singleton),1.870,1.160
2,14:28,3,2,KAN 44,12,0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 56 yards, touchdown",1.160,7.000
2,14:16,,,DEN 15,13,0,Harrison Butker kicks extra point good,0.000,0.000
2,14:16,,,KAN 35,13,0,"Harrison Butker kicks off 65 yards, returned by Montrell Washington for 29 yards (tackle by Nazeeh Johnson)",0.000,0.870
2,14:11,1,10,DEN 29,13,0,Latavius Murray right tackle for 5 yards (tackle by Chris Jones and Juan Thornhill),0.870,1.000
2,13:32,2,5,DEN 34,13,0,Mike Boone left tackle for no gain (tackle by Chris Jones and Darius Harris),1.000,0.300
2,12:52,3,5,DEN 34,13,0,Russell Wilson sacked by Chris Jones for -8 yards,0.300,-1.630
2,12:20,4,13,DEN 26,13,0,"Corliss Waitman punts 51 yards, returned by Justin Watson for 1 yard (tackle by P.J. Locke)",-1.630,-0.540
2,12:09,1,10,KAN 24,13,0,Isiah Pacheco left tackle for 5 yards (tackle by Kareem Jackson),0.540,0.670
2,11:37,2,5,KAN 29,13,0,Isiah Pacheco left tackle for 7 yards (tackle by Damarri Mathis),0.670,1.330
2,10:59,1,10,KAN 36,13,0,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,1.330,0.790
2,10:53,2,10,KAN 36,13,0,"Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by K'Waun Williams) KAN challenged the pass completion ruling, and the play was upheld.",0.790,0.100
2,10:47,3,10,KAN 36,13,0,Patrick Mahomes pass complete short left to Jerick McKinnon for 24 yards (tackle by Kareem Jackson),0.100,2.920
2,10:02,1,10,DEN 40,13,0,Isiah Pacheco right guard for 4 yards (tackle by Alex Singleton and Jonathan Harris),2.920,2.910
2,9:25,2,6,DEN 36,13,0,Isiah Pacheco right tackle for 10 yards (tackle by Kareem Jackson and Mike Purcell),2.910,3.840
2,8:53,1,10,DEN 26,13,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,3.840,3.300
2,8:48,2,10,DEN 26,13,0,Isiah Pacheco left tackle for 5 yards (tackle by Dre'Mont Jones and DeShawn Williams),3.300,3.270
2,8:08,3,5,DEN 21,13,0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 11 yards (tackle by Josey Jewell),3.270,4.910
2,7:27,1,10,DEN 10,13,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,4.910,4.190
2,7:23,2,10,DEN 10,19,0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 10 yards, touchdown",4.190,7.000
2,7:16,,,DEN 15,20,0,Harrison Butker kicks extra point good,0.000,0.000
2,7:16,,,KAN 35,20,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,7:16,1,10,DEN 25,20,0,Russell Wilson pass complete short right to Eric Saubert for 2 yards (tackle by Leo Chenal),0.610,0.330
2,6:50,2,8,DEN 27,20,0,Russell Wilson pass complete short right to Mike Boone for 20 yards (tackle by Justin Reid),0.330,2.060
2,6:22,1,10,DEN 47,20,0,Russell Wilson pass complete short middle to Eric Tomlinson for 7 yards (tackle by Willie Gay),2.060,2.460
2,5:51,2,3,KAN 46,20,0,Mike Boone left tackle for 1 yard (tackle by Chris Jones and Khalen Saunders),2.460,1.880
2,5:21,3,2,KAN 45,20,0,Latavius Murray left guard for no gain (tackle by Nick Bolton and Jaylen Watson),1.880,0.270
2,4:43,4,2,KAN 45,26,0,"Russell Wilson pass short middle intended for Brandon Johnson is intercepted by Willie Gay at DEN-47 and returned for 47 yards, touchdown",0.270,-7.000
2,4:32,,,DEN 15,27,0,Harrison Butker kicks extra point good,0.000,0.000
2,4:32,,,KAN 35,27,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,4:32,1,10,DEN 25,27,0,Russell Wilson pass incomplete short left intended for Latavius Murray,0.610,0.060
2,4:27,2,10,DEN 25,27,0,Russell Wilson pass complete short left to Latavius Murray for 1 yard (tackle by George Karlaftis and Joshua Williams),0.060,-0.490
2,3:54,3,9,DEN 26,27,0,Russell Wilson pass incomplete deep right intended for Brandon Johnson (defended by Trent McDuffie),-0.490,-1.630
2,3:45,4,9,DEN 26,27,0,"Corliss Waitman punts 50 yards, returned by Justin Watson for 7 yards (tackle by Alex Singleton)",-1.630,-1.000
2,3:35,1,10,KAN 31,27,0,Isiah Pacheco right end for 3 yards (tackle by Josey Jewell),1.000,0.870
2,2:59,2,7,KAN 34,27,0,Patrick Mahomes pass short middle intended for Travis Kelce is intercepted by Josey Jewell at KC-42 and returned for no gain (tackle by JuJu Smith-Schuster),0.870,-2.790
2,2:53,1,10,KAN 42,27,0,Russell Wilson pass complete short right to Kendall Hinton for 3 yards,2.790,2.650
2,2:21,2,7,KAN 39,27,0,Russell Wilson pass complete short middle to Jerry Jeudy for 17 yards (tackle by Justin Reid),2.650,4.110
