#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:48,CHI 30,6,3:38,14,Punt
2,2,12:49,CHI 17,5,3:14,17,Punt
3,2,4:36,CHI 23,9,4:08,77,Touchdown
4,3,15:00,CHI 22,3,1:36,2,Punt
5,3,11:11,CHI 40,3,2:28,7,Punt
6,3,7:35,BUF 34,4,0:45,6,Field Goal
7,3,4:54,CHI 12,6,2:55,22,Punt
8,3,0:21,CHI 30,8,2:42,64,Field Goal
9,4,8:55,CHI 26,11,6:09,74,Touchdown
10,4,0:24,CHI 29,1,0:24,-1,End of Half
11,5,15:00,CHI 20,3,1:05,5,Punt
