Unnamed: 0,CHI,BUF
First Downs,15,26
Rush-Yds-TDs,26-52-0,25-103-0
Cmp-Att-Yd-TD-INT,19-31-188-2-0,28-36-328-4-0
Sacked-Yards,0-0,2-21
Net Pass Yards,188,307
Total Yards,240,410
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,5-55,9-82
Third Down Conv.,6-14,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,29:04,32:54
