Quarter,Time,Tm,Detail,CHI,BUF
1,10:48,Bills,Peerless Price 2 yard pass from Drew Bledsoe (Mike Hollis kick),0,7
,2:13,Bears,Mike Brown 62 yard defensive fumble return (Paul Edinger kick),7,7
2,12:49,Bills,Mike Hollis 48 yard field goal,7,10
,4:36,Bills,Eric Moulds 4 yard pass from Drew Bledsoe (Mike Hollis kick),7,17
,0:28,Bears,David Terrell 5 yard pass from Jim Miller (Paul Edinger kick),14,17
3,11:11,Bills,Mike Hollis 49 yard field goal,14,20
,6:50,Bears,Paul Edinger 46 yard field goal,17,20
4,12:39,Bears,Paul Edinger 24 yard field goal,20,20
,8:55,Bills,Dave Moore 1 yard pass from Drew Bledsoe (Mike Hollis kick),20,27
,2:46,Bears,John Davis 3 yard pass from Jim Miller (Paul Edinger kick),27,27
OT,13:02,Bills,Travis Henry 26 yard pass from Drew Bledsoe,27,33
