Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
1,8:31,2,10,CHI 41,0,7,Anthony Thomas middle for 1 yard (tackle by Aaron Schobel and Pat Williams),1.120,0.560
1,7:54,3,9,CHI 42,0,7,Jim Miller pass complete to Marcus Robinson for 2 yards (tackle by Pierson Prioleau and Travis Henry),0.560,-0.460
1,7:18,4,7,CHI 44,0,7,"Brad Maynard punts 36 yards, returned by Charlie Rogers for 1 yard (tackle by Joe Tafoya)",-0.460,-0.340
1,7:10,1,10,BUF 21,0,7,Drew Bledsoe pass incomplete intended for Peerless Price,0.340,-0.200
1,7:04,2,10,BUF 21,0,7,Drew Bledsoe pass complete to Eric Moulds for 14 yards (tackle by Michael Green),-0.200,1.270
1,6:21,1,10,BUF 35,0,7,Shawn Bryson left guard for 7 yards (tackle by Warrick Holdman and Michael Green),1.270,1.670
1,5:45,2,3,BUF 42,0,7,Drew Bledsoe pass complete to Shawn Bryson for 9 yards (tackle by Brian Urlacher),1.670,2.320
1,5:17,1,10,CHI 49,0,7,Shawn Bryson right guard for 3 yards (tackle by Brian Urlacher),2.320,2.190
1,4:36,2,7,CHI 46,0,7,Shawn Bryson right tackle for 2 yards (tackle by Christian Peter and Warrick Holdman),2.190,1.750
1,3:53,3,5,CHI 44,0,7,Drew Bledsoe pass complete to Jay Riemersma for 9 yards (tackle by Warrick Holdman),1.750,3.250
1,3:08,1,10,CHI 35,0,7,Travis Henry right guard for 7 yards (tackle by Jerry Azumah and Michael Green),3.250,3.650
1,2:30,2,3,CHI 28,6,7,"Travis Henry for -2 yards (tackle by Warrick Holdman). Travis Henry fumbles (forced by Warrick Holdman), recovered by Rosevelt Colvin at CHI-30 and returned for 8 yards, touchdown",3.650,-7.000
1,2:13,,,BUF 28,7,7,Paul Edinger kicks extra point good,0.000,0.000
1,2:13,,,CHI 30,7,7,"Paul Edinger kicks off 67 yards, returned by Charlie Rogers for 25 yards (tackle by Rabih Abdullah)",0.000,0.810
1,2:07,1,10,BUF 28,7,7,Drew Bledsoe pass incomplete intended for Josh Reed (defended by Reggie Austin),0.810,0.260
1,2:01,2,10,BUF 28,7,7,Drew Bledsoe pass incomplete intended for Shawn Bryson (defended by Keith Traylor),0.260,-0.430
1,1:56,3,10,BUF 28,7,7,Drew Bledsoe pass complete to Larry Centers for 17 yards (tackle by Mike Brown),-0.430,1.930
1,1:14,1,10,BUF 45,7,7,Shawn Bryson right guard for no gain (tackle by Mike Caldwell),1.930,1.380
1,0:37,2,10,BUF 45,7,7,Drew Bledsoe pass incomplete intended for Shawn Bryson,1.380,0.700
1,0:29,3,10,BUF 45,7,7,Drew Bledsoe pass complete to Eric Moulds for 15 yards (tackle by Reggie Austin and Mike Brown),0.700,2.920
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 40,7,7,Shawn Bryson left tackle for 1 yard (tackle by Alex Brown and Rosevelt Colvin),2.920,2.510
2,14:23,2,9,CHI 39,7,7,Drew Bledsoe left tackle for 3 yards (tackle by Joe Tafoya),2.510,2.210
2,13:34,3,6,CHI 36,7,7,Drew Bledsoe pass complete to Peerless Price for 5 yards (tackle by Jerry Azumah),2.210,1.410
2,12:54,4,1,CHI 31,7,10,Mike Hollis 48 yard field goal good,1.410,3.000
2,12:54,,,BUF 30,7,10,"Mike Hollis kicks off 60 yards, returned by Leon Johnson for 17 yards (tackle by DaShon Polk). Penalty on Mike Caldwell: Offensive Holding, 10 yards",0.000,-0.060
2,12:42,1,10,CHI 17,7,10,Anthony Thomas left guard for 3 yards (tackle by Eddie Robinson and Aaron Schobel),-0.060,-0.060
2,12:03,2,7,CHI 20,7,10,Anthony Thomas middle for 1 yard (tackle by Pat Williams and Ron Edwards),-0.060,-0.750
2,11:17,2,7,CHI 20,,,Timeout #1 by Chicago Bears,-0.060,-0.750
2,11:17,3,6,CHI 21,7,10,"Jim Miller pass incomplete intended for Marty Booker. Penalty on Chris Watson: Illegal Contact, 5 yards (no play)",-0.750,0.670
2,11:11,1,10,CHI 26,7,10,Jim Miller pass incomplete intended for Dez White,0.670,0.130
2,11:07,2,10,CHI 26,7,10,Anthony Thomas left tackle for 3 yards (tackle by Pierson Prioleau and Ron Edwards),0.130,-0.160
2,10:25,3,7,CHI 29,7,10,Jim Miller pass complete to John Davis for 5 yards (tackle by Pierson Prioleau and Eddie Robinson),-0.160,-1.110
2,9:46,4,2,CHI 34,7,10,"Brad Maynard punts 44 yards, returned by Charlie Rogers for 2 yards (tackle by Joe Tafoya)",-1.110,-0.540
2,9:35,1,10,BUF 24,7,10,Drew Bledsoe pass complete to Eric Moulds for 11 yards (tackle by Michael Green),0.540,1.270
2,8:57,1,10,BUF 35,7,10,Shawn Bryson left tackle for 9 yards (tackle by Mike Brown),1.270,1.940
2,8:30,2,1,BUF 44,7,10,Shawn Bryson right tackle for 10 yards (tackle by Jerry Azumah),1.940,2.520
2,8:03,1,10,CHI 46,7,10,Drew Bledsoe pass complete to Eric Moulds for 8 yards (tackle by Jerry Azumah),2.520,3.060
2,8:02,2,2,CHI 38,7,10,"Penalty on Marques Sullivan: False Start, 5 yards (no play)",3.060,2.380
2,7:01,2,7,CHI 43,7,10,"Drew Bledsoe pass complete to Josh Reed for 14 yards (tackle by Michael Green). Penalty on Rosevelt Colvin: Roughing the Passer, 15 yards",2.380,4.650
2,6:33,1,10,CHI 14,7,10,Drew Bledsoe pass complete to Jay Riemersma for 5 yards (tackle by Brian Urlacher),4.650,4.900
2,5:51,2,5,CHI 9,7,10,"Shawn Bryson right guard for 5 yards (tackle by Jerry Azumah). Shawn Bryson fumbles (forced by Jerry Azumah), recovered by Mike Williams at CHI-4",4.900,6.280
2,4:41,1,4,CHI 4,7,16,"Drew Bledsoe pass complete to Eric Moulds for 4 yards, touchdown",6.280,7.000
2,4:41,,,CHI 4,7,17,Mike Hollis kicks extra point good,0.000,0.000
2,4:41,,,BUF 30,7,17,"Mike Hollis kicks off 64 yards, returned by Leon Johnson for 17 yards (tackle by DaShon Polk)",0.000,0.480
2,4:30,1,10,CHI 23,7,17,Jim Miller pass complete to Marty Booker for 6 yards (tackle by Chris Watson),0.480,0.740
2,4:05,2,4,CHI 29,7,17,Anthony Thomas middle for 1 yard (tackle by Ron Edwards and Pat Williams),0.740,0.170
2,3:29,3,3,CHI 30,7,17,Jim Miller pass complete to Dez White for 5 yards (tackle by Chris Watson),0.170,1.270
2,2:52,1,10,CHI 35,7,17,Jim Miller pass incomplete intended for Marty Booker,1.270,0.720
2,2:42,2,10,CHI 35,7,17,"Jim Miller pass incomplete intended for David Terrell. Penalty on Aaron Schobel: Roughing the Passer, 16 yards (no play)",0.720,2.320
2,2:34,1,10,BUF 49,7,17,Jim Miller pass complete to Anthony Thomas for 5 yards (tackle by London Fletcher),2.320,2.460
2,2:04,2,5,BUF 44,7,17,Jim Miller pass complete to Marty Booker for 33 yards,2.460,4.840
2,1:56,1,10,BUF 11,7,17,Anthony Thomas right tackle for 4 yards (tackle by Chris Watson and Pat Williams),4.840,4.890
2,1:21,2,6,BUF 7,7,17,Anthony Thomas right guard for 2 yards (tackle by Chidi Ahanotu and Coy Wire),4.890,4.440
2,0:34,2,6,BUF 7,,,Timeout #2 by Chicago Bears,4.890,4.440
2,0:34,3,4,BUF 5,13,17,"Jim Miller pass complete to David Terrell for 5 yards, touchdown",4.440,7.000
2,0:34,,,BUF 5,14,17,Paul Edinger kicks extra point good,0.000,0.000
2,0:34,,,CHI 30,14,17,"Paul Edinger kicks off 66 yards, returned by Charlie Rogers for 18 yards (tackle by Mike Caldwell)",0.000,0.410
2,0:19,1,10,BUF 22,14,17,Drew Bledsoe sacked by Rosevelt Colvin for -14 yards,0.410,-1.800
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,14,17,"Mike Hollis kicks off 64 yards, returned by Rabih Abdullah for 16 yards (tackle by Sammy Morris)",0.000,0.410
3,14:53,1,10,CHI 22,14,17,Anthony Thomas left guard for 3 yards (tackle by Aaron Schobel),0.410,0.270
3,14:16,2,7,CHI 25,14,17,Jim Miller pass incomplete intended for John Davis,0.270,-0.430
3,14:10,3,7,CHI 25,14,17,Jim Miller pass complete to Marcus Robinson for -1 yards (tackle by Nate Clements),-0.430,-1.770
3,13:38,4,8,CHI 24,14,17,"Brad Maynard punts 41 yards, returned by Nate Clements for 6 yards (tackle by Mike Caldwell). Penalty on Mike Caldwell: Face Mask (15 Yards), 15 yards",-1.770,-2.650
3,13:24,1,10,CHI 44,14,17,Drew Bledsoe pass complete to Larry Centers for 11 yards (tackle by Mike Caldwell and Brian Urlacher),2.650,3.380
3,12:50,1,10,CHI 33,14,17,Travis Henry left tackle for 3 yards (tackle by Todd McMillon and Bryan Robinson),3.380,3.240
3,12:06,2,7,CHI 30,14,17,Shawn Bryson middle for -1 yards (tackle by Rosevelt Colvin),3.240,2.410
3,11:22,3,8,CHI 31,14,17,Drew Bledsoe pass incomplete intended for Jay Riemersma,2.410,1.320
3,11:17,4,8,CHI 31,14,20,Mike Hollis 49 yard field goal good,1.320,3.000
3,11:17,,,BUF 30,14,20,"Mike Hollis kicks off 67 yards, returned by Leon Johnson for 18 yards (tackle by Josh Reed). Penalty on Jason Bostic: Offensive Offside, 5 yards (no play)",0.000,0.000
3,11:17,,,BUF 25,14,20,"Mike Hollis kicks off 70 yards, returned by Rabih Abdullah for 35 yards (tackle by Nate Clements)",0.000,1.600
3,10:57,1,10,CHI 40,14,20,Jim Miller pass complete to David Terrell for 6 yards (tackle by Eddie Robinson and Coy Wire),1.600,1.860
3,10:24,2,4,CHI 46,14,20,Anthony Thomas middle for 2 yards (tackle by DaShon Polk and London Fletcher),1.860,1.420
3,9:39,3,2,CHI 48,14,20,Anthony Thomas left tackle for -1 yards (tackle by Antoine Winfield),1.420,-0.260
3,8:59,4,3,CHI 47,14,20,"Brad Maynard punts 43 yards, returned by Charlie Rogers for 28 yards (tackle by Larry Whigham). Penalty on London Fletcher: Illegal Block Above the Waist (Declined), Penalty on Pat Williams: Offensive Holding, 5 yards",-0.260,0.380
3,8:43,1,10,BUF 5,14,20,Drew Bledsoe pass complete to Travis Henry for 1 yard (tackle by Brian Urlacher),-0.380,-0.710
3,8:21,2,9,BUF 6,14,20,Drew Bledsoe pass complete to Josh Reed for 2 yards,-0.710,-1.070
3,7:54,3,7,BUF 8,14,20,Drew Bledsoe pass incomplete intended for Peerless Price (defended by Mike Brown),-1.070,-2.490
3,7:41,4,7,BUF 8,14,20,"Brian Moorman punts 42 yards, returned by Leon Johnson for 16 yards (tackle by Maugaula Tuitele)",-2.490,-3.310
3,7:35,1,10,BUF 34,14,20,Jim Miller pass incomplete intended for Anthony Thomas (defended by Keith Newman),3.310,2.770
3,7:28,2,10,BUF 34,14,20,Jim Miller pass complete to John Davis for 6 yards (tackle by Chris Watson),2.770,2.870
3,7:00,3,4,BUF 28,14,20,Jim Miller pass incomplete intended for Marty Booker (defended by Antoine Winfield),2.870,1.650
3,6:55,4,4,BUF 28,17,20,Paul Edinger 46 yard field goal good,1.650,3.000
3,6:55,,,CHI 30,17,20,"Paul Edinger kicks off 61 yards, returned by Charlie Rogers for 39 yards (tackle by Adrian Peterson)",0.000,2.130
3,6:42,1,10,BUF 48,17,20,Drew Bledsoe pass complete to Larry Centers for 5 yards (tackle by Jerry Azumah),2.130,2.260
3,6:04,2,5,CHI 47,17,20,Shawn Bryson left tackle for -2 yards (tackle by Alex Brown),2.260,1.290
3,5:22,3,7,CHI 49,17,20,Drew Bledsoe sacked by Rosevelt Colvin for -7 yards,1.290,-0.460
3,5:00,4,14,BUF 44,17,20,"Brian Moorman punts 44 yards, fair catch by Leon Johnson",-0.460,0.350
3,4:54,1,10,CHI 12,17,20,Anthony Thomas middle for 2 yards (tackle by Coy Wire and Pat Williams),-0.350,-0.610
3,4:19,2,8,CHI 14,17,20,Jim Miller pass incomplete intended for Marty Booker,-0.610,-1.190
3,4:14,2,8,CHI 14,,,Timeout #1 by Buffalo Bills,-0.610,-1.190
3,4:14,3,8,CHI 14,17,20,Jim Miller pass complete to Marty Booker for 16 yards (tackle by Pierson Prioleau),-1.190,0.940
3,3:46,1,10,CHI 30,17,20,Anthony Thomas middle for 4 yards (tackle by London Fletcher and Eddie Robinson),0.940,0.930
3,3:08,2,6,CHI 34,17,20,Anthony Thomas middle for 5 yards (tackle by Coy Wire and DaShon Polk),0.930,0.890
3,2:29,3,1,CHI 39,17,20,Anthony Thomas middle for no gain (tackle by Pat Williams and Coy Wire),0.890,-0.780
3,2:07,4,1,CHI 39,17,20,"Penalty on Bernard Robertson: False Start, 5 yards (no play)",-0.780,-1.110
3,2:07,4,6,CHI 34,17,20,"Brad Maynard punts 37 yards, fair catch by Charlie Rogers",-1.110,-0.870
3,1:59,1,10,BUF 29,17,20,Shawn Bryson right tackle for -3 yards (tackle by Mike Caldwell),0.870,-0.080
3,1:15,2,13,BUF 26,17,20,Drew Bledsoe pass incomplete intended for Josh Reed,-0.080,-0.760
3,1:11,3,13,BUF 26,17,20,"Penalty on Marques Sullivan: False Start, 5 yards (no play)",-0.760,-1.420
3,1:11,3,18,BUF 21,17,20,Drew Bledsoe for 1 yard (tackle by Rosevelt Colvin),-1.420,-1.900
3,0:36,4,17,BUF 22,17,20,"Brian Moorman punts 67 yards, returned by Leon Johnson for 19 yards (tackle by Dave Moore)",-1.900,-0.940
3,0:21,1,10,CHI 30,17,20,Anthony Thomas right tackle for 1 yard (tackle by Chris Watson),0.940,0.530
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,CHI 31,17,20,Jim Miller pass complete to Marty Booker for 27 yards (tackle by Eddie Robinson),0.530,2.790
,,,,,,,"CHI challenged the ruling, and the original play was overturned.",,
4,14:44,1,10,BUF 42,17,20,Jim Miller pass complete to David Terrell for 12 yards (tackle by Pierson Prioleau),2.790,3.580
4,14:08,1,10,BUF 30,17,20,Jim Miller pass complete to Dez White for 23 yards,3.580,5.600
4,13:38,1,7,BUF 7,17,20,Anthony Thomas middle for 1 yard (tackle by DaShon Polk and Pat Williams),5.600,4.950
4,12:57,2,6,BUF 6,17,20,Jim Miller pass incomplete intended for Marty Booker,4.950,4.040
4,12:51,3,6,BUF 6,17,20,Jim Miller pass incomplete intended for David Terrell,4.040,2.990
,,,,,,,"BUF challenged the ruling, and the original play was overturned.",,
4,12:41,4,6,BUF 6,20,20,Paul Edinger 24 yard field goal good,2.990,3.000
4,12:41,,,CHI 30,20,20,"Paul Edinger kicks off 66 yards, returned by Charlie Rogers for 18 yards (tackle by Larry Whigham)",0.000,0.410
4,12:33,1,10,BUF 22,20,20,Drew Bledsoe pass complete to Jay Riemersma for 3 yards (tackle by Jerry Azumah and Michael Green),0.410,0.270
4,11:57,2,7,BUF 25,20,20,Travis Henry left guard for 12 yards (tackle by Michael Green and Mike Caldwell),0.270,1.400
4,11:15,1,10,BUF 37,20,20,Drew Bledsoe pass complete to Dave Moore for 19 yards (tackle by Jerry Azumah),1.400,2.650
4,10:30,1,10,CHI 44,20,20,Drew Bledsoe pass complete to Jay Riemersma for 29 yards (tackle by Mike Brown),2.650,4.580
4,9:50,1,10,CHI 15,20,20,Travis Henry middle for 14 yards (tackle by Michael Green and Todd McMillon),4.580,6.970
4,9:01,1,1,CHI 1,20,26,"Drew Bledsoe pass complete to Dave Moore for 1 yard, touchdown",6.970,7.000
4,9:01,,,CHI 1,20,27,Mike Hollis kicks extra point good,0.000,0.000
4,9:01,,,BUF 30,20,27,"Mike Hollis kicks off 62 yards, returned by Leon Johnson for 18 yards (tackle by DaShon Polk)",0.000,0.670
4,8:48,1,10,CHI 26,20,27,Jim Miller pass complete to Marcus Robinson for 8 yards (tackle by Chris Watson),0.670,1.210
4,8:24,2,2,CHI 34,20,27,Anthony Thomas middle for 1 yard (tackle by Chidi Ahanotu),1.210,0.630
4,7:45,3,1,CHI 35,20,27,Anthony Thomas left tackle for 1 yard (tackle by Pat Williams and London Fletcher),0.630,1.330
4,7:08,1,10,CHI 36,20,27,Jim Miller pass complete to Marcus Robinson for 9 yards (tackle by Chris Watson and London Fletcher),1.330,2.010
4,6:26,2,1,CHI 45,20,27,Leon Johnson middle for 5 yards (tackle by Chidi Ahanotu and Eddie Robinson),2.010,2.260
4,5:45,1,10,,20,27,Jim Miller pass incomplete intended for Marty Booker,2.260,1.710
4,5:40,2,10,,20,27,Dez White right tackle for no gain (tackle by Antoine Winfield),1.710,1.030
4,4:57,3,10,,20,27,Jim Miller pass complete to Marcus Robinson for 12 yards (tackle by Chris Watson and London Fletcher),1.030,3.050
4,4:14,1,10,BUF 38,20,27,Anthony Thomas middle for 3 yards (tackle by Pierson Prioleau and London Fletcher),3.050,2.910
4,3:37,2,7,BUF 35,20,27,"Jim Miller pass incomplete intended for David Terrell. Penalty on Nate Clements: Defensive Pass Interference, 31 yards (no play)",2.910,6.280
4,3:30,1,4,BUF 4,20,27,Anthony Thomas middle for 1 yard (tackle by Chidi Ahanotu and Pat Williams),6.280,5.530
4,2:52,2,3,BUF 3,26,27,"Jim Miller pass complete to John Davis for 3 yards, touchdown",5.530,7.000
4,2:52,,,BUF 3,27,27,Paul Edinger kicks extra point good,0.000,0.000
4,2:52,,,CHI 30,27,27,"Paul Edinger kicks off 67 yards, returned by Charlie Rogers for 22 yards (tackle by Todd McMillon)",0.000,0.610
4,2:38,1,10,BUF 25,27,27,Drew Bledsoe pass complete to Dave Moore for 18 yards (tackle by Mike Brown),0.610,1.800
4,2:31,1,10,BUF 43,27,27,"Travis Henry right guard for 6 yards (tackle by Brian Urlacher). Penalty on Bryan Robinson: Tripping, 10 yards",1.800,2.850
4,2:25,1,10,CHI 41,27,27,Drew Bledsoe pass complete to Eric Moulds for 7 yards (tackle by Reggie Austin),2.850,3.250
4,2:00,2,3,CHI 34,27,27,Travis Henry right guard for -1 yards (tackle by Brian Urlacher),3.250,2.410
4,1:53,2,3,CHI 34,,,Timeout #1 by Chicago Bears,3.250,2.410
4,1:53,3,4,CHI 35,27,27,Drew Bledsoe pass complete to Larry Centers for 6 yards (tackle by Brian Urlacher),2.410,3.640
4,1:31,3,4,CHI 35,,,Timeout #2 by Chicago Bears,2.410,3.640
4,1:31,1,10,CHI 29,27,27,Drew Bledsoe pass incomplete intended for Eric Moulds,3.640,3.100
4,1:27,2,10,CHI 29,27,27,Travis Henry left tackle for 4 yards (tackle by Mike Caldwell and Alex Brown),3.100,2.940
4,1:19,2,10,CHI 29,,,Timeout #3 by Chicago Bears,3.100,2.940
4,1:19,3,6,CHI 25,27,27,Travis Henry right end for 4 yards (tackle by Reggie Austin and Jerry Azumah),2.940,2.180
4,0:32,3,6,CHI 25,,,Timeout #2 by Buffalo Bills,2.940,2.180
4,0:32,4,2,CHI 21,27,27,"Mike Hollis 39 yard field goal no good, blocked by James Williams",2.180,-0.870
4,0:24,1,10,CHI 29,27,27,Jim Miller kneels for -1 yards,0.870,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
,,,,,,,"Bears won the coin toss, Bears to receive the overtime kickoff.",,
OT,15:00,,,BUF 30,27,27,"Mike Hollis kicks off 69 yards, returned by Leon Johnson for 19 yards (tackle by Chris Watson)",0.000,0.280
OT,14:54,1,10,CHI 20,27,27,Jim Miller pass incomplete intended for Anthony Thomas,0.280,-0.270
OT,14:49,2,10,CHI 20,27,27,Anthony Thomas right tackle for 5 yards (tackle by Ron Edwards and Pierson Prioleau),-0.270,-0.300
OT,14:08,3,5,CHI 25,27,27,Jim Miller pass incomplete intended for Marty Booker,-0.300,-1.700
OT,14:03,4,5,CHI 25,27,27,"Brad Maynard punts 31 yards, fair catch by Charlie Rogers",-1.700,-1.860
OT,13:55,1,10,BUF 44,27,27,Drew Bledsoe pass complete to Eric Moulds for 30 yards (tackle by Todd McMillon),1.860,3.840
OT,13:12,1,10,CHI 26,27,33,"Drew Bledsoe pass complete to Travis Henry for 26 yards, touchdown",3.840,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
