Quarter,Time,Tm,Detail,SEA,PHI
1.0,1:29,Seahawks,Jason Myers 49 yard field goal,3,0
2.0,2:53,Eagles,Jake Elliott 46 yard field goal,3,3
,1:06,Seahawks,Marshawn Lynch 5 yard rush (Jason Myers kick),10,3
3.0,10:36,Eagles,Jake Elliott 26 yard field goal,10,6
,8:46,Seahawks,D.K. Metcalf 53 yard pass from Russell Wilson (Jason Myers kick),17,6
,2:49,Eagles,Jake Elliott 38 yard field goal,17,9
