Unnamed: 0,SEA,PHI
First Downs,16,20
Rush-Yds-TDs,26-64-1,26-120-0
Cmp-Att-Yd-TD-INT,18-30-325-1-0,19-28-177-0-0
Sacked-Yards,1-7,7-15
Net Pass Yards,318,162
Total Yards,382,282
Fumbles-Lost,2-0,3-0
Turnovers,0,0
Penalties-Yards,11-114,7-45
Third Down Conv.,8-15,3-11
Fourth Down Conv.,0-0,0-2
Time of Possession,26:45,33:15
