Quarter,Time,Down,ToGo,Location,SEA,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 64 yards, returned by Tyler Lockett for 27 yards (tackle by Nathan Gerry)",0.000,0.810
1,14:54,1,10,SEA 28,0,0,Russell Wilson pass complete short right to D.K. Metcalf for 9 yards (tackle by Jalen Mills),0.810,1.480
1,14:25,2,1,SEA 37,0,0,"Travis Homer up the middle for -3 yards (tackle by Fletcher Cox). Travis Homer fumbles (forced by Fletcher Cox), recovered by Travis Homer at SEA-34",1.480,0.370
1,13:39,3,4,SEA 34,0,0,Russell Wilson pass incomplete short right intended for Tyler Lockett (defended by Cre'von LeBlanc),0.370,-1.110
1,13:34,4,4,SEA 34,0,0,"Michael Dickson punts 44 yards, fair catch by Greg Ward at PHI-22",-1.110,-0.410
1,13:27,1,10,PHI 22,0,0,Miles Sanders right guard for 2 yards (tackle by Bobby Wagner and K.J. Wright),0.410,0.140
1,12:45,2,8,PHI 24,0,0,"Carson Wentz aborted snap, recovered by Carson Wentz at PHI-10 Carson Wentz pass incomplete short right",0.140,-0.560
1,12:39,3,8,PHI 24,0,0,Carson Wentz pass incomplete deep left intended for Greg Ward,-0.560,-1.770
1,12:34,4,8,PHI 24,0,0,"Cameron Johnston punts 45 yards, fair catch by David Moore at SEA-31. Penalty on Craig James: Unnecessary Roughness, 15 yards",-1.770,-1.990
1,12:27,1,10,SEA 46,0,0,Travis Homer up the middle for 2 yards (tackle by Malcolm Jenkins),1.990,1.720
1,11:58,2,8,SEA 48,0,0,Russell Wilson up the middle for 22 yards (tackle by Nigel Bradham),1.720,3.580
1,11:27,1,10,PHI 30,0,0,Travis Homer left end for 12 yards (tackle by Malcolm Jenkins),3.580,4.370
1,10:45,1,10,PHI 18,0,0,Russell Wilson pass incomplete short left intended for D.K. Metcalf,4.370,3.800
1,10:41,2,10,PHI 18,0,0,Marshawn Lynch up the middle for 1 yard (tackle by Derek Barnett),3.800,3.170
1,9:55,3,9,PHI 17,0,0,Russell Wilson pass incomplete deep right intended for Tyler Lockett,3.170,2.310
1,9:49,4,9,PHI 17,0,0,Jason Myers 35 yard field goal no good,2.310,-0.610
1,9:41,1,10,PHI 25,0,0,Carson Wentz sacked by Bradley McDougald for -1 yards,0.610,-0.070
