0,1
Officials,Officials
Referee,Shawn Smith
Umpire,Bryan Neale
Down Judge,Derick Bowers
Line Judge,Tim Podraza
Back Judge,Tony Steratore
Side Judge,Jeff Lamberth
Field Judge,Keith Washington
