Quarter,Time,Tm,Detail,OAK,CAR
1.0,3:12,Panthers,Steve Smith Sr. 23 yard pass from Cam Newton (Graham Gano kick),0,7
2.0,6:25,Raiders,Sebastian Janikowski 21 yard field goal,3,7
,0:17,Panthers,Cam Newton 3 yard rush (Graham Gano kick),3,14
4.0,13:18,Raiders,Sebastian Janikowski 31 yard field goal,6,14
,2:46,Panthers,Graham Gano 51 yard field goal,6,17
