Unnamed: 0,OAK,CAR
First Downs,12,16
Rush-Yds-TDs,22-47-0,28-112-1
Cmp-Att-Yd-TD-INT,20-36-151-0-1,18-29-170-1-1
Sacked-Yards,1-9,2-11
Net Pass Yards,142,159
Total Yards,189,271
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,6-70,10-97
Third Down Conv.,4-15,6-15
Fourth Down Conv.,0-2,0-0
Time of Possession,29:05,30:55
