Quarter,Time,Tm,Detail,HOU,PHI
1.0,6:32,Eagles,Darren Sproles 37 yard pass from Nick Foles (Jake Elliott kick),0,7
2.0,14:52,Texans,Ka'imi Fairbairn 30 yard field goal,3,7
,10:23,Texans,Deshaun Watson 5 yard rush (Ka'imi Fairbairn kick failed),9,7
,3:08,Eagles,Zach Ertz 1 yard pass from Nick Foles,9,13
,1:17,Texans,Deshaun Watson 6 yard rush (Ka'imi Fairbairn kick),16,13
3.0,5:31,Eagles,Jake Elliott 47 yard field goal,16,16
,2:18,Eagles,Nelson Agholor 83 yard pass from Nick Foles (Jake Elliott kick),16,23
4.0,10:21,Eagles,Zach Ertz 23 yard pass from Nick Foles (Jake Elliott kick failed),16,29
,4:41,Texans,D'Onta Foreman 20 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),23,29
,2:04,Texans,Vyncint Smith 35 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),30,29
,0:00,Eagles,Jake Elliott 35 yard field goal,30,32
