Quarter,Time,Down,ToGo,Location,HOU,PHI,Detail,EPB,EPA
1,1:02,2,13,PHI 14,0,7,Deshaun Watson pass complete short left to Demaryius Thomas for 7 yards (tackle by Rasul Douglas),3.690,3.980
1,0:22,3,6,PHI 7,0,7,"Penalty on Martinas Rankin: False Start, 5 yards (no play)",3.980,3.110
Quarter,Time,Down,ToGo,Location,HOU,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,PHI 12,0,7,Deshaun Watson pass incomplete short left intended for Jordan Thomas,3.110,2.630
2,14:55,4,11,PHI 12,3,7,Ka'imi Fairbairn 30 yard field goal good,2.630,3.000
2,14:52,,,HOU 35,3,7,"Ka'imi Fairbairn kicks off 60 yards, returned by Boston Scott for no gain (tackle by Johnson Bademosi)",0.000,0.870
2,14:47,1,10,PHI 29,3,7,"Darren Sproles left tackle for no gain (tackle by Deante Burton) Penalty on PHI: Illegal Formation, 5 yards (no play)",0.870,0.540
2,14:22,1,15,PHI 24,3,7,Nick Foles pass incomplete short right intended for Zach Ertz,0.540,-0.350
2,14:18,2,15,PHI 24,3,7,Darren Sproles up the middle for no gain (tackle by Jadeveon Clowney),-0.350,-1.020
2,13:40,3,15,PHI 24,3,7,Nick Foles pass complete short right to Alshon Jeffery for 11 yards (tackle by Andre Hal and Aaron Colvin),-1.020,-1.040
2,13:05,4,4,PHI 35,3,7,"Cameron Johnston punts 48 yards, returned by DeAndre Carter for 8 yards (tackle by Nathan Gerry)",-1.040,-0.610
2,12:55,1,10,HOU 25,3,7,D'Onta Foreman left end for no gain (tackle by Treyvon Hester),0.610,0.060
2,12:21,2,10,HOU 25,3,7,Deshaun Watson pass incomplete short left intended for Ryan Griffin (defended by Jordan Hicks),0.060,-0.620
2,12:17,3,10,HOU 25,3,7,Deshaun Watson pass complete short left to Alfred Blue for 9 yards (tackle by Rasul Douglas and Nigel Bradham),-0.620,-1.110
2,11:35,4,1,HOU 34,3,7,"Penalty on HOU: Delay of Game, 5 yards (no play)",-1.110,-1.440
2,11:24,4,6,HOU 29,3,7,"Trevor Daniel punts 51 yards downed by Peter Kalambayi. Penalty on De'Vante Bausby: Offensive Holding, 10 yards",-1.440,0.380
2,11:13,1,10,PHI 10,3,7,Josh Adams up the middle for 4 yards (tackle by Christian Covington),-0.380,-0.460
2,10:35,2,6,PHI 14,3,7,"Nick Foles sacked by Jadeveon Clowney for -9 yards. Nick Foles fumbles (forced by Jadeveon Clowney), recovered by Jadeveon Clowney at PHI-5 (tackle by Richard Rodgers)",-0.460,-6.060
2,10:27,1,5,PHI 5,9,7,"Deshaun Watson left end for 5 yards, touchdown",6.060,7.000
2,10:23,,,PHI 15,9,7,Ka'imi Fairbairn kicks extra point no good wide right,0.000,-1.000
2,10:23,,,HOU 35,9,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,10:23,1,10,PHI 25,9,7,"Nick Foles pass incomplete short right intended for Alshon Jeffery. Penalty on Jadeveon Clowney: Defensive Holding, 5 yards (no play)",0.610,0.940
2,10:19,1,10,PHI 30,9,7,Josh Adams up the middle for -2 yards (tackle by Jadeveon Clowney and Zach Cunningham),0.940,0.120
2,9:39,2,12,PHI 28,9,7,Darren Sproles left end for 11 yards (tackle by Justin Reid and Benardrick McKinney),0.120,0.890
2,9:01,3,1,PHI 39,9,7,Nick Foles pass complete deep left to Darren Sproles for 31 yards (tackle by Justin Reid),0.890,3.580
2,8:25,1,10,HOU 30,9,7,Nick Foles pass complete short middle to Zach Ertz for 15 yards (tackle by Justin Reid),3.580,4.580
2,7:54,1,10,HOU 15,9,7,Wendell Smallwood left tackle for 3 yards (tackle by Benardrick McKinney and Tyrann Mathieu),4.580,4.450
2,7:08,2,7,HOU 12,9,7,Nick Foles pass complete short right to Nelson Agholor for 6 yards (tackle by Johnathan Joseph),4.450,4.900
2,6:30,3,1,HOU 6,9,7,Josh Adams up the middle for -2 yards (tackle by J.J. Watt),4.900,2.980
2,5:44,4,3,HOU 8,9,7,Nick Foles pass complete short right to Dallas Goedert for 6 yards,2.980,6.740
2,5:03,1,2,HOU 2,9,7,Nick Foles pass incomplete short right intended for Darren Sproles (defended by Jadeveon Clowney),6.740,5.720
2,4:59,2,2,HOU 2,9,7,Nick Foles pass incomplete short left intended for Darren Sproles,5.720,4.950
2,4:56,3,2,HOU 2,9,7,"Nick Foles pass incomplete short right intended for Zach Ertz. Penalty on J.J. Watt: Roughing the Passer, 1 yard (no play)",4.950,6.970
2,4:51,1,1,HOU 1,9,7,"Josh Adams up the middle for no gain. Penalty on Halapoulivaati Vaitai: Offensive Holding, 10 yards (no play)",6.970,4.770
2,4:48,1,11,HOU 11,9,7,"Penalty on PHI: Delay of Game, 5 yards (no play)",4.770,4.310
2,4:48,1,16,HOU 16,9,7,Nick Foles pass complete short left to Zach Ertz for 6 yards (tackle by Aaron Colvin),4.310,4.190
2,4:05,2,10,HOU 10,9,7,Nick Foles pass incomplete short right intended for Alshon Jeffery (defended by Benardrick McKinney),4.190,3.130
2,3:57,3,10,HOU 10,9,7,Nick Foles pass complete short left to Zach Ertz for 9 yards (tackle by Justin Reid),3.130,3.550
2,3:11,4,1,HOU 1,9,13,"Nick Foles pass complete short left to Zach Ertz for 1 yard, touchdown, touchdown",3.550,7.000
2,3:08,,,HOU 2,9,13,Two Point Attempt: Nick Foles pass complete to,0.000,-1.000
2,3:08,,,PHI 35,9,13,"Jake Elliott kicks off 64 yards, returned by DeAndre Carter for no gain (tackle by LaRoy Reynolds)",0.000,0.280
2,3:03,1,10,HOU 20,9,13,Deshaun Watson pass complete short right to Demaryius Thomas for 15 yards (tackle by Avonte Maddox),0.280,1.270
2,2:34,1,10,HOU 35,9,13,Alfred Blue up the middle for 2 yards (tackle by Michael Bennett and Fletcher Cox),1.270,0.990
2,2:05,2,8,HOU 37,9,13,Deshaun Watson pass complete short right to Jordan Akins for 11 yards (tackle by Malcolm Jenkins),0.990,2.130
2,1:58,1,10,HOU 48,9,13,"Alfred Blue right end for 5 yards (tackle by Nigel Bradham). Penalty on Tre Sullivan: Lowering the Head to Initiate Contact, 15 yards",2.130,3.450
2,1:49,1,10,PHI 32,9,13,Deshaun Watson pass incomplete deep right intended for Demaryius Thomas,3.450,2.900
2,1:42,2,10,PHI 32,9,13,"Deshaun Watson pass incomplete short right. Penalty on Brandon Graham: Roughing the Passer, 15 yards (no play)",2.900,4.440
2,1:39,1,10,PHI 17,9,13,Deshaun Watson left end for 3 yards (tackle by Malcolm Jenkins),4.440,4.320
2,1:28,,,,,,Timeout #1 by Philadelphia Eagles,,
2,1:28,2,7,PHI 14,9,13,Deshaun Watson pass complete short left to DeAndre Hopkins for 8 yards,4.320,5.830
2,1:22,1,6,PHI 6,15,13,"Deshaun Watson left end for 6 yards, touchdown",5.830,7.000
2,1:17,,,PHI 15,16,13,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,1:17,,,HOU 35,16,13,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,1:17,1,10,PHI 25,16,13,Nick Foles pass complete short left to Jordan Matthews for 11 yards (tackle by Deante Burton),0.610,1.330
2,0:51,1,10,PHI 36,16,13,Nick Foles pass complete short middle to Wendell Smallwood for 7 yards (tackle by Tyrann Mathieu and Zach Cunningham),1.330,1.740
2,0:45,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:45,2,3,PHI 43,16,13,"Nick Foles pass complete deep left to Nelson Agholor for 17 yards (tackle by Deante Burton). Penalty on Halapoulivaati Vaitai: Offensive Holding, 10 yards (no play)",1.740,0.390
2,0:39,2,13,PHI 33,16,13,Nick Foles pass complete short left to Wendell Smallwood for 10 yards (tackle by Justin Reid),0.390,1.030
2,0:33,3,3,PHI 43,16,13,Nick Foles pass complete short right to Nelson Agholor for 9 yards (tackle by Zach Cunningham),1.030,2.390
2,0:27,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:27,1,10,HOU 48,16,13,Nick Foles pass complete short left to Wendell Smallwood for 4 yards (tackle by Tyrann Mathieu),2.390,2.390
2,0:11,2,6,HOU 44,16,13,Nick Foles spiked the ball,2.390,1.690
2,0:10,3,6,HOU 44,16,13,Nick Foles pass complete short right to Zach Ertz for 6 yards (tackle by Zach Cunningham),1.690,2.260
Quarter,Time,Down,ToGo,Location,HOU,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,16,13,"Ka'imi Fairbairn kicks off 70 yards, returned by Boston Scott for no gain (tackle by Johnson Bademosi)",0.000,0.340
3,14:55,1,10,PHI 21,16,13,"Nick Foles pass complete short right to Zach Ertz for 11 yards (tackle by Deante Burton). Zach Ertz fumbles (forced by Deante Burton), recovered by Dallas Goedert at PHI-34 (tackle by Justin Reid)",0.340,1.200
3,14:10,1,10,PHI 34,16,13,"Josh Adams left end for no gain (tackle by Jadeveon Clowney). Penalty on Jadeveon Clowney: Defensive Offside, 5 yards (no play)",1.200,1.930
3,13:46,1,5,PHI 39,16,13,Nick Foles pass incomplete short right intended for Josh Adams,1.930,1.330
3,13:40,2,5,PHI 39,16,13,Darren Sproles right end for 4 yards (tackle by Benardrick McKinney),1.330,1.160
3,12:55,3,1,PHI 43,16,13,Nick Foles pass complete short right to Dallas Goedert for no gain (tackle by Justin Reid),1.160,-0.520
3,12:09,4,1,PHI 43,16,13,Nick Foles up the middle for 1 yard (tackle by Angelo Blackson),-0.520,1.860
3,11:28,1,10,PHI 44,16,13,Nick Foles pass short left intended for Zach Ertz is intercepted by Benardrick McKinney at PHI-46 and returned for no gain,1.860,-2.520
3,11:21,1,10,PHI 46,16,13,Deshaun Watson pass complete short right to DeAndre Carter for -1 yards,2.520,1.840
3,10:48,2,11,PHI 47,16,13,D'Onta Foreman left end for -1 yards (tackle by Timmy Jernigan),1.840,1.030
3,10:16,3,12,PHI 48,16,13,Deshaun Watson pass complete short left to DeAndre Carter for 7 yards (tackle by Rasul Douglas),1.030,0.530
3,9:32,4,5,PHI 41,16,13,"Trevor Daniel punts 29 yards, fair catch by Darren Sproles at PHI-12",0.530,0.350
3,9:26,1,10,PHI 12,16,13,Nick Foles pass complete deep middle to Alshon Jeffery for 52 yards (tackle by Tyrann Mathieu),-0.350,3.180
3,8:42,1,10,HOU 36,16,13,Nick Foles pass complete short right to Darren Sproles for 8 yards (tackle by Angelo Blackson),3.180,3.720
3,8:03,2,2,HOU 28,16,13,Nick Foles pass complete short left to Richard Rodgers for 7 yards (tackle by Whitney Mercilus),3.720,4.170
3,7:19,1,10,HOU 21,16,13,Darren Sproles left guard for no gain (tackle by Jadeveon Clowney and Zach Cunningham),4.170,3.630
3,6:43,2,10,HOU 21,16,13,"Nick Foles pass incomplete short left intended for Zach Ertz. Penalty on Dallas Goedert: Offensive Holding, 10 yards (no play)",3.630,2.280
3,6:39,2,20,HOU 31,16,13,Nick Foles pass complete short right to Jordan Matthews for 2 yards (tackle by Jadeveon Clowney),2.280,1.880
3,6:11,3,18,HOU 29,16,13,Darren Sproles left end for no gain (tackle by Jadeveon Clowney),1.880,1.500
3,5:35,4,18,HOU 29,16,16,Jake Elliott 47 yard field goal good,1.500,3.000
3,5:31,,,PHI 35,16,16,"Jake Elliott kicks off 65 yards, returned by DeAndre Carter for no gain (tackle by B.J. Bello and Cre'von LeBlanc)",0.000,0.870
3,5:26,1,10,HOU 29,16,16,Deshaun Watson left end for 3 yards (tackle by Jordan Hicks),0.870,0.730
3,4:52,2,7,HOU 32,16,16,"Penalty on Martinas Rankin: False Start, 5 yards (no play)",0.730,0.060
3,4:32,2,12,HOU 27,16,16,Deshaun Watson pass complete short left to Demaryius Thomas for 15 yards (tackle by Corey Graham),0.060,1.730
3,3:58,1,10,HOU 42,16,16,D'Onta Foreman left end for 1 yard (tackle by Rasul Douglas),1.730,1.320
3,3:26,2,9,HOU 43,16,16,Deshaun Watson left end for 7 yards (tackle by Jordan Hicks),1.320,1.550
3,2:44,3,2,HOU 50,16,16,Deshaun Watson pass incomplete deep right intended for Demaryius Thomas,1.550,-0.060
3,2:38,4,2,HOU 50,16,16,Trevor Daniel punts 33 yards out of bounds,-0.060,0.060
3,2:32,1,10,PHI 17,16,22,"Nick Foles pass complete deep middle to Nelson Agholor for 83 yards, touchdown",-0.060,7.000
3,2:18,,,HOU 15,16,23,Jake Elliott kicks extra point good,0.000,0.000
3,2:18,,,PHI 35,16,23,"Jake Elliott kicks off 62 yards, returned by DeAndre Carter for no gain (tackle by Daeshon Hall)",0.000,0.870
3,2:13,1,10,HOU 29,16,23,Deshaun Watson left end for 2 yards (tackle by Tre Sullivan),0.870,0.600
3,1:29,2,8,HOU 31,16,23,Deshaun Watson pass complete short middle to DeAndre Hopkins for 13 yards (tackle by Tre Sullivan),0.600,1.860
3,0:50,1,10,HOU 44,16,23,Deshaun Watson pass complete short middle to Ryan Griffin for 10 yards (tackle by Tre Sullivan),1.860,2.520
3,0:17,1,10,PHI 46,16,23,Deshaun Watson pass complete short left to DeAndre Hopkins for 15 yards (tackle by Avonte Maddox),2.520,3.510
Quarter,Time,Down,ToGo,Location,HOU,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 31,16,23,"Deshaun Watson pass complete short left to DeAndre Hopkins for 2 yards (tackle by Nigel Bradham). Penalty on Julie'n Davenport: Illegal Block Above the Waist, 10 yards (no play)",3.510,2.850
4,14:37,1,20,PHI 41,16,23,Deshaun Watson pass complete short middle to DeAndre Carter for 7 yards (tackle by Jordan Hicks and Nigel Bradham),2.850,2.560
4,13:54,2,13,PHI 34,16,23,Deshaun Watson pass incomplete short right intended for DeAndre Carter,2.560,1.880
4,13:49,3,13,PHI 34,16,23,"Deshaun Watson sacked by Chris Long for -19 yards. Deshaun Watson fumbles (forced by Chris Long), recovered by Fletcher Cox at HOU-47 and returned for 3 yards",1.880,-2.650
4,13:43,1,10,HOU 44,16,23,"Penalty on PHI: Delay of Game, 5 yards (no play)",2.650,2.320
4,13:43,1,15,HOU 49,16,23,Nick Foles pass complete short right to Nelson Agholor for 13 yards (tackle by Zach Cunningham),2.320,3.190
4,13:04,,,,,,Timeout #1 by Philadelphia Eagles,,
4,13:04,2,2,HOU 36,16,23,Josh Adams right end for 6 yards (tackle by Aaron Colvin),3.190,3.580
4,12:21,1,10,HOU 30,16,23,Nick Foles pass complete short right to Golden Tate for 4 yards (tackle by Aaron Colvin),3.580,3.570
4,11:38,2,6,HOU 26,16,23,"Nick Foles pass complete short right to Darren Sproles for 4 yards (tackle by Aaron Colvin). Penalty on J.J. Watt: Defensive Offside, 5 yards (no play)",3.570,4.250
4,11:11,2,1,HOU 21,16,23,Josh Adams left end for -2 yards (tackle by Jadeveon Clowney),4.250,3.270
4,10:30,3,3,HOU 23,16,29,"Nick Foles pass complete short right to Zach Ertz for 23 yards, touchdown",3.270,7.000
4,10:21,,,HOU 15,16,29,Jake Elliott kicks extra point no good wide right,0.000,-1.000
4,10:21,,,PHI 35,16,29,"Jake Elliott kicks off 60 yards, returned by DeAndre Carter for no gain (tackle by LaRoy Reynolds)",0.000,0.480
4,10:17,1,10,HOU 23,16,29,Alfred Blue up the middle for 3 yards (tackle by Brandon Graham),0.480,0.340
4,9:51,2,7,HOU 26,16,29,Deshaun Watson pass complete short left to DeAndre Hopkins for 9 yards (tackle by Rasul Douglas),0.340,1.270
4,9:25,1,10,HOU 35,16,29,Deshaun Watson pass complete short right to DeAndre Carter for 11 yards (tackle by Jordan Hicks),1.270,1.990
4,8:58,1,10,HOU 46,16,29,Deshaun Watson pass incomplete short middle intended for Alfred Blue,1.990,1.450
4,8:52,2,10,HOU 46,16,29,Deshaun Watson pass complete deep left to DeAndre Carter for 24 yards (tackle by Cre'von LeBlanc),1.450,3.580
4,8:21,1,10,PHI 30,16,29,Deshaun Watson pass complete short left to Alfred Blue for 9 yards (tackle by Corey Graham),3.580,4.250
4,7:51,2,1,PHI 21,16,29,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins,4.250,3.530
4,7:47,3,1,PHI 21,16,29,Deshaun Watson sacked by Treyvon Hester for -8 yards,3.530,1.500
4,7:04,4,9,PHI 29,16,29,Deshaun Watson pass complete short left to Alfred Blue for 5 yards (tackle by Rasul Douglas),1.500,-0.540
4,6:58,1,10,PHI 24,16,29,Josh Adams up the middle for 3 yards (tackle by J.J. Watt),0.540,0.400
4,6:17,2,7,PHI 27,16,29,Nick Foles pass complete short left to Dallas Goedert for 24 yards (tackle by Andre Hal),0.400,2.320
4,5:30,1,10,HOU 49,16,29,"Josh Adams up the middle for 2 yards (tackle by Zach Cunningham). Josh Adams fumbles (forced by Zach Cunningham), recovered by Justin Reid at HOU-45 (tackle by Nick Foles)",2.320,-1.930
4,5:21,1,10,HOU 45,16,29,Deshaun Watson pass incomplete short right intended for DeAndre Hopkins (defended by Avonte Maddox),1.930,1.380
4,5:17,2,10,HOU 45,16,29,"Deshaun Watson pass complete short left to Ryan Griffin for 5 yards (tackle by Cre'von LeBlanc). Penalty on Cre'von LeBlanc: Unnecessary Roughness, 15 yards",1.380,3.250
4,4:58,1,10,PHI 35,16,29,"Penalty on Zach Fulton: False Start, 5 yards (no play)",3.250,2.920
4,4:57,1,15,PHI 40,16,29,Deshaun Watson pass complete short right to DeAndre Hopkins for 14 yards (tackle by Rasul Douglas),2.920,3.920
4,4:52,2,1,PHI 26,16,29,Deshaun Watson pass complete short left to DeAndre Hopkins for 6 yards,3.920,4.240
4,4:49,1,10,PHI 20,22,29,"Deshaun Watson pass complete deep right to D'Onta Foreman for 20 yards, touchdown",4.240,7.000
4,4:41,,,PHI 15,23,29,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,4:41,,,HOU 35,23,29,"Ka'imi Fairbairn kicks off 55 yards, returned by Boston Scott for no gain (tackle by Ka'imi Fairbairn)",0.000,1.930
4,4:34,1,10,PHI 45,23,29,Josh Adams up the middle for 2 yards (tackle by J.J. Watt),1.930,1.650
4,4:29,,,,,,Timeout #1 by Houston Texans,,
4,4:29,2,8,PHI 47,23,29,Nick Foles pass complete short left to Nelson Agholor for 5 yards (tackle by Deante Burton),1.650,1.620
4,4:23,,,,,,Timeout #2 by Houston Texans,,
4,4:23,3,3,HOU 48,23,29,Nick Foles pass incomplete short left intended for Golden Tate (defended by Dylan Cole),1.620,0.070
4,4:17,4,3,HOU 48,23,29,"Cameron Johnston punts 48 yards, touchback.",0.070,-0.280
4,4:06,1,10,HOU 20,23,29,Deshaun Watson pass complete short left to D'Onta Foreman for 8 yards (tackle by Nigel Bradham),0.280,0.810
4,4:01,2,2,HOU 28,23,29,"Deshaun Watson left end for 12 yards. Penalty on Rasul Douglas: Illegal Contact, 5 yards",0.810,1.930
4,3:54,1,10,HOU 45,23,29,Deshaun Watson sacked by Chris Long for -1 yards,1.930,1.250
4,3:30,2,11,HOU 44,23,29,Deshaun Watson pass incomplete short right intended for Ryan Griffin,1.250,0.560
4,3:25,3,11,HOU 44,23,29,Deshaun Watson pass complete deep left to Jordan Akins for 22 yards (tackle by Rasul Douglas),0.560,3.310
4,2:53,1,10,PHI 34,23,29,Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins,3.310,2.770
4,2:48,2,10,PHI 34,23,29,"D'Onta Foreman up the middle for -1 yards. D'Onta Foreman fumbles, recovered by Nick Martin at PHI-38 (tackle by Nigel Bradham and Malcolm Jenkins)",2.770,1.950
4,2:11,3,11,PHI 35,29,29,"Deshaun Watson pass complete deep left to Vyncint Smith for 35 yards, touchdown",1.950,7.000
4,2:04,,,PHI 15,30,29,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,2:04,,,HOU 35,30,29,"Ka'imi Fairbairn kicks off 65 yards, returned by Boston Scott for no gain (tackle by A.J. Moore)",0.000,-0.370
4,2:00,1,10,PHI 11,30,29,Nick Foles pass incomplete short right intended for Zach Ertz (defended by Tyrann Mathieu),-0.370,-0.780
4,1:55,2,10,PHI 11,30,29,Nick Foles pass incomplete deep left intended for Nelson Agholor,-0.780,-1.420
4,1:50,3,10,PHI 11,30,29,"Nick Foles pass complete deep middle to Alshon Jeffery for 19 yards (tackle by Johnathan Joseph). Penalty on Jadeveon Clowney: Roughing the Passer, 15 yards",-1.420,1.930
4,1:38,1,10,PHI 45,30,29,Nate Sudfeld pass incomplete short right intended for Jordan Matthews,1.930,1.380
4,1:34,2,10,PHI 45,30,29,Nick Foles pass incomplete short right intended for Nelson Agholor,1.380,0.700
4,1:29,3,10,PHI 45,30,29,Nick Foles pass complete deep right to Zach Ertz for 20 yards,0.700,3.250
4,1:23,1,10,HOU 35,30,29,Nick Foles pass incomplete short right intended for Darren Sproles,3.250,2.700
4,1:20,2,10,HOU 35,30,29,Darren Sproles right end for 16 yards (tackle by Andre Hal and Zach Cunningham),2.700,4.310
4,0:32,1,10,HOU 19,30,29,Darren Sproles right tackle for no gain (tackle by D.J. Reader),4.310,3.750
4,0:11,,,,,,Timeout #2 by Philadelphia Eagles,,
4,0:11,2,10,HOU 19,30,29,Darren Sproles up the middle for 2 yards (tackle by Zach Cunningham),3.750,3.260
4,0:03,,,,,,Timeout #3 by Philadelphia Eagles,,
4,0:03,,,,,,Timeout #3 by Houston Texans,,
4,0:03,3,8,HOU 17,30,32,Jake Elliott 35 yard field goal good,3.260,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
