Unnamed: 0,LVR,LAC
First Downs,22,16
Rush-Yds-TDs,23-76-2,37-155-2
Cmp-Att-Yd-TD-INT,24-39-238-0-1,13-24-167-1-1
Sacked-Yards,7-50,2-17
Net Pass Yards,188,150
Total Yards,264,305
Fumbles-Lost,3-2,1-0
Turnovers,3,1
Penalties-Yards,9-80,4-34
Third Down Conv.,1-11,5-14
Fourth Down Conv.,3-3,1-2
Time of Possession,32:51,27:09
