Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Amari Cooper,DAL,7,6,81,0,5,57,9.5,24,4.0,10.0,0,,0,0.0,0,114.9
CeeDee Lamb,DAL,6,4,34,1,2,14,3.5,20,5.0,3.8,0,,0,0.0,0,120.8
Dalton Schultz,DAL,6,4,25,1,2,18,4.5,7,1.8,5.5,0,,0,0.0,1,75.0
Ezekiel Elliott,DAL,2,2,11,1,1,-2,-1.0,13,6.5,-1.0,0,,0,0.0,0,129.2
Michael Gallup,DAL,5,2,29,0,2,20,10.0,9,4.5,11.6,0,,2,40.0,0,59.6
Blake Bell,DAL,1,1,13,0,1,13,13.0,0,0.0,13.0,0,,0,0.0,0,118.7
Noah Brown,DAL,1,1,6,0,,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7
Andy Dalton,DAL,1,1,-3,0,0,-7,-7.0,4,4.0,-7.0,0,,0,0.0,0,79.2
Cedrick Wilson Jr.,DAL,2,1,7,0,,6,6.0,1,1.0,5.0,0,,1,50.0,0,58.3
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Adam Thielen,MIN,11,8,123,2,6,75,9.4,48,6.0,11.6,0,,1,9.1,0,148.9
Dalvin Cook,MIN,5,5,45,0,2,-1,-0.2,46,9.2,-0.2,0,,0,0.0,0,104.2
Justin Jefferson,MIN,5,3,86,1,3,83,27.7,3,1.0,21.0,0,,1,20.0,0,143.7
Kyle Rudolph,MIN,3,3,28,0,2,5,1.7,23,7.7,1.7,0,,0,0.0,0,105.6
Irv Smith Jr.,MIN,2,2,23,0,1,11,5.5,12,6.0,5.5,0,,0,0.0,0,114.6
Olabisi Johnson,MIN,1,1,9,0,,5,5.0,4,4.0,5.0,0,,0,0.0,0,104.2
C.J. Ham,MIN,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6
