Unnamed: 0,DAL,MIN
First Downs,24,24
Rush-Yds-TDs,31-180-1,29-125-1
Cmp-Att-Yd-TD-INT,22-32-203-3-1,22-30-314-3-0
Sacked-Yards,1-7,2-9
Net Pass Yards,196,305
Total Yards,376,430
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,4-30,8-80
Third Down Conv.,5-11,6-10
Fourth Down Conv.,2-3,0-1
Time of Possession,28:11,31:49
