Quarter,Time,Tm,Detail,DAL,MIN
1.0,9:26,Cowboys,Ezekiel Elliott 6 yard pass from Andy Dalton (Greg Zuerlein kick failed),6,0
,2:11,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),6,7
2.0,4:55,Cowboys,CeeDee Lamb 4 yard pass from Andy Dalton (Greg Zuerlein kick),13,7
,0:02,Cowboys,Greg Zuerlein 19 yard field goal,16,7
3.0,9:50,Vikings,Adam Thielen 2 yard pass from Kirk Cousins (Dan Bailey kick),16,14
4.0,14:57,Vikings,Adam Thielen 3 yard pass from Kirk Cousins (Dan Bailey kick),16,21
,12:02,Cowboys,Tony Pollard 42 yard rush (CeeDee Lamb run),24,21
,9:37,Vikings,Justin Jefferson 39 yard pass from Kirk Cousins (Dan Bailey kick),24,28
,1:37,Cowboys,Dalton Schultz 2 yard pass from Andy Dalton (Greg Zuerlein kick),31,28
