Unnamed: 0,NWE,DAL
First Downs,28,13
Rush-Yds-TDs,29-75-1,16-99-0
Cmp-Att-Yd-TD-INT,31-46-388-5-0,18-29-199-2-1
Sacked-Yards,3-15,2-13
Net Pass Yards,373,186
Total Yards,448,285
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,5-50,12-100
Third Down Conv.,11-17,4-11
Fourth Down Conv.,2-2,0-0
Time of Possession,38:15,21:45
