Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 67 yards, returned by Andre' Davis for 25 yards (tackle by Joey LaRocque)",0.000,0.810
1,14:52,1,10,HOU 28,0,0,Matt Schaub pass complete short right to Vonta Leach for 3 yards (tackle by Nick Roach),0.810,0.670
1,14:19,2,7,HOU 31,0,0,Matt Schaub pass complete short right to Andre Johnson for 8 yards (tackle by Charles Tillman),0.670,1.530
1,13:50,1,10,HOU 39,0,0,Matt Schaub pass complete short right to Andre Johnson for 12 yards (tackle by Charles Tillman),1.530,2.320
1,13:13,1,10,CHI 49,0,0,Matt Schaub pass incomplete short right intended for Andre Johnson,2.320,1.780
1,13:08,2,10,CHI 49,0,0,Steve Slaton right end for 2 yards (tackle by Adewale Ogunleye),1.780,1.360
1,12:26,3,8,CHI 47,0,0,Matt Schaub pass complete short middle to Steve Slaton for 2 yards (tackle by Lance Briggs),1.360,0.270
1,11:44,4,6,CHI 45,0,0,"Matt Turk punts 45 yards, touchback",0.270,-0.280
1,11:34,1,10,CHI 20,0,0,Matt Forte left guard for 4 yards (tackle by Brandon Harrison),0.280,0.270
1,10:48,2,6,CHI 24,0,0,Kyle Orton pass complete short right to Devin Hester for 11 yards (tackle by Jacques Reeves),0.270,1.270
1,10:15,1,10,CHI 35,0,0,Matt Forte right tackle for 3 yards (tackle by Anthony Weaver),1.270,1.130
1,9:37,2,7,CHI 38,0,0,Kyle Orton pass complete short right to Greg Olsen for 10 yards (tackle by Jacques Reeves),1.130,2.130
1,9:05,1,10,CHI 48,0,0,Matt Forte up the middle for 4 yards (tackle by DeMeco Ryans and Kevin Bentley),2.130,2.120
1,8:28,2,6,HOU 48,0,0,Matt Forte left end for no gain (tackle by DeMeco Ryans),2.120,1.420
1,7:48,3,6,HOU 48,0,0,"Kyle Orton pass complete short middle to Devin Hester for 15 yards (tackle by Fred Bennett). Penalty on Tim Bulman: Roughing the Passer, 15 yards",1.420,4.370
1,7:22,1,10,HOU 18,0,0,Kyle Orton pass complete short middle to Matt Forte for 8 yards (tackle by DeMeco Ryans),4.370,5.230
1,6:46,2,2,HOU 10,0,0,Matt Forte right guard for 6 yards (tackle by Eugene Wilson),5.230,6.280
1,6:02,1,4,HOU 4,6,0,"Kyle Orton pass complete short left to Brandon Lloyd for 4 yards, touchdown",6.280,7.000
1,,,,HOU 2,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,7,0,"Robbie Gould kicks off 67 yards, returned by Andre' Davis for 39 yards (tackle by Rashied Davis)",0.000,1.730
1,5:46,1,10,HOU 42,7,0,Steve Slaton right tackle for no gain (tackle by Tommie Harris),1.730,1.190
1,5:15,2,10,HOU 42,7,0,"Matt Schaub pass complete short left to Steve Slaton for 6 yards (tackle by Charles Tillman). Steve Slaton fumbles (forced by Charles Tillman), recovered by Alex Brown at CHI-44 and returned for 18 yards (tackle by Duane Brown)",1.190,-3.050
1,4:58,1,10,HOU 38,7,0,Kyle Orton pass complete short left to Matt Forte for 13 yards (tackle by Morlon Greenwood),3.050,3.910
1,4:22,1,10,HOU 25,7,0,Matt Forte right tackle for 3 yards (tackle by Anthony Weaver),3.910,3.770
1,3:46,2,7,HOU 22,7,0,Kyle Orton pass incomplete short right intended for Marty Booker,3.770,3.070
1,3:42,3,7,HOU 22,7,0,"Kyle Orton pass complete short right to Devin Hester for 3 yards (tackle by Fred Bennett). Devin Hester fumbles (forced by Fred Bennett), ball out of bounds at HOU-19",3.070,2.260
1,3:34,4,4,HOU 19,10,0,Robbie Gould 37 yard field goal good,2.260,3.000
1,,,,CHI 30,10,0,"Robbie Gould kicks off 63 yards, returned by Andre' Davis for 18 yards (tackle by Brandon Rideau)",0.000,0.610
1,3:24,1,10,HOU 25,10,0,Ryan Moats left tackle for 2 yards (tackle by Tommie Harris),0.610,0.330
1,2:51,2,8,HOU 27,10,0,Matt Schaub pass incomplete short left intended for Andre Johnson (defended by Alex Brown),0.330,-0.360
1,2:48,3,8,HOU 27,10,0,Matt Schaub pass complete deep middle to Andre' Davis for 33 yards (tackle by Craig Steltz),-0.360,2.920
1,2:03,1,10,CHI 40,10,0,"Ryan Moats right tackle for 1 yard (tackle by Marcus Harrison). Penalty on Owen Daniels: Unnecessary Roughness, 15 yards",2.920,0.480
1,1:34,2,24,HOU 46,10,0,"Matt Schaub pass incomplete. Penalty on Matt Schaub: Intentional Grounding, 10 yards",0.480,-1.480
1,1:31,3,34,HOU 36,10,0,Steve Slaton right tackle for 6 yards (tackle by Tommie Harris),-1.480,-0.590
1,0:56,4,28,HOU 42,10,0,"Matt Turk punts 44 yards, fair catch by Devin Hester",-0.590,0.280
1,0:48,1,10,CHI 14,10,0,Matt Forte right tackle for 4 yards,-0.280,-0.210
1,0:16,2,6,CHI 18,10,0,Matt Forte left tackle for 7 yards (tackle by Morlon Greenwood),-0.210,0.610
Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 25,10,0,Matt Forte left tackle for 13 yards (tackle by Kevin Bentley),0.610,1.470
2,14:20,1,10,CHI 38,10,0,Kyle Orton pass complete short left to Brandon Lloyd for 7 yards (tackle by DelJuan Robinson),1.470,1.870
2,13:47,2,3,CHI 45,10,0,Matt Forte left guard for 2 yards (tackle by Amobi Okoye),1.870,1.420
2,13:12,3,1,CHI 47,10,0,Matt Forte right tackle for -1 yards (tackle by Jeff Zgonina and Amobi Okoye),1.420,-0.320
2,12:31,4,2,CHI 46,10,0,"Brad Maynard punts 40 yards, fair catch by Jacoby Jones",-0.320,0.280
2,12:23,1,10,HOU 14,10,0,Matt Schaub pass incomplete short right intended for Andre Johnson,-0.280,-0.750
2,12:18,2,10,HOU 14,10,0,Matt Schaub pass incomplete short right intended for Steve Slaton,-0.750,-1.400
2,12:12,3,10,HOU 14,10,0,Matt Schaub pass complete short left to Steve Slaton for no gain,-1.400,-2.470
2,11:36,4,10,HOU 14,10,0,"Matt Turk punts 35 yards, fair catch by Devin Hester",-2.470,-2.320
