Unnamed: 0,CHI,HOU
First Downs,21,25
Rush-Yds-TDs,18-69-1,36-127-2
Cmp-Att-Yd-TD-INT,22-37-244-2-0,27-36-328-2-0
Sacked-Yards,2-19,0-0
Net Pass Yards,225,328
Total Yards,294,455
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,2-10,7-70
Third Down Conv.,2-10,4-10
Fourth Down Conv.,1-1,1-1
Time of Possession,22:26,37:34
