Quarter,Time,Tm,Detail,HOU,DEN
1.0,13:20,Broncos,"Safety, Matt Schaub sacked by Elvis Dumervil in end zone.",0,2
,8:41,Broncos,Matt Prater 32 yard field goal,0,5
,6:28,Texans,Andre Johnson 60 yard pass from Matt Schaub (Shayne Graham kick),7,5
2.0,10:47,Texans,Arian Foster 3 yard pass from Matt Schaub (Shayne Graham kick),14,5
,8:54,Texans,Kevin Walter 52 yard pass from Matt Schaub (Shayne Graham kick),21,5
,5:44,Broncos,Matt Prater 23 yard field goal,21,8
,0:01,Broncos,Matt Prater 53 yard field goal,21,11
3.0,9:11,Texans,Shayne Graham 41 yard field goal,24,11
,1:33,Texans,Owen Daniels 14 yard pass from Matt Schaub (Shayne Graham kick),31,11
4.0,9:49,Broncos,Brandon Stokley 38 yard pass from Peyton Manning (Matt Prater kick),31,18
,3:00,Broncos,Joel Dreessen 6 yard pass from Peyton Manning (Matt Prater kick),31,25
