Quarter,Time,Down,ToGo,Location,HOU,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Shayne Graham kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Willis McGahee up the middle for 15 yards (tackle by Glover Quin),0.280,1.270
1,14:23,1,10,DEN 35,0,0,Peyton Manning pass incomplete short right intended for Willis McGahee (defended by Brian Cushing),1.270,0.720
1,14:19,2,10,DEN 35,0,0,Willis McGahee right guard for 3 yards (tackle by Brian Cushing),0.720,0.430
1,13:40,3,7,DEN 38,0,0,Peyton Manning pass incomplete short middle intended for Jacob Tamme,0.430,-0.850
1,13:35,4,7,DEN 38,0,0,Britton Colquitt punts 57 yards,-0.850,0.380
1,13:26,1,10,HOU 6,0,2,"Matt Schaub sacked by Elvis Dumervil for -6 yards, safety",-0.380,-2.000
1,13:20,,,HOU 20,0,2,"Donnie Jones kicks off 58 yards, returned by Jim Leonhard for 18 yards (tackle by Jesse Nading)",0.000,1.600
1,13:14,1,10,DEN 40,0,2,Peyton Manning pass complete short right to Eric Decker for 5 yards (tackle by Kareem Jackson),1.600,1.730
1,12:45,2,5,DEN 45,0,2,Willis McGahee left tackle for 5 yards (tackle by Brooks Reed and Kareem Jackson),1.730,2.260
1,12:02,1,10,,0,2,Peyton Manning pass complete short right to Chris Gronkowski for 11 yards (tackle by Brian Cushing),2.260,2.980
1,11:36,1,10,HOU 39,0,2,Willis McGahee right tackle for 5 yards (tackle by Johnathan Joseph),2.980,3.120
1,10:59,2,5,HOU 34,0,2,Peyton Manning pass incomplete short left intended for Demaryius Thomas (defended by Johnathan Joseph),3.120,2.410
1,10:53,3,5,HOU 34,0,2,Peyton Manning pass complete short middle to Jacob Tamme for 14 yards (tackle by Quintin Demps and Danieal Manning),2.410,4.240
1,10:15,1,10,HOU 20,0,2,Lance Ball left end for no gain (tackle by Danieal Manning),4.240,3.690
1,9:34,2,10,HOU 20,0,2,Peyton Manning pass incomplete deep left intended for Joel Dreessen,3.690,3.010
1,9:28,3,10,HOU 20,0,2,Peyton Manning pass complete short left to Willis McGahee for 6 yards (tackle by Connor Barwin),3.010,2.580
1,8:45,4,4,HOU 14,0,5,Matt Prater 32 yard field goal good,2.580,3.000
1,8:41,,,DEN 35,0,5,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,8:41,1,10,HOU 20,0,5,Matt Schaub pass complete deep middle to Kevin Walter for 18 yards (tackle by Mike Adams and Tracy Porter),0.280,1.470
1,8:05,1,10,HOU 38,0,5,Arian Foster right end for 11 yards (tackle by Rahim Moore),1.470,2.190
1,7:18,1,10,HOU 49,0,5,"Penalty on Duane Brown: False Start, 4 yards (no play)",2.190,1.930
1,6:55,1,14,HOU 45,0,5,"Penalty on Derek Newton: False Start, 5 yards (no play)",1.930,1.600
1,6:38,1,19,HOU 40,6,5,"Matt Schaub pass complete deep middle to Andre Johnson for 60 yards, touchdown",1.600,7.000
1,6:38,,,DEN 2,7,5,Shayne Graham kicks extra point good,0.000,0.000
1,6:28,,,HOU 35,7,5,"Shayne Graham kicks off 65 yards, touchback",0.000,0.280
1,6:28,1,10,DEN 20,7,5,Peyton Manning pass complete deep middle to Eric Decker for 35 yards (tackle by Kareem Jackson),0.280,2.590
1,5:49,1,10,HOU 45,7,5,Willis McGahee up the middle for 1 yard (tackle by Tim Jamison),2.590,2.180
1,5:09,2,9,HOU 44,7,5,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Johnathan Joseph),2.180,2.010
1,4:30,3,5,HOU 40,7,5,"Peyton Manning pass incomplete short right intended for Demaryius Thomas (defended by Johnathan Joseph). Penalty on Brice McCain: Defensive Holding, 5 yards (no play)",2.010,3.250
1,4:25,1,10,HOU 35,7,5,Willis McGahee left tackle for 1 yard (tackle by J.J. Watt),3.250,2.840
1,3:52,2,9,HOU 34,7,5,"Penalty on Zane Beadles: False Start, 5 yards (no play)",2.840,2.160
1,3:50,2,14,HOU 39,7,5,Lance Ball up the middle for 2 yards (tackle by Earl Mitchell),2.160,1.750
1,3:15,3,12,HOU 37,7,5,Peyton Manning sacked by Brooks Reed and J.J. Watt for -5 yards. Penalty on Manuel Ramirez: Offensive Holding (Declined),1.750,0.460
1,3:10,4,17,HOU 42,7,5,Britton Colquitt punts 40 yards,0.460,0.380
1,2:58,1,10,HOU 3,7,5,--,-0.380,-0.420
1,2:58,1,11,HOU 2,7,5,Ben Tate up the middle for 5 yards (tackle by Elvis Dumervil),-0.420,-0.490
1,2:20,2,6,HOU 7,7,5,Matt Schaub pass complete short right to Owen Daniels for 2 yards (tackle by Keith Brooking),-0.490,-0.720
1,1:40,3,4,HOU 9,7,5,Arian Foster right tackle for 8 yards (tackle by Chris Harris),-0.720,-0.060
1,1:00,1,10,HOU 17,7,5,Arian Foster right tackle for 22 yards (tackle by Mike Adams),-0.060,1.530
1,0:29,1,10,HOU 39,7,5,Matt Schaub pass incomplete short left intended for Andre Johnson,1.530,0.990
1,0:24,2,10,HOU 39,7,5,Ben Tate right guard for 9 yards (tackle by Rahim Moore),0.990,1.490
Quarter,Time,Down,ToGo,Location,HOU,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,HOU 48,7,5,Ben Tate right guard for 4 yards (tackle by Derek Wolfe and Mike Adams),1.490,2.390
2,14:23,1,10,DEN 48,7,5,Matt Schaub pass complete short left to James Casey for -3 yards (tackle by Tracy Porter),2.390,1.440
2,13:44,2,13,HOU 49,7,5,Arian Foster right tackle for 2 yards (tackle by Von Miller and Joe Mays),1.440,1.030
2,13:02,3,11,DEN 49,7,5,Matt Schaub pass complete short middle to Keshawn Martin for 18 yards (tackle by Tracy Porter),1.030,3.510
2,12:25,1,10,DEN 31,7,5,Matt Schaub pass complete deep middle to Garrett Graham for 27 yards (tackle by Rahim Moore),3.510,6.280
2,11:41,1,4,DEN 4,7,5,Matt Schaub pass incomplete (defended by Elvis Dumervil),6.280,5.340
2,11:34,2,4,DEN 4,7,5,Arian Foster right guard for 1 yard (tackle by Derek Wolfe),5.340,4.720
2,10:53,3,3,DEN 3,13,5,"Matt Schaub pass complete short right to Arian Foster for 3 yards, touchdown",4.720,7.000
2,10:53,,,DEN 2,14,5,Shayne Graham kicks extra point good,0.000,0.000
2,10:47,,,HOU 35,14,5,"Shayne Graham kicks off 64 yards, returned by Omar Bolden for 17 yards (tackle by Whitney Mercilus)",0.000,0.040
2,10:42,1,10,DEN 18,14,5,Willis McGahee right tackle for 4 yards (tackle by Connor Barwin),0.040,0.000
2,10:02,,,,14,5,Timeout #1 by Denver Broncos,0.000,0.140
2,10:02,2,6,DEN 22,14,5,Peyton Manning pass incomplete short middle intended for Jacob Tamme (defended by Earl Mitchell),0.140,-0.660
2,9:57,3,6,DEN 22,14,5,Peyton Manning pass incomplete deep right intended for Lance Ball,-0.660,-1.900
2,9:51,4,6,DEN 22,14,5,"Britton Colquitt punts 48 yards, returned by Trindon Holliday for 13 yards (tackle by Quinton Carter)",-1.900,-1.800
2,9:40,1,10,HOU 43,14,5,Arian Foster left guard for 5 yards (tackle by Rahim Moore),1.800,1.930
2,9:03,2,5,HOU 48,20,5,"Matt Schaub pass complete short middle to Kevin Walter for 52 yards, touchdown",1.930,7.000
2,9:03,,,DEN 2,21,5,Shayne Graham kicks extra point good,0.000,0.000
2,8:54,,,HOU 35,21,5,"Shayne Graham kicks off 65 yards, touchback",0.000,0.280
2,8:54,1,10,DEN 20,21,5,Willis McGahee up the middle for 1 yard (tackle by Antonio Smith),0.280,-0.130
2,8:32,2,9,DEN 21,21,5,Peyton Manning pass complete short left to Joel Dreessen for 30 yards (tackle by Quintin Demps),-0.130,2.320
2,8:07,1,10,HOU 49,21,5,Peyton Manning pass complete short left to Jacob Tamme for 6 yards (tackle by Johnathan Joseph),2.320,2.590
2,7:40,2,4,HOU 43,21,5,Ronnie Hillman left tackle for 4 yards (tackle by Johnathan Joseph),2.590,2.980
2,7:11,1,10,HOU 39,21,5,"Peyton Manning pass complete short middle to Demaryius Thomas for 23 yards (tackle by Quintin Demps). Penalty on Connor Barwin: Roughing the Passer, 8 yards",2.980,5.370
2,6:38,1,8,HOU 8,21,5,Peyton Manning pass incomplete short left intended for Matt Willis,5.370,4.570
2,6:33,2,8,HOU 8,21,5,Willis McGahee up the middle for 3 yards (tackle by Danieal Manning),4.570,4.260
2,5:52,3,5,HOU 5,21,5,Peyton Manning pass incomplete short left intended for Demaryius Thomas,4.260,3.010
2,5:48,4,5,HOU 5,21,8,Matt Prater 23 yard field goal good,3.010,3.000
2,5:44,,,DEN 35,21,8,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
2,5:44,1,10,HOU 20,21,8,Arian Foster left guard for 1 yard (tackle by Justin Bannan and Kevin Vickerson),0.280,-0.130
2,5:07,2,9,HOU 21,21,8,Matt Schaub pass incomplete short left intended for Garrett Graham (defended by Justin Bannan),-0.130,-0.820
2,5:03,3,9,HOU 21,21,8,Matt Schaub pass incomplete short left intended for Owen Daniels (defended by Mike Adams),-0.820,-1.960
2,4:58,4,9,HOU 21,21,8,"Donnie Jones punts 49 yards, returned by Jim Leonhard for 13 yards (tackle by Justin Forsett)",-1.960,-1.800
2,4:46,1,10,DEN 43,21,8,Peyton Manning pass incomplete short middle intended for Demaryius Thomas,1.800,1.250
2,4:42,2,10,DEN 43,21,8,Peyton Manning pass complete short left to Brandon Stokley for 6 yards (tackle by Brian Cushing),1.250,0.000
2,4:21,,,,21,8,Timeout #1 by Houston Texans,0.000,1.350
2,4:21,3,4,DEN 49,21,8,Willis McGahee up the middle for no gain (tackle by Brian Cushing),1.350,-0.130
2,3:41,4,4,DEN 49,21,8,"Britton Colquitt punts 39 yards, returned by Trindon Holliday for 4 yards (tackle by Nate Irving)",-0.130,0.140
2,3:31,1,10,HOU 16,21,8,Keshawn Martin left end for 21 yards (tackle by Mike Adams),-0.140,1.400
2,2:48,1,10,HOU 37,21,8,Ben Tate left tackle for no gain (tackle by Justin Bannan),1.400,0.860
2,2:07,2,10,HOU 37,21,8,Matt Schaub pass complete short right to Garrett Graham for 12 yards (tackle by Champ Bailey),0.860,2.190
2,1:59,1,10,HOU 49,21,8,Arian Foster right tackle for 2 yards (tackle by Elvis Dumervil and Keith Brooking),2.190,1.920
